[00:07] よろしくお願いします
[07:29] 一旦ちょっとサンプルの紙1枚
[07:33] 何かいただければですね
[07:34] どういった技術を使えば
[07:36] どういったデジタルデータが作れるかみたいなところとか
[07:39] ちょっとこちら側で実験させていただいて
[07:42] ご報告させていただくみたいなことも
[07:44] できるのかなと思っております
[07:47] ダータAI導入システム導入にあたって
[07:49] セキュリティ運用ルールみたいなところを決めていくのが
[07:52] かなり大事かなと思ってまして
[07:54] セキュリティっていうのもですね
[07:57] どこまでやるかっていう風なところが
[07:58] かなり重要になってきまして
[08:00] それこそそのAIにデータを送るみたいな話も
[08:04] 本当に自社のシステムから一切情報が出ちゃいけないのか
[08:08] それともクラウド環境に置くぐらいだったら大丈夫なのか
[08:13] っていう風な運用ルールをしっかり線引きを決めていって
[08:18] それに則った形でシステムを構築していくっていう風なことが
[08:23] 重要になってきますので
[08:24] そもそものですね
[08:25] 線引きルール作りみたいなところとかも
[08:28] ご一緒にお話しさせていただきたいなと思っております
[08:29] ご質問があればコメント欄に書いていただければと思います
[08:30] あとはですね
[08:34] ある程度の企画だったりとか実装までは
[08:36] 一部のメンバーで行っていくと思うんですけれども
[08:39] 実際に現場に浸透させるっていう風になってきた時にですね
[08:43] そこが一筋縄ではいかないパターンもあったりしますので
[08:48] そういった場合には研修みたいなことを行わせていただいたり
[08:51] マニュアルみたいなのを作らせていただいたりとか
[08:54] マニュアルだとなかなか読んでくれないよとか
[08:57] っていうような場合は
[08:58] ちょっとどういう風に考えていただけたらいいなとか
[08:58] 動画だったりとかで使い方説明したりとかですね
[09:01] そういったサポートもできるかなという風なところです
[09:04] あとはですね
[09:05] 弊社も補助金のサポートだったりとか
[09:07] 割と包括的にビジネス全体でサポートさせていただいておりますので
[09:11] せっかくIT周りのご支援させていただくんでしたら
[09:14] 補助金使ってそこはですね
[09:17] ちょっとお得にじゃないですけれども
[09:19] できたらいいのかなという風には思っております
[09:24] サービスフローのイメージですね
[09:27] 基本的にはチャットと
[09:28] その形式で進めさせていただければなという風に思っております
[09:32] 結構ITだったりとかAIの話だと
[09:35] チャットで説明するとかだと
[09:37] なかなか難しかったりすることが多いと思うので
[09:40] 基本的にはミーティングでのやり取りが
[09:43] メインになってくるかなと思うんですけれども
[09:45] 簡単なご質問でしたりとか
[09:47] あとは事務的な連絡手段として
[09:50] チャットもつながせていただけたらなという風に思っています
[09:53] メールでもチームスでも何でも大丈夫なんですけど
[09:56] オンシャルだとチャットツールとかって
[09:58] 社内の連絡手段とかもあるので
[09:58] どんなもの使われる?
[10:02] ラインワークスおっしゃってましたね
[10:06] ラインワークスも弊社対応可能でございますので
[10:10] あとはちょっと割とラインワークスさんだったり
[10:14] 使われている会社さんからご相談いただく内容であったりするんですけど
[10:18] 結構アカウント単位でお金がかかるじゃないですか
[10:21] ラインワークスとかって
[10:23] 社員数が増えてきてちょっとこれ最近重いんだよねみたいな
[10:26] ご相談もいただいていたりしまして
[10:31] 社内のコミュニケーションツールを自社で作っちゃった方が
[10:34] 今後のコストかからないですよねみたいなケースもあったりするので
[10:37] そういったところとかももしお悩みあれば
[10:40] 包括的にいろいろとご提案させていただければなというふうには思ってますので
[10:46] ご機嫌に何でも聞いていただければなと思っております
[10:50] 調査回答みたいなところですね
[10:53] いろいろとご相談いただいた内容に対して
[10:55] もちろんすぐお答えできるものはすぐお答えするんですけれども
[10:59] ちょっとこちら側で
[11:01] 調べてみますねでしたりとか
[11:02] 場合によってはちょっと実験してみますねじゃないですけれども
[11:05] 技術的にできるのかどうなのかみたいな
[11:08] ちょっとこちら側で検証してみますみたいなことをさせていただいたりとか
[11:11] ということもいたしますという感じですね
[11:14] 基本的には1日から2日ぐらいで内容を開始できればなというふうに思っております
[11:21] 環境対応みたいなところ
[11:22] 場合によってはですね
[11:24] 最初のフェーズというのはある程度
[11:26] システム導入を進めたタイミングになってくるかなと思うんですけれども
[11:31] 場合によってはITツールだったりとかのアクセス権いただいて
[11:34] こちら側でログインしてみて
[11:36] 原因を突き止めて改善するでしたりとか
[11:39] いただいたご要望に対して
[11:41] こういうふうにやったらできそうかどうかみたいなですね
[11:44] ことをやらせていただくっていうことも実際に手を動かしますよっていうところです
[11:51] 成果物としてですね
[11:52] 月次で何かレポートみたいなものを出せたらなというふうに思っております
[11:57] ちょっとここは何をモニタリングしていくかみたいなところとか決めさせていただきたいなと
[12:00] 思っておりますちょっとここは何をモニタリングしていくかみたいなところとか決めさせていただきたいなと
[12:01] 思っておりますちょっとここは何をモニタリングしていくかみたいなところとか決めさせていただきたいなと
[12:01] 思うんですけれども
[12:02] 最低限のラインとしては対応ログみたいなところですね
[12:07] ミーティングでこういうことを話しましたとか
[12:09] こういうふうなところ聞かれたのでこういった調査してきました
[12:12] そういったところはしっかりと整備させていただければなというふうに思っております
[12:17] ミーティングの頻度でいうと
[12:19] 大体月に1回から2回程度ですね
[12:22] 時間はご都合によると思うので
[12:25] 30分から60分ぐらいでフレキシブルに変えていければなと思うんですけれども
[12:29] 定期的にですね
[12:31] しっかりとミーティングでコミュニケーションを取らせていただきたいなと思っております
[12:35] やっぱりその日常業務が忙しかったりすると
[12:38] デジタル化だったりとか業務効率化みたいなところが
[12:42] 二の次になっちゃったりするので
[12:43] そこはちゃんとですね意識的にちょっと時間を取って顔を合わせて
[12:47] それについて考える場所を設ける必要があるかなと思いますので
[12:51] 特に走り出しの期間はですね
[12:53] この辺の頻度月2回とかでも全然いいかなと思いますので
[12:57] 頻度を上げてですね取り組んでいけたらいいのかなというふうに
[13:01] 思っております
[13:04] ちょっと導入のロードマップみたいなところですね
[13:09] あくまでもイメージにはなってはいるんですけれども
[13:12] 前回お話聞いていた感じですと
[13:15] がっつりとシステムを作り変えたいというよりは
[13:17] まずはちょっと全社でAI使うとか
[13:19] システムに馴染むみたいなところをやっていきたいという話ではありましたので
[13:25] そちら側からアプローチしていけたらいいのかなと思っております
[13:29] あとはちょっとお話を聞いていただきたいなと思っております
[13:31] お話聞いていてここはちょっとやりたいなと思っているところではあるんですけれども
[13:34] このFAX系の受発注のところとかっていうのは
[13:37] かなりインパクト大きそうだなというふうにお話聞いていて思うので
[13:41] そこもですねタイミングを伺いながら
[13:43] これ受け負いで弊社でやらせていただくなのか
[13:47] ちょっとこのステップ1とかステップ2ぐらいのタイミングで
[13:50] 御社の中で結構その辺が得意ですみたいな感じの方が出てくれば
[13:54] その方主導で自社的にやっていくみたいな感じのサポートするのかみたいな
[14:00] いろいろあると思っております
[14:02] そこは様子見ながらできるかなと思うんですけれども
[14:04] 明確なちょっと効果といいますか
[14:07] 数字として感じていただくためにも
[14:09] ちょっとここはやれたらいいんじゃないかなと思っている
[14:12] っていうふうなところになります
[14:19] あとは補助金のご案内みたいなところになりますね
[14:23] 今回ご相談いただいているような
[14:25] AI導入デジタル化みたいなところに
[14:28] まさにどんぴしゃな補助金といいますか
[14:33] ちょっとそれはぜひ使っていただきたいなというふうに
[14:37] 思っているところではございます
[14:39] 区分にも言えるんですけど
[14:41] 1分の2から3分の2ぐらいの補助が受けられますので
[14:45] こちら使いながらやっていけたらいいんじゃないかな
[14:47] というふうなところになりますね
[14:50] 私たちのご支援ですね
[14:53] これちょっと概算の見積もりではあるんですけれども
[14:56] 大体月10時間ぐらいの稼働で
[14:59] 大体このくらいのレンジでご提案させていただけたら
[15:03] いいかなというふうに考えております
[15:05] 20時間だったらこっちですね
[15:07] イメージで言ったら時間単価が
[15:09] 1万から1万5千円ぐらいの間で
[15:13] 動かしていただく感じになるかなと思っております
[15:16] 動く人材によっては
[15:18] もう少し高くなるケースもあるんですけれども
[15:21] というふうなところです
[15:25] もし何か受け負いでやらせていただくみたいな場合も
[15:29] それがここですね
[15:29] 先ほどの1万2千円から1万5千円ぐらいの間で
[15:33] 割と何でもやりますよというふうなところです
[15:36] でもちょっと契約形態は
[15:38] もう月最大何時間で決めてしまって
[15:41] 月額いくらですよでもいいですし
[15:43] 都度都度ご依頼いただいて動くでも
[15:46] どちらでも大丈夫なので
[15:49] そこは柔軟に対応できればなと思っております
[15:53] とはいえやっぱり何かあったら相談するとかだと
[15:56] 割となかなかコミュニケーションが活発にならないケースは
[16:01] ありがちかなと思います
[16:03] なのでそこはちょっと月何時間とかって決めて
[16:06] 定例ミーティング組んでやっていく方が
[16:08] デジタル化としてはうまくいくんじゃないかな
[16:11] というふうな気はしております
[16:13] ちょっとランニングコストみたいなところを
[16:15] 基本的には弊社のアドバイザリーのこちらの料金と
[16:20] また新しく何かツールを導入すると思うので
[16:23] そのツールのランニングコストみたいなところを
[16:25] 考えていただく感じになるかなというふうに思っております
[16:28] この辺はちょっとお話ししながら
[16:30] 具体的に何を導入していくかみたいなところで
[16:33] あとはツール導入するにしてもいきなり全員に配るのか
[16:37] まずは何人かが触れるようにするのかとかによっても
[16:40] アカウント数によって課金されるものが多いって
[16:43] 変わってきますので
[16:44] その辺はまた別途ですね
[16:46] 内容詰めながらちょっとこちら側でも
[16:48] じゃあ月いくらぐらい想定したらいいですよ
[16:51] みたいなところをお話しさせていただければと思いますので
[16:54] ここは追い追い出せればなというふうな
[16:58] 以上ですね
[16:58] ちょっとざっくりとご説明させていただいたんですけれども
[17:03] ほぼほぼ前回のお打ち合わせで話していた内容と
[17:06] 同じ内容かなとは思うんですけれども
[17:09] 今の内容でご不安点でしたりとか
[17:13] ご不明な点でしたりとかございますでしょうか
[17:17] そうですね
[17:17] 今の例えばFAXの受注の自動化の部分というのは
[17:24] 先ほどの料金の中に
[17:29] それなりにAIの自動化の部分の
[17:33] アドバイス自体が含まれている
[17:35] はい もちろんアドバイスもそうですし
[17:38] 基本的にはヘアケータイにもよりますけど
[17:41] 何時間動いたからいくらですみたいな
[17:43] 時間短化でのご請求か
[17:45] もしくは月何時間まで動きますよというふうに
[17:48] 決めてという形でやらせていただきますので
[17:51] そこの時間の使い方として
[17:53] ちょっとそっちを進めたいということであれば
[17:55] 全然そちらもご対応可能かなというふうに思っております
[18:00] 例えば時間短化の場合によっては
[18:04] 何時間例えば5時間みたいなのを決めておくこともできるということですか
[18:09] おっしゃるとおりです
[18:10] 一般的なやり方としては
[18:12] だいたい稼働時間
[18:14] こちら側から何時間ぐらいでできそうですよというのをお伝えした上で
[18:18] 何時間ぐらいでできそうですよなんてあくまでも確定ではないので
[18:23] 上振れちゃったときのために
[18:25] じゃあ稼働時間何時間ぐらいに設定しましょう
[18:28] イメージで言ったら
[18:29] それだったら多分5時間ぐらいでできそうですかね
[18:32] なので稼働時間をちょっと多めにしておくと
[18:42] おっしゃるとおりです
[18:42] 稼働時間というのは結構あれですよね
[18:44] ミーティングのダイレクトなミーティングの時間とか
[18:49] ヒアリングしていただく時間とか
[18:53] あとは資料を作ったりとか
[18:56] 具体的にはそういう時間を合計して
[19:01] ということで算出いただくみたいな感じですか
[19:04] おっしゃるとおりです
[19:05] あとはプラスで資料を作る以外にも
[19:08] 何かちょっと自動化してほしいなとか
[19:10] システム組んでほしいみたいなのがあれば
[19:12] そこも全然手動かしますので
[19:13] っていうふうな感じですね
[19:16] 時間とかやっていただけると
[19:19] ですね
[19:21] ちょっと弊社はかなりデジタル化というか
[19:24] エアリカ進んでるほうではありますので
[19:26] 資料を作るとかにしても
[19:28] じゃあ資料を作るのに何十時間もかかりました
[19:30] 資料作成だけで何十万もかかりますみたいなことは一切ないので
[19:33] おかがわしいいただければなというふうに思っております
[19:36] だいたいイメージで言うと
[19:38] 1回のお茶合戦について
[19:40] 説明したりとか何かまとめてくる資料を作るために
[19:42] 30分からかかっても1時間半ぐらいかなっていうふうなイメージですね
[19:48] わかりました
[19:49] それもちょっとシステム
[19:50] どうぞどうぞすいません
[19:51] すいません
[19:52] それプラスミーティングの時間ぐらいってことですか
[19:55] おっしゃるとおりです
[19:56] 例えばそれぞれシステム作るってなってくると
[19:58] 30分とか1時間
[20:00] 時間差とかっていうよりはもう少し3時間から最大10時間ぐらいの感じで
[20:05] いただく感じになるかなと思うんですけれども
[20:08] あらかじめそんなに20時間30時間かかるようなことがあれば
[20:12] こちらから先に言わせていただきますので
[20:15] その場合だと時間単価でやっちゃうっていうよりは
[20:17] お見積もり出させていただいて
[20:20] 住人ではなくて自宅の契約ですね
[20:23] やらせていただく方がお互いいいかなと思いますので
[20:26] そういう場合はこちら側からもご提案させていただこう
[20:33] 例えばチャットとかでいろいろ疑問点をお伺いして
[20:39] ちょっとお電話でも説明聞きたいなというときは
[20:44] そういう対応も可能だったりするのか
[20:46] そうですね お電話も可能ではあるんですけれども
[20:49] ちょっとコンサルタントによるかなと思っておりまして
[20:54] 例えば私がコンサルタントとして対応させていただいた場合ですと
[20:57] 割と打ち合わせ入っちゃってる場合が多かったりするので
[21:01] ちゃんとタイミング合わせればもちろんお電話可能なんですけども
[21:04] なかなか取れないみたいなケースは
[21:07] 割とうちだと起きがちかなっていうのはあったりはします
[21:12] よろしくお願いします
[21:15] なるべくかけなさせていただくようにはしてはいるんですけれども
[21:20] なかなか出れないタイミングがうちの人間だと多いかなっていうのは
[21:25] ちょっと事前に正直にお伝えさせていただければと思います
[21:28] ありがとうございます
[21:30] はい
[21:33] ちょっと大事なのか
[21:36] ちょっと1点お伺いしたいことがあって
[21:39] ちょっと業界の常識に疎いもので
[21:42] 今回AIの使い方の指南でしたり
[21:50] 従業員への浸透なども踏まえて
[21:53] 仮にその顧問契約をお願いする場合に
[21:57] 大体一般的な
[22:00] 多分創業されて5年ほど
[22:03] だと思うんですけれども
[22:05] 大体どのくらいのスパンで
[22:09] 例えば半年なり1年で手離れするものなのか
[22:14] それとももうずっと契約をし続けてらっしゃるお客様が多いのか
[22:19] そういったところなんですかね
[22:23] 割とこれ本当に会社さんによって変わってくるなって印象がございまして
[22:27] というのもやっぱり御社側にも
[22:32] その方が回せるようになるっていうのを
[22:35] もうゴールにその前提でやっていく場合ですと
[22:38] 3ヶ月から半年ぐらいで手離れっていうのも
[22:40] 全然可能かなとは思ってはいるんですけれども
[22:43] なかなか手離れできないケースでありがちなのは
[22:49] 人が余ってないよっていうふうなところで
[22:51] なかなか担当者立てられませんってなってくると
[22:55] 一度一度うちが支援させていただくような形になるので
[22:58] 手離れっていうのが起きにくいのかなっていうのは
[23:02] 正直ありますね
[23:03] マーケティングのご支援とかも
[23:04] こういった形でさせていただいてるケースは
[23:06] 割と多かったりするんですけども
[23:08] そこも本当に担当者立てていただけるかどうかで
[23:12] かなりそこ変わるなっていう印象ではございます
[23:16] ありがとうございます
[23:19] 大丈夫です
[23:22] 質問は
[23:25] そんなところです
[23:26] ありがとうございます
[23:28] ちなみにそこで言うと今回のケースって
[23:33] なんて言うんでしょう
[23:33] ゆくゆくはこの人にITとかAIとか任せていきたい
[23:37] みたいな担当者さんって
[23:39] 採用計画から考えないとっていう感じですか
[23:43] ちょっとその
[23:46] AI自体がもうなんか新しい
[23:50] まあどういうふうに言うか
[23:51] システム的なことをやってる方は
[23:55] 社内にいらっしゃるんですけど
[23:57] ちょっとそこはまだ社内の理論の余地があるところで
[24:03] まだわからないですね
[24:05] ですね
[24:05] 多分 強者の担当者が現状をまだ
[24:11] 今の段階では立てられるかどうか分からないような
[24:15] ですね
[24:16] 手離れっていう観点で言うと
[24:18] 割とそこ次第なのかなっていう気はしております
[24:22] それこそかなり割と時間も割けますよっていうのと
[24:27] リテラシーもある程度
[24:28] こう 素養がありますよっていう方がいらっしゃれば
[24:30] 本当にもう3ヶ月とかで
[24:33] 割と考え方とかうちのエッセンス
[24:36] コツみたいなとこだけレクチャーさせていただいて
[24:39] あとはその方と毎月1回か2回ミーティングしたら
[24:44] なんかもう全然問題なさそうですよみたいなケースも
[24:47] 全然あり得ると思ってっていう風な感じですかね
[24:52] ありがとうございます
[24:54] 他に何か気になったりとかってありますでしょうか
[24:59] そうですね
[25:02] あとは大変ですね
[25:03] 大丈夫 そうですね
[25:04] ありがとうございます
[25:05] そしたらちょっと補助金の話ですね
[25:07] 前回もしたかなと思うんですけども
[25:10] 結構この辺が重要になってくるんじゃないかなっていう気はするので
[25:15] もう一度弊社側のご提案内容も踏まえながらですね
[25:20] お話できたらなというふうには思います
[25:26] 今こちらの画面共有できておりますでしょうか
[25:29] 大丈夫です
[25:31] はい
[25:31] まず補助金ですね
[25:33] 1ヶ月に1回募集してますよみたいなところは前回お話ししたかなっていうのと
[25:39] これが4時になった後もですね
[25:42] 予算さえ残ってれば5時6時っていうふうに出てくるので
[25:45] そこはご心配ないですよっていうふうなところですね
[25:48] あともう一つが
[25:52] 基本的にこの補助金どういう補助金かっていうふうに言うと
[25:57] デジタル化に対して出てくる補助金ですよっていうのが
[26:00] 何かですね前提としてはこのツールを入れてAIだったら
[26:05] クロードとかジェミニとかいろいろあると思うんですけども
[26:07] AI系のツールでもいいですし受発注だったらショッピファイっていう
[26:11] EC系のツール入れたりとかですね
[26:14] あとは会計だったらこちらすでに入れられてるかもではありますけども
[26:18] フリーとかマネーフォワードとかそんなものを入れて
[26:21] 会社の業務効率化していきましょうっていうふうな感じのイメージのものになります
[26:26] なので何のツールを使うかっていうのがまずは
[26:30] まず決まってる必要があるっていうのがまずこの補助金の前提ですね
[26:34] なのでコンサルティングさせていただきながら具体的な
[26:37] なんていうんでしょうAI導入でしたりとかデジタル化の方針が決まったタイミングで
[26:42] じゃあちょっと補助金取りましょうみたいな感じにできるかなというふうに思っております
[26:48] 補助金の対象経費がですねこのクラウド利用費の2年間分っていうのが
[26:53] 割とここはメインになってくるかなっていうようなところですね
[26:56] AI入れるにしてもAIの料金かっていうふうにそれが2年分
[27:00] 対象経費になりますよっていうのと導入関連費
[27:03] これどういうことかっていうと何か導入してカスタマイズするもそうですし
[27:08] 私たちみたいなコンサル入れるとかもあると思うんですよ
[27:11] っていうのもこの補助金の事務局もですね
[27:13] もともとデジタル化なかなか進んでなかった会社さんが
[27:17] ただただツールだけ契約したらうまくいくかっていうとそうじゃないってことは
[27:21] 事務局も分かってるのでそこも対象経費できますよっていうふうな感じになっています
[27:26] なので動きとしてはですね
[27:30] コンサルティング提供させていただきながら
[27:32] ある程度こうめどが立ってきてタイミングで
[27:35] どういうふうなAI契約して全員に使ってもらおうかでしたりとか
[27:39] 単純に契約して使ってもらうだけだと割とこのAIって汎用的すぎちゃうんで
[27:44] 結構難しいというか使う側でいろいろ考えなきゃいけなくなっちゃうので
[27:49] その業務に特化したようにカスタマイズしたりとかですね
[27:53] すると割とこう誰でも使えるみたいな状況にできるかなと思うので
[27:57] じゃあそういうカスタマイズが必要ですよねみたいなところですね
[28:01] あとは導入関連費のところで開発とかをさせていただくのと
[28:07] あとは今まで月額でもらっていたコンサル費のところも
[28:11] 今回の導入に関するコンサルですっていうふうな形にすることによって
[28:15] それも対象経費にできるのでその辺諸々を補助金の対象経費にして
[28:21] 補助金申請していくみたいなところのステップを挟めると
[28:24] かなりいいんじゃないかなというふうに思っております
[28:28] なのでちょっと早めにこれ補助金絡めちゃった方が
[28:31] 御社としてもお支払いいただく金額的にいいかなと思いますので
[28:38] 最初は補助金の経費の外ではあるんですけれども
[28:42] コンサルティングを提供させていただきながら
[28:46] 早めにちょっとどういうプランで何していこうみたいなのを決めてしまって
[28:50] それで補助金取っちゃうと一番いいんじゃないかなというふうな気はしております
[28:56] そうですね
[28:57] 前回ハートもIT
[29:01] デジタル化の補助金を申請したことがあるっていう
[29:06] 前回です
[29:07] おっしゃいましたね
[29:09] それってこの間何年開かなきゃいけないとかそういうのってあるんですか
[29:15] ないですけれども直近2年以内の申請がですね
[29:19] これちょっと複雑で原点項目にもなるし加点項目にもなるんです
[29:24] これどういうことかっていうと申請しているっていうこと自体は原点になるんですけど
[29:29] その申請したときに
[29:32] 賃上げの計画とか業務効率化の計画とか出してると思うんですけど
[29:37] それを毎年報告させられてると思うんですね
[29:41] それどおりに行ったか行ってないかみたいな
[29:43] それがそれどおりに行ったっていう報告をしてると逆に加点になるんですね
[29:47] これ多分要するにどういうことかっていうと
[29:49] ちゃんと計画通りに行ってれば申請したこと自体は原点なんですけど
[29:54] うまくそれどおりに行ってってことが加点になるんでプラマイゼロになるみたいな感じのイメージです
[29:58] なんですが
[30:00] できてればマイナス要素にはならないというふうなご理解で
