[00:17] すいません
[05:12] よりお金払ってもいいかなって思うっていうお話だったので
[05:16] そういうところが加わるといいかなと思って
[05:19] ここが基本的に有料部分になるんですけど
[05:22] そうすると無料の先生たちは
[05:25] ちょっと使ってみたいみたいな先生たちが使いづらいので
[05:30] この記事の中でもその著者の人が最後にコメントを入れてくると
[05:34] その人がコメントを入れてくれてる半分の要約からしたは
[05:37] 有料じゃないと見られないけど
[05:39] 一番上のタイトルとかよくあると思うんですけど
[05:42] タイトルと最初の一文
[05:43] 論文って最初にサマリーみたいなのがあるので
[05:46] サマリー部分その論文のタイトルとその論文が何について書いてあるか
[05:50] みたいなとこだけはAIでもいいですし何でもいいんですけど
[05:55] それは無料で見られるっていうようにできたらいいなという風に思っていて
[06:00] プラスアルファでもし可能であれば
[06:16] AIである程度翻訳するAI要約みたいな感じで
[06:20] 翻訳したサイトも無料の先生たちは見られるみたいな感じでできたらいいなと思ってて
[06:27] この有料の先生たちは無料で
[06:29] その有料の先生たちはその無料で
[06:30] 無料っていうかAIが翻訳して要約してくれた記事も
[06:34] 自分のマイボックスの中に入れられて
[06:37] それもカテゴライズ
[06:38] その著者の論文の記事と一緒にカテゴライズ分けできる
[06:43] 自分が気になるものだけピックアップできるけど
[06:45] 気にならないものはそのまま流しておくみたいなことができれば
[06:48] さらに月400円払っても全然いいなって思ってもらえるかなって思っていて
[06:54] この辺りまでできるといいなという風に考えています
[06:59] でそこで最初その後にすごい人気が出てきたら
[07:04] 最後にお見せしたみたいに
[07:06] 自分が好きなカテゴリーをサイトに登録しておくと
[07:12] このプラスアルファで今ご説明したように
[07:17] PubMaidからそのAIが翻訳して送ってくれる記事自体を
[07:22] 自分が気になる記事だけ自動で配信してくれるみたいな
[07:26] さっき一番シンプルなやつでこれやりたいってお伝えしたみたいなのが
[07:31] 最終的に
[07:33] 最初には入れられなかったけど
[07:34] いらないと思うんですけど
[07:35] だんだん人気が出てきたらこういうところを拡張したりとか
[07:39] していけたらいいかなという風に考えているっていう状態ですかね
[07:46] あとはこの辺りもさらに可能であれば
[07:49] 大体日本人って他の先生が何読んでるんだろうとか
[07:52] 多分気になると思うので
[07:54] この上の方で自分たちがマイボックスに入れたとかチェックされたとか
[07:59] よく開かれたサイトとかがあれば
[08:02] 今週よく読まれた論文記事トップ3みたいなのがお知らせされると
[08:07] なんかすごいめっちゃ気になるみたいな感じかなと思ってるので
[08:12] この辺りも拡張としては入れていけたらいいかなという風には考えています
[08:18] はい
[08:19] でパブメドは開いても飛ばない
[08:23] ただの英語の検索サイトみたいな
[08:25] うん
[08:28] で後でこれ送りさせていただくんですけど
[08:32] Googleに教えてもらったりして
[08:35] サイトこういうの作りたいんだけど
[08:38] どういうところにご相談したらいいですかとか
[08:41] どうやってお願いしたらいいですかみたいなのを聞いてみた
[08:45] 私には謎の単語がいっぱい言い過ぎて全くわからないんですけど
[08:48] こういう風に作ったら費用が安く済むかもしれないし
[08:53] こうやってお願いしたらいいよみたいなのを教えてくれたのがあるので
[08:58] 一応これも後でお見せするようにお伝えしておりますので
[09:02] できるようにしようかなとは思っています
[09:04] はい
[09:06] 一応全体こんな感じのイメージですかね
[09:09] はい
[09:13] 本当ですかよかったです
[09:14] はい
[09:27] ありがとうございます
[10:00] LINE通知機能をサイトとLINEをつなげるのが大変
[10:05] 私も今やってる会社の方で
[10:10] ECサイトとかを一から制作依頼したりとかしたことがあるんで
[10:15] やっぱりそういうサイトからLINEにつなげるったりするのがちょっと大変っていうか
[10:19] またそこで結構お金かかるよみたいな話は聞いたことがあるので
[10:24] 最悪一番最初途中でだんだん拡張していく中で
[10:30] できたらいいかなと思ってるんですけど
[10:31] 最初のLINEのお知らせはこの著者の人が翻訳と自分のコメントを入れた記事がアップされたら
[10:38] 私がそれをアップしてサイトにもアップして
[10:41] さらにLINEにも私がお知らせするみたいなのは
[10:45] 最悪アナログでやってもいいかなと思ってるんですけど
[10:48] もちろん自動でやってくれたらそれに越したこともあるんですけど
[10:58] そうなんです
[10:59] はい
[11:03] はい
[11:09] はい
[11:10] はい
[11:11] はい
[11:12] はい
[11:16] はい
[11:17] はい
[11:17] はい
[11:17] はい
[11:18] はい
[11:19] はい
[11:23] はい
[11:24] はい
[11:24] はい
[11:24] はい
[11:24] はい
[11:26] はい
[11:26] はい
[11:26] はい
[11:26] はい
[11:26] はい
[11:26] はい
[11:26] はい
[11:28] はい
[11:29] はい
[11:29] はい
[17:17] はいあの全国全国じゃないあの世界の有名な雑誌とかのあのまあいうそういうランキングあるんですけどその有名な雑誌のあの記事は全部ここに集まってくるっていうことになっているのでなので検索サイト使っても結局そのパブメドの中のその記事がピックアップされてきて結局それを開くみたいで今ここの右側にフルテキストって書いてあると思うんですけどここら辺にこの記事このあのここ雑誌名なんですけど雑誌名のその雑誌名のその雑誌名のその雑誌名のその雑誌名のその雑誌名のその雑誌名のその雑誌名のその雑誌名のその雑誌名のその雑誌名のその雑誌名のその
[17:55] 一部しか見られなくてあとは有料なのかというのはもうその出版社の違いだったりその雑誌の違いによるんですけど
[18:04] なるほどなるほどでじゃあ他のサイトっていうのはもう単純にこれが英語で使いにくいから日本語版にしましたよみたいな感じのぐらいの
[18:12] まあ海外がそうですねだからさっきのがもう結局英語で検索しないといけないのでここさここでもなんかないかとかなんとかとか入れてこれを押すと
[18:23] 今まで単語検索するときに英語でやってたのがただ日本語にできますよっていうそれだけっていうか
[18:29] 多分内部的になんか入れた日本語を英語に変換してAPIで検索してみたいなことをしてるってことですね
[18:37] そうですねパブメイドAPIみたいなのを使ってるみたいなんですけど
[18:41] であのこういうはい
[18:44] でこっちのサイトもそうですねあの引っ張ってきてる元はあのパブメイドですよってどっかに書いてあったと思うんですけど
[18:51] うんうんうんうん
[18:53] でこれはまあまあいろいろ機能がついててそのまあ日本語要約もあるんですけど
[18:58] えっと自分が気になるあのフィルターをかけられたりとかいろいろするのでこれ月額1500円ぐらいとかなんですけど
[19:07] でさっきお伝えしたところはここなんていうんですかAIでもこうタイトルとこのデモ要約って書いてあるんですけど
[19:15] サマリー部分の要約部分だけはもう無料で見せちゃうか
[19:19] もうAI使って要約したやつはもう全部見せちゃう
[19:23] でも全然あの自分で要するにそれをまあAIサイトで翻訳かけても同じことではあるのでもそれは全部無料で見せてしまって
[19:31] ただやっぱり先生がそこに対するコメントをするっていうことはあの有料性があるかと思うので
[19:38] そこだけ有料にするみたいな感じにできたらまあいいかなと思ってたんですけど
[19:44] 今あのフレア様にご提案いただいたのはもう全然考えもしていなかったところで
[19:49] 全然そういうなんか違うプラスアルファの新しい
[19:53] 機能とかがあればもうめっちゃいいかなとは思います
[19:57] 文章量次第かなって気もしますね
[20:00] 論文を元にした記事ぐらいのボリューム感で書く場合だと
[20:06] SEO的に結構そういうのって評価が高かったりするので
[20:09] そこを非公開にしちゃうのもったいないなとかって思ったんですけど
[20:13] なんかちょっとSNSっぽいぐらいの分量なのであれば
[20:17] 特にSEOを気にして公開するとかっていうよりも
[20:20] 逆になんかちょっとSNSっぽい感じなのであれば
[20:23] クローズドなコミュニティじゃないですけど
[20:25] 発言してるユーザーだけがここでコミュニケーション取れますとか
[20:30] みたいなくらいだったらかなりいいのかなっていう気がしますね
[20:34] ちなみにPubMedのAPIとかっていうのは
[20:38] 少し調べられたりしましたか
[20:41] 無料で使えるのか有料で使えるのかとかにもよって
[20:44] サービス無料で提供できるかどうかみたいなのも変わってくるかなって気がしたんですけど
[20:48] もしあれだったら全然こちら側で後日まで調べておくってことは
[20:52] 大丈夫なんですけど
[20:54] それも確かつみに君が教えてくれていたのかな
[20:58] ちょっと待ってくださいね
[20:59] はい
[21:00] 確かにAIに聞いたらその辺ちゃんとカバーしてそうな気がしますね
[21:04] そうですね このオープンAIのやつがあって
[21:07] 確か無料で使えたんだったと思います
[21:13] ちょっとこちら側でも確認しておきますね
[21:15] そのPubMedがAPI無料で公開してるかどうかみたいなのが
[21:20] 多分大元の記事の情報を引っ張ってくるところなんで
[21:24] そこが有料かなり重要だなと
[21:31] そうですかね
[21:32] PubMed API
[21:35] PubMed API自体が有料みたいな記述はそこにはなさそうですね
[21:42] 何だったかな
[21:43] 0.1秒に10件だったか
[21:48] 集中するときはお金払ってくださいみたいなことだったような気がするんですけど
[21:54] ちょっと忘れちゃったんですけど
[21:58] ちょっと調べて
[21:59] ちょっと調べてみようかな
[22:00] 基本確か無料で集中するような使い方をするんだったら
[22:05] ちょっとお金払ってみたいな感じだったような気がします
[22:13] 次どうなんだろう
[22:17] PubMed
[22:18] ちょっと調べた感じだと
[22:28] PubMedが有料だったら
[22:31] 無料で叩けそうですねAPI
[22:38] 一回で最大300件まで取得できるみたいな情報とかがありますね
[22:53] ちょっとこの辺は私たちの方でも調べさせていただいてます
[22:56] ありがとうございます
[22:57] 次回のミーティングにて
[22:59] はい
[23:48] 今までそういうスタンスでやらせていただいてたんですけど
[23:52] 冒頭補正やからもあった通り
[23:53] システムもコード書いちゃう方が結構早くなっててですね
[24:00] 今回開発のご提案はノンコードツール組み合わせるのではなくて
[24:04] コードを書いて開発してしまいますみたいな方向性で
[24:08] ご提案させていただく感じになるかなと思ってます
[24:11] そっちの方が本当に早いんですよね
[24:13] ところで
[24:15] っていう
[24:17] 人よく分からない人で動かしてる
[24:20] イメージで大変です
[24:21] ランニングコストも例えばこれだったら
[24:24] AirTableに月額いくら
[24:26] Makeに月額いくら
[24:28] Notionに月額いくらみたいな感じで
[24:30] 結構いろんなところに買っちゃってたのが
[24:33] コードにまとめることによって
[24:35] 外部連携するシステムLINEとか
[24:38] 他のところAPIとかはかかっちゃいますけど
[24:41] 基本的にはもうコード書いてそれを置いとくサーバーのお金
[24:45] あとはデータを書いてるんですけど
[24:46] データベース代この2つだけで足りるので
[24:49] ランニングコスト的にはそっちの方が安いっていう風なところもありますね
[24:55] あとは基本的にコードで書いてあるものの方が
[24:59] コードさえ書ければ何でもできちゃうので
[25:02] 自由度は高いし品質も高いかなっていう気はしております
[25:08] うち見つけていただいたのもあれですかね
[25:11] AIがお勧めしてくれたとかそんな感じだったりします?
[25:15] そうですね
[25:17] これジェミニじゃなくて
[25:20] 普通にGoogleのところで
[25:22] 違う別件のことを調べてたら
[25:24] こういうのやろうと
[25:26] 他に聞いたことありますかとか聞かれたので
[25:29] 普通のGoogle検索サイトの方で
[25:31] こんなのやろうと思っているんだよっていう話を伝えてみたら
[25:38] ここに連絡してみたのに
[25:40] 何か教えていただいたので
[25:43] それでへーってなって
[25:45] じゃあ
[25:46] ぜひお知らせしてみますっていうのをお伝えして
[25:49] こうやってお伝えしたらいいと思うよって教えてもらったんで
[25:53] じゃあそうしますね
[25:54] ありがとうございます
[25:55] 全然わかんなくてすいません
[25:57] 多分ノーコードツールで作るっていう前提だったんで
[26:01] うち結構ノーコードっていうキーワードとかで有名な会社だったりするので
[26:04] こっちが出てきたのかなっていう気がしますね
[26:08] 結構ノーコードで最近もやはりお問い合わせはいただくんですけど
[26:11] もはやコード書いちゃった方が早いです
[26:14] 安いですよね
[26:16] そういうのもやはりお問い合わせさせていただくことが多かったりは
[26:17] 全然わかんないです
[26:22] そうですね
[26:22] そしたらそうですね
[26:24] 次回までにですね
[26:25] 細谷の方からあったと思うんですけども
[26:27] モックアップの方ですね
[26:29] ちょっとこんな感じの画面のイメージで合ってますかみたいなところ
[26:33] もうここご相談段階でうちの場合ですと作れちゃうので
[26:37] ちょっとイメージすり合わせのためにも
[26:40] デモ画面作ってきて
[26:41] ちょっと一緒に見ていただいてイメージ合ってるかみたいなところをすり合わせて
[26:46] 大体こんな感じのものがいくらぐらいで作れそうですよみたいなところのお話ができればなというふうに思っております
[26:55] あとちょっと補助金の話とかも細谷の方からもちょっと出てきてたかなと思うんですけども
[27:01] この辺とかもですね結構使えるような補助金は多いかなと思ってるんですけど
[27:06] 補助金いろいろ種類があって
[27:08] 新規事業開発に使えるような大きいものから
[27:11] ちょっと会社のデジタル化しますみたいな感じの
[27:14] 割とこう使えるようなものが多いかなと思ってますけども
[27:16] 使いやすいようなものまでいろいろあるんですけども
[27:18] 本当にですね最近システム開発自体もうち高い見積もり出すことほとんどなくなっちゃってるので
[27:24] 新規事業系の大きい補助金だと
[27:28] 逆に補助金取ったけどめっちゃお金余っちゃいますねみたいな感じになっちゃうので
[27:34] 使うとしたら会社のデジタル化しますみたいな文脈で補助金取っておいて
[27:39] その中の予算から開発に充てるみたいな感じにはなってくるかなっていうふうに思っています
[27:47] そうなってくると補助金の申請内容と全く別のことをするわけにもいかないので
[27:53] 多少なりともちょっと会社のデジタル化をしたいよみたいな前提があるのであれば
[27:59] 結構使えるんじゃないかなっていう補助金があったりするんですけども
[28:03] IT導入補助金とかデジタル化AI導入補助金とかって聞いたことってあります?
[28:08] ありますあります
[28:09] それですねそれが大体使える額で言うとミニマムだと100万ぐらいから3万円ぐらいであるんですけども
[28:18] 100から300万ぐらいの開発の規模感で使いやすい補助金なんですけど
[28:22] そこに対して補助金で半分とか3分の1とか戻ってくるって
[28:26] 下手したら100万以下ぐらいで手出しでシステム開発できちゃいますよみたいなご提案が可能な補助金になるんですけど
[28:34] ちょっとそれ申請するのにも社内のデジタル化をします
[28:39] でその延長線上でちょっとこういう開発しますみたいな感じにする必要があるので
[28:44] だからちょっとその辺もご活用の
[28:47] 検討されてるかみたいなところとかは軽く聞きできたら嬉しいなとかっていうふうに思ってはいるんですけど
[28:54] なんか全然ちょっと追加で無駄なデジタル化をお勧めするわけでは全くないので
[29:00] ちょっと営業ではないというふうな前提で聞いていただけたらなと思うんですけど
[29:05] なんかその辺とかって追加でなんかちょっとこんなデジタル化したかったとかあったりしますか
[29:12] えっとさっきちらっと申し上げた通り
[29:17] 会社を作る時にホームページとECサイトとコミュニティサイトとビューアみたいなのを全部一緒に開発してもらった会社がありまして
[29:26] 今それを使ってはいるんですけど
[29:29] うち出版社なので出版物の在庫管理みたいなのが超アナログでやっていて
[29:36] はいはいはい
[29:38] なんでそのちょっとまだ全然駆け出しの会社でそんなに発刊している点数が多くないので
[29:45] アナログで今で可能なところでやってるんですけど
[29:47] 今後これ以上増えていったら在庫管理難しいよねって話は今ちょうどしてはいて
[29:54] 何個発送したあといくつ残っているとかいう状態で
[29:58] あとそのもう
[30:00] それがすごいなくなってきたら ホームページ上で
[30:02] ソールドアウトにしなきゃいけないとか いうのをしなきゃいけないんですけど
[30:07] そのタイミングとかが分からないので
[30:11] その辺りをデジタル化したいね っていう話はしてはいるんですけど
[30:16] そうですね もしかしたら それとかともちょっとセットで
[30:20] 今回の新規事業のアイデアも システム開発全体に
[30:24] 予算いくらぐらい出せるか みたいなところから逆転して
[30:27] その中で全部できることやりますよ みたいな感じでご支援させていただくと
[30:32] 結構補助金とかも絡めやすいかな っていうところではある
[30:36] 補助金でも そもそもこういう感じで 決まってるんです
[30:39] 補助額のこの枠だったら 5から150万ですと
[30:44] 150万でこれ1分の2返ってきます みたいな話で
[30:48] じゃあこれMAX300万円使って 150万円返ってきますよね みたいな形で
[30:53] 割ともう予算があらかじめ 決まってたりするので
[30:56] そしたらこの
[30:57] この補助金使うと150万円分のお支払いで 300万円分のシステム開発できますよ
[31:03] みたいな形になるので
[31:05] じゃあ300万円分何でもやりますよ みたいな感じで
[31:09] 300万円で何ができるかっていうのは 事前にご提案させていただく形に
[31:13] なると思うんですけども
[31:15] 先ほどのシステムの開発などか それとプラスでこんな自動化もできますよ
[31:19] みたいな感じでやっていけると 結構補助金も使えつつ
[31:24] 作りたいものも作れつつ
[31:27] かつ会社の自動化みたいなところもできて かなりいいんじゃないかなっていうふうに思ってます
[31:33] 最近こういった提案させていただくことが かなり多くはあると思うんですけれども
[31:37] で 金額感ちょっといくらぐらいでやりたいか みたいなところは
[31:41] キャッシュフロー的なところもあると思って
[31:43] そちらは御社側でご指摘いただければな と思うんですけども
[31:47] 補助金のこの全体感だけ説明してしまいますと
[31:50] この通常枠っていうのが基本的に この1分の2補助 半分返ってきますってやつですね
[31:56] で この2分の1補助 半分返ってきますってやつですね
[32:00] というのがですね 簡単に言うと
[32:02] ちょっと後ほど実際やるってなった時に 詳しい説明させていただければなと思うんですけども
[32:08] すごい簡単に言うと 業務が何本自動化 効率化されますかみたいな感じのものですね
[32:14] この課題1個 業務が効率化されますだと この1プロセス以上で
[32:18] この5から150万の枠 なんでマックスが300万使って 150万返ってきますみたいな感じの枠ですね
[32:25] 逆にこれ4プロセス以上 4個以上業務が効率化しますよみたいな感じで
[32:30] これを合わせる場合だと かなり これ最大で言うと結構大きくなってきまして
[32:35] 450返ってきますの2分の1なので あんまりこんなに大規模にやることはないかなと思うんですけども
[32:40] やろうと思えば900万円使って 450万円戻ってきますみたいな感じのこともできるっていうところですね
[32:47] さすがにちょっと900万円だと予算大きすぎて 多分やることなくなっちゃうと思うので
[32:52] そんな使い方はしないかなと思うんですけども 300万円だとギリギリ足りないみたいな感じとかの
[32:58] 400万 500万とかになってくると 結構大きいですよね
[33:01] 4業務以上自動化できるんだったら そっちもいけるっていう感じですね
[33:06] 150から450の間なんで 別に500万使って250万返ってきますとかでも全然いけるっていう感じですね
[33:13] もう一つ狙い目の枠が ここ2分の1補助なんですけれども
[33:17] こっちのインボイス枠っていうふうなやつだと 3分の2補助とか 4分の3補助とかがあって
[33:23] 3分の2返ってくるともう何て言うんでしょう もう半分以上補助金できましたみたいな感じになっちゃうので
[33:31] うれしいかなっていうふうなところですね
[33:33] 金額的な上限で言うと マックスが350万円返ってきます
[33:37] 3分の2の2の部分が350万なので 単純に割るにすると175なんで 525ですかね
[33:45] 525万円使って350万円返ってきますっていうのが こっちのインボイス枠の一番最大であったときの使い方っていうふうな感じですね
[33:56] でもこっちの方が金額的にはいいんですけれども
[34:01] これもちょっと 今までのような 金額的なやつのやつよりも厳しくなっていて
[34:03] 機能要件に会計受発注決済のうちの 2機能以上含まれることっていうのがあります
[34:09] どういうことかっていうと この自動化される業務の中に会計受発注決済のうちの 2機能以上がないとダメですよっていうふうな感じですね
[34:18] 例えば先ほどのこの在庫側みたいな話とか もしかしたら受発注のとこに当てはめてくれるんじゃないかなっていう気がするので
[34:25] あとは決済の会計のところですかね
[34:28] なんか今までお客さんからお金もらっていたから 受発注のところに当てはめてくれるんじゃないかなっていう気がするので
[34:37] あとは会計のツールで既に導入しちゃってるケースが 多いんじゃないかなと思うんですけども
[34:43] フリーとかマネーフォワードを入れますみたいな感じのも 会計の方で取れたりするので
[34:49] ちょっとこっちで取れないかみたいなところを 最初に考えてみて
[34:53] こっちでいけそうだったらこっちでやっちゃう方が 補助率高いのでいいんじゃないかなっていうふうな気はしております
[34:59] っていうところですね
[35:01] ちょっとこちらの方も もし
[35:03] ご覧になったら コメント欄に書いていただければ コメント欄に書いていただければ コメント欄に書いていただければ
[35:04] ご興味ありましたら 具体的にどの枠でいくかみたいなところとかも 詰めていけたらいいんじゃないかなというふうに思っておりますので
[35:12] そちらもご相談いただけますと幸いです
[35:15] 一応これ提案書の方に内容も入れておきますので 次回のミーティングでそちらもお話しさせていただければなと思います
[35:25] あとは予算間のところですかね
[35:27] 基本的に1分の2か3分の2返ってくる前提で いくらぐらいでやりたいですかみたいなところとか
[35:34] なんとなくちょっと温度感決めておいていただけると この辺も進みやすいかなと思いますので
[35:40] ご検討いただけると幸いですというふうなところで
[35:45] 人間なんか今お答えできる範囲では大丈夫なんですけども
[35:50] いくらぐらいでやりたいなみたいなとかって イメージ感あったりしますか
[35:55] 300万ぐらいでやりたいなとは思ってるんですけど
[36:00] なので3分の2返ってきて100万手出しで
[36:04] 結構いろいろできたら嬉しいなみたいな感じのイメージですか
[36:08] そうですね そういう意味だと ある意味手出しは300万までならできるっていうところがあるので
[36:14] 3分の2の枠でいけるとそうするとかなり予算はそれそうですよね
[36:20] はい 補助金考えてなかったんで いつも補助金頭にあるんですけど
[36:25] なんか申請めんどくさそうだし取れなかったら困るしみたいなことがあるので
[36:30] なんかとりあえず考えないでおこうみたいなところが前提であって
[36:34] 申請のコースはうちの方で申請ご支援させていただきますので
[36:39] 代行っていうふうになっちゃうと ちょっと補助金的にNGな部分が多かったりするので
[36:44] サポートっていうところではあるんですけれども
[36:47] 基本的にこっちで文書とか資料とか用意させていただいて
[36:51] ちょっと確認してくださいねっていうのと
[36:53] 提出するところだけ一応ご自身がやりましたっていう形で
[36:57] やっていただけるような形でさせていただいておりますので
[37:01] そこはあまりご心配されなくても大丈夫かなっていうふうなところで
[37:05] あと補助金使う上での事務的な工数のデメリットで言うと
[37:09] どの補助金もそうなんですけど 申請した後ですね 採択されると
[37:14] 大体3年間ぐらいですかね 1年に1回事業家報告っていうのをやらないといけないんです
[37:19] これもめんどくさいものではないんですけど
[37:23] 大体決算の内容とか提出するぐらいなんですけど
[37:26] その補助金使ってこういうことやりましたっていうのが
[37:29] 1年後どうなったか 2年後どうなったか 3年後どうなったかみたいなのを
[37:34] 記録してるみたいな感じなので それぐらいかなっていう気がします
[37:39] 事務的な工数で言うと そこに関しては正直そんなに難しいものではないので
[37:44] 基本的にご自身でご対応いただく形で大丈夫かなと思うんですけれども
[37:48] サポート必要でしたら 弊社でかなり軽いサポートになっちゃうので
[37:53] そこ業務量が少なさすぎて なんで時間短化制で
[37:58] 時間短化いくらでご支援しますよみたいな感じにはなってしまうんですけれども
[38:02] 一応お手伝いすることも可能ではありますので
[38:04] そこはあまり心配せずとも大丈夫かなというふうには思っております
[38:11] これまで補助金とかっていうのは使われたことはなかったみたいな感じですけど
[38:19] 承知いたしました
[38:20] そこに関しては私たちサポートさせていただきますので
[38:23] ご不安なく使っていただく形で問題ないかなと思っております
[38:31] もし弊社でサポートさせていただくとしたら
[38:34] 補助金も一緒にやっちゃった方がいいとは思うので
[38:39] その前提でお話し進めていくと
[38:42] スケジュール感だけですね
[38:45] こんな感じですね
[38:46] この補助金結構使いやすくて
[38:48] 1ヶ月に1回ぐらいは募集を行ってるんですね
[38:51] その募集が6月15日なので結構近々ですね
[38:59] 次だったら7月21日っていうふうな感じです
[39:04] これが大体1ヶ月後ぐらいにあるので締め切りからですね
[39:09] なのでこの補助金使う場合だと発表日があって採択されました
[39:13] っていう風になってから
[39:16] 開発のプロジェクト動き出せるっていう風な感じのイメージです
[39:21] 結構ギリギリではあるんですけど
[39:23] 今から急ぎで準備すれば6月15日間に合わないわけでもないぐらいの温度感なので
[39:30] もし7月下旬ぐらいから開発始めたいなっていう風な
[39:34] 気持ちがあるとしても
[39:34] ところであればちょっとここは早めに動いていければなっていう風なところですね
[39:39] そんなに急いでないよっていうところでしたら
[39:42] こっちでも大丈夫かなとは思うんですけども
[39:44] ちょっとその辺も念頭に置きながらご検討進めていただければなと思います
[39:49] はい、わかりました
[39:51] そうですね
[39:51] そうしたら最短2営業日か3営業日ぐらいいただければ
[39:56] ご提案書とモックアップご用意可能かなという風に思っている
[40:00] 次回のお会いし合わせを設定させていただいてもよろしいでしょうか
[40:03] はい
[40:05] そしたらそうですね
[40:11] 木曜日とかいかがでしょうか
[40:15] 木曜日 はい
[40:17] そしたら午後1時から14時などいかがでしょうか
[40:25] 分かりました
[40:27] スケジュール大丈夫そうですかね
[40:30] 6月4日ですね
[40:30] 6月4日の13時から14時で次回のお時間いただければなと思っております
[40:39] ご提案書の方とモックアップの方ですね
[40:41] 補正等準備してまいりますので
[40:43] 引き続きまた来週よろしくお願いいたします
[40:46] よろしくお願いいたします
[40:50] では本日はお時間いただきました
[40:51] ありがとうございました
[40:53] ありがとうございました
[40:54] 失礼いたします
[40:55] 失礼いたします
