[00:11] ウルさん来ますか
[07:08] でしたら返品のところについては
[07:11] 来週の火曜日にお話させていただくというところで
[07:14] 進めさせていただきます
[07:17] かけ率が結構細かく商品ごとに分かれたりとかがあると思うんですけれども
[07:24] これって現状で決まっていて
[07:29] あとはショッピファイにパーセントを載せていくみたいな部分と
[07:33] あと業者ごとのかけ率みたいなところがあると思っていて
[07:40] こちらってもう既に決まっていて
[07:43] 現在も運用されてるっていうようなところですかね
[07:46] そうですね。ほぼだいたい決まっていて、あとキャンペーンとか、そういうのは個別の営業で変わったりします。結構それもあったりします。
[07:57] 例えばルーダース購入なんですけど、じゃあ1本付けちゃおうとか、サービスで付けるとか、そういうのもあったりします。
[08:06] 在庫とかの管理って
[08:09] どういう感じになるのか
[08:11] 棚卸しなんか年1回でしたっけ
[08:13] されてらっしゃるみたいな話があったと思うんですけれども
[08:17] 注文入ったタイミングで
[08:19] 実は在庫がなくてとか
[08:21] そういうことってあるんですか
[08:22] 結構あります
[08:24] 結局今ちょっと問題なのが
[08:28] 例えばお客様から電話とか
[08:29] LINEとかで注文いただいて
[08:32] ありますって実際なかったりとか
[08:35] が結構多いですね
[08:38] それがちょっと問題ですね
[08:40] なるほど
[08:41] その場合は別の商品で補填したりとか
[08:45] そもそも発注取り消しみたいなところですかね
[08:47] 入荷まで待つみたいな感じですね
[08:51] なるほど 承知しました
[08:52] でしたらショッピファイって
[08:55] 在庫数を数字で入力して
[08:59] その在庫分登録できるみたいなことが可能なんですけれども
[09:04] 一気にハッチが入るってなるとやっぱりどうしても
[09:08] 在庫数ありになっていても
[09:11] いざその数は出荷できないみたいなことが起きると思っていて
[09:15] そういう運用の部分の在庫のステータスの部分
[09:22] B2B向けだと残り何ロットとか残りみたいなのがあると思っていて
[09:29] そういう細かい部分っていうのは決めれそうですかね
[09:35] 今そういうのは在庫とかないので
[09:39] ルールはないですけど決めた方がいいですよね
[09:42] 一気に例えば一日だけで500来ちゃったりとか
[09:49] あるってやつよりなくなっちゃったりするところもあるし
[09:52] 時間的にあるから
[09:55] そういう細かいところは機械に置き換わる分重要です
[10:00] になってくるんですけれども
[10:02] ちょっとその部分をしっかりしておかないと
[10:04] 発注したけど機械が
[10:06] 発注できなかったですみたいな風になってしまった時に
[10:09] そういった時の対応みたいなところとかも
[10:13] 大事になってくるので
[10:15] 例えばお電話するであったりとか
[10:16] 営業の方が行くであったりとか
[10:18] ちょっといろいろあると思うんですけれども
[10:23] これ在庫をうちが
[10:26] B2Bでやって
[10:30] 財庫をする時ってどのタイミングでするんですかね
[10:32] 在庫報告っていうのは
[10:34] 普段はどういう感じで
[10:36] 今って電話で
[10:38] 電話とか
[10:39] パックスご注文いただいて
[10:40] うちの社員が電話するなり
[10:43] ありますないとかっていうこともするじゃないですか
[10:47] このB2Bになった時に
[10:49] 在庫更新
[10:50] 在庫あるかないかっていうのを
[10:52] どのタイミングですればいいのか
[10:53] っていうのは
[10:55] 一応最初に在庫数
[10:57] 9月1日から
[10:59] B2Bの
[11:00] B2Bが始まると思うんですけれども
[11:02] それまでに
[11:03] ちゃんとした数を入れておきたくって
[11:05] それに応じて
[11:06] 発注が入ったら減っていくみたいな
[11:10] 入荷とか
[11:11] タイミングとか
[11:12] 聞く必要があるんですけれども
[11:15] 入荷した時にその数を
[11:17] 例えば400に戻すとか
[11:19] そういった運用のフローが必要になってくるんで
[11:23] 今までよりかは細かく
[11:26] 登録する必要があるかなっていう
[11:30] それはもうタイミングとか別に
[11:32] こっちのタイミングでいいんですか
[11:33] いやECを始めるまでに
[11:36] 正確な在庫数把握しておいて
[11:39] ECに最初入れるのが望ましいです
[11:42] 例えば羽が500個ありますってなったら
[11:47] スタートの時点でちゃんと
[11:48] あった数字が入ってないと
[11:50] そこから例えばECで勝手に3個売れたから
[11:53] じゃあ500個の方が3個売れたから
[11:55] 今497個ですみたいな
[11:56] お客さんからしても
[11:58] いちいち在庫数今エクセスかって言うと
[12:00] できないのがめんどくさいのが
[12:01] 今そのECサイトに在庫497個って
[12:04] 出てるようになってるんで
[12:06] じゃあマックスで497個まで
[12:08] 発注できるんだっていう感じで
[12:11] 数字が出るってことですね
[12:13] 数字出すようにできますし
[12:14] 出したくなかったら出さないで
[12:19] 残り少ないですぐらいの表示にしておくとか
[12:22] 単純にお客さんが500個とか200個とか
[12:25] 500個とか300個とか600個とか入れたら
[12:28] 在庫が足りませんって言ってるだけで
[12:32] 決めればね
[12:33] なるほど
[12:34] わかりました
[12:36] ちょっとじゃあ
[12:37] この在庫の部分に関しては
[12:39] どういった風に進めていくか
[12:41] みたいなところは
[12:42] 一旦こっちの方では仮で作成しておきますので
[12:45] ちょっと考えていてもらえると嬉しいです
[12:48] はいわかりました
[12:50] 多分ここの部分しっかりすると
[12:52] 電話で今までやり取りしたみたいな部分が
[12:55] まるっと減っていくような
[12:57] でもちょっと問題もありまして
[13:00] 例えば
[13:02] これ全部の日本のお客様
[13:04] うちのクライアント様が見れるわけじゃないですか
[13:08] あんま浮いたくないところもあるんですよ
[13:09] 中には
[13:10] あーなるほど
[13:11] めちゃくちゃ売れる商品があって
[13:13] あんま浮いたくないところが
[13:15] 例えば1000個買っちゃったりとか
[13:17] そこが支払いが悪かったりとか
[13:19] っていうところもあったりするんですよ
[13:20] 中には
[13:23] だからあんま本当の情報を載せれないって思っちゃう
[13:26] 実は隠れ在庫があるとかって結構この業界あるんですよ
[13:32] で在庫があるとか
[13:34] 重要な下線出すとか
[13:37] あーでしたら前回のお打ち合わせの時に
[13:41] 振込手数料を含めて支払いしてもらうように
[13:44] アラートというか通知を出すみたいな部分あったと思うんですけれども
[13:48] そのお得意さま向けにはそういう通知を出すなり
[13:53] まあこれまでどうでしたか
[13:54] システム的なEC用の在庫とそうじゃない在庫で分けておいて
[13:59] ECの在庫数はあくまでもEC用の在庫ですからね
[14:01] EC用の在庫とは別のものですからね
[14:02] EC用の在庫というのはみんなに売る在庫にしておいて
[14:05] 在庫がないですってなる時にECの方に
[14:09] 今EC用の在庫が欠品しております
[14:13] 場合によっては売れるかもしれないからお問い合わせくださいみたいな
[14:18] メッセージにしておくとかそんな感じのイメージ
[14:25] お客さんごとに違う数の在庫を表示するはちょっとだいぶ大変
[14:30] そうですよね
[14:33] できなくはないですけどなんか結構細かくいろいろ決めて作んなきゃいけないんで
[14:37] 今回のスコープだと対応しきれないかなとは思って
[14:40] まあなんかやりながら追加開発でやらせていただくとかでできるかなと思うんですけど
[14:45] もしかしたら例えば500にしておいて実際は例えば2000ありますと
[14:50] 500にしておいて減ってきた時にめちゃくちゃ買うとこに直接電話して
[14:56] いや実は300あるんだけどどうですかっていう提案とかですね営業マンが
[15:03] そうですねちょっとその部分もなんていうんですかね
[15:08] 実際に注文したい数をクリックできなくなっちゃうと思うんですね
[15:14] 残り300で本当は1000個あるとかだと
[15:17] 仮に注文ってところを押してしまった後にそういったことを実行していくのかみたいな部分もあって
[15:27] そうですね
[15:32] 残りわずかとかにしておいて
[15:34] まあなんか問い合わせくださいとかにしておくと
[15:38] 1回電話のフローが挟まってはしまいますけれども
[15:41] 売りたい人たちに対してはこう
[15:44] なんていうんですかね
[15:45] こういい数量販売できるんじゃないかなみたいなところはありますね
[15:50] そうですねわかりましたちょっと考えます
[15:53] しました細かい数じゃなくてもなんか
[15:55] 例えば3色でいっぱいある時の色とか減ってきてますみたいなとかも可能ですので
[16:00] ちょっとその辺りにしておいて
[16:02] そういったところも考えていただけるといいかなと思います
[16:06] こちらの税表示のところなんですけれども
[16:11] 表示金額って現状のこのカタログだと全部定価というか定価が載っていてみたいなイメージですかね
[16:22] 上代だけが税込み表示でされてるって感じですかね
[16:28] メーカー上代ですね
[16:29] メーカー上代
[16:30] はい
[16:32] 税込みの価格ですかね
[16:34] はい税込みです
[16:35] 承知しました
[16:37] B2Bとりあえず税込みで表示しておいて
[16:40] B2CもそのB2C販売価格の税込み表示でいいですかね
[16:46] うちの卸ですか卸の金額
[16:49] そうですねB2Bの場合価格を上代と卸価格で2つ表示するという話に先週なったと思うんですけれども
[17:00] その表記金額
[17:02] その表記金額は税抜きか税込みかで表示するかっていう
[17:05] 税抜きの方がうち今全部税抜きでやってますね
[17:09] 承知いたしました
[17:10] お客様用そのカタログとかは税込みでやってますね
[17:15] でしたらB2Bは税抜きでB2Cは税込みですかね
[17:22] B2Bは税抜きでB2Cは税込みはいそうですね
[17:25] 承知しましたありがとうございます
[17:27] えーと
[17:29] はい
[17:30] はい
[17:31] はい
[17:31] はい
[17:52] そうですねそうですねはい
[17:54] もしかしたらその発注できるかもみたいなところで
[17:58] ちょっと少なく数書いておいて
[18:02] まあ売り切れちゃうとお電話みたいな
[18:04] そうです
[18:06] 問い合わせ
[18:08] 今なるべくその電話はやっぱ出たくないようにしたくて会社で
[18:11] あーですよね
[18:13] はい例えばAIみたいな感じで
[18:17] 代行ないですかって言ったらポンと返ってくるみたいな
[18:19] うーん
[18:19] そういうのが一番理想は理想ですよね
[18:41] うんうん
[18:42] うん
[18:42] うん
[18:43] うん
[18:43] うん
[18:44] うん
[18:44] うん
[18:44] うん
[18:45] うん
[18:45] うん
[18:46] うん
[18:46] うん
[18:46] うん
[18:46] うん
[18:47] うん
[18:47] うん
[18:47] うん
[18:47] うん
[18:47] うん
[18:47] うん
[18:52] うん
[18:52] うん
[18:52] うん
[18:52] うん
[18:53] うん
[18:53] うん
[20:00] 中には優先顧客に流したいのに
[20:03] これを振ることによって
[20:04] 時に行っちゃうみたいな
[20:07] でしたらあんまり
[20:09] 販売したくないみたいな
[20:11] パターンの
[20:12] お客様が少ないようでしたら
[20:15] その人たちだけちょっと絞って出す
[20:17] みたいなこともできなくはないので
[20:18] ちょっとここも
[20:21] あれですね
[20:21] でもまず最初はいいんじゃないですかね
[20:26] 大変だし
[20:27] でしたら
[20:30] どうですかね
[20:30] ある程度普通ぐらいの在庫数で
[20:32] 登録しておくっていうイメージで
[20:34] 在庫がゼロになったら
[20:36] お電話してくださいっていうようなフローで
[20:39] こっちで例えば
[20:41] 500やっといて
[20:43] 200になりました
[20:44] また商品が1000入ってきましたって言ったら
[20:46] 1200でいいんですよね
[20:48] 1200でも大丈夫ですし
[20:50] 絞りたいみたいなところがあれば
[20:53] 500にするなりとか
[20:54] そういったところでも全然問題ないかなと
[20:57] 思います
[20:58] 一応画面から
[21:00] ポチポチやる感じではあるんで
[21:02] そんな難しい作業でもないですし
[21:04] 時間がかかるみたいなところも
[21:06] 基本的にないので
[21:07] そこは問題ないかと思います
[21:10] はい
[21:13] でこっち
[21:16] 75番の
[21:17] このご注文時の
[21:18] 通知みたいなところなんですけれども
[21:21] 一応ショピファイで購入されたら
[21:23] 購入されたメールみたいなのは
[21:25] 来るんですけれども
[21:28] なんかメールが
[21:31] 届くっていうようなフローで
[21:32] 注文を確認していくってところで
[21:35] そこは問題なさそうですかね
[21:36] 全く問題ないです
[21:38] これまでだったら
[21:40] 電話で聞いて
[21:43] ありがとうございますって電話で
[21:44] 言うみたいな感じでしたかね
[21:46] そうですね例えばこの商品を100出すください
[21:49] 電話でありがとうございますって言ったら
[21:52] 社員がマネーフォワードに
[21:54] 納品書を打って
[21:56] 紙で発行して
[21:58] 商品として同封して
[22:02] それってその掛け払いの方たちは
[22:05] まとめて最後に
[22:07] 締め日に請求書をまとめて送っている
[22:11] 納品書は納品書で毎回送ってるっていうような
[22:13] イメージですか
[22:14] 送ってるんですけど
[22:15] でも今回これって自動で行くじゃないですか
[22:18] ゆくゆくは納品書は
[22:22] 自動で向こうに
[22:23] 向こうのメールアドレスに送って
[22:26] 実際商品に納品書入れないんですよ
[22:30] っていうのがやっぱり理想です
[22:32] 承知しました
[22:33] 一応現状だと
[22:35] 今後触っていただくので
[22:37] そこに関しても要望というか出てくるかなと
[22:39] 思ってるんですけれども
[22:41] 今B2Bの
[22:43] 手で買い物をする
[22:45] 都度払いっていう手で買い物をすると
[22:48] そもそもショッピファイが
[22:49] 購入された時にメールが届くっていうのがあって
[22:51] そのショッピファイのメールにプラスで
[22:54] 都度払いの場合だと
[22:56] マネーフォワードから
[22:57] 即時で請求書が
[23:00] 送られてくるっていうような
[23:01] ことだったと思ってるんですけれども
[23:03] その場合
[23:03] ショッピファイからとマネーフォワードから
[23:06] 2通メールが届くんですね
[23:09] そこに関して
[23:10] ショッピファイのメールの
[23:15] ご案内みたいな内容を
[23:18] お客さんがちょっと勘違いしてしまうかな
[23:20] みたいなのを思ってて
[23:24] 今回ちょっと裏技的な感じで
[23:26] ショッピファイとマネーフォワードを連携してるような感じにはなるので
[23:30] 買った時に1回ショッピファイから
[23:34] 正しい請求ではないですけれども
[23:35] 請求メールみたいなのが届いて
[23:37] そこからマネーフォワードから
[23:40] PDFで送られてくるっていう流れになるんで
[23:44] 送らないようにできないんですっけ
[23:47] ショッピファイの方ですかね
[23:56] PDFとかリンクを送ることは可能って感じ
[23:58] それだとダメなんですか
[24:02] それでもいいですし
[24:16] 送る方がいいんじゃないかなと思っていて
[24:18] 前者の方がいいと思うんですけど
[24:20] 後者にする理由って何かあるんですか
[24:23] 掛け払いの人たちで
[24:26] こう
[24:26] 都度ポチポチしていって
[24:29] で
[24:30] ってなった時に
[24:31] PDFは発行その場ではされてなくて
[24:34] まとめて毎月送られてるっていうのがあるんで
[24:36] 受注メールの
[24:37] メールの文言ってある程度こっちでコントロールできるんで
[24:40] なんか注文が成功しましたは
[24:42] 逆に何も届かないとおかしい気がするんで
[24:45] あ、そうですね
[24:46] なんですよね
[24:46] なんでだから
[24:48] 届いていいんじゃないですか
[24:48] いくらの注文ができましたが
[24:50] ショッピファイから届いて
[24:51] ご請求に関しては何月何日に
[24:53] どうたらこうたらですとか
[24:54] なんかデータ的に取ってこれるんだったら
[24:57] 現在の何月何日末でのご請求額はいくらですとか
[25:00] って書いてあったら
[25:02] 親切なんじゃないですかね
[25:05] ですねありがとうございます
[25:06] でしたらちょっとその
[25:08] 注文時のショッピファイメールに関しては
[25:10] 都度払いの場合は
[25:13] マネフォワードの請求から払ってくださいっていうようなご案内と
[25:17] かけ払いの方だったら
[25:19] ちょっとここは要相談ですけれども
[25:22] 今月のステータスみたいなのが見れてもいいですし
[25:25] 今月の注文につけておきましたみたいなメールを
[25:28] 送るっていうような方向で進めようと
[25:30] 都度払いは何で別にする必要は
[25:34] これ入れちゃダメなんですかね
[25:35] ショッピファイの中に
[25:39] そうですね確かに
[25:43] ショッピファイからしかメール送らないで
[25:47] 月末にまとめて払う人だけ
[25:48] マネフォワードからメールが届くでいいんじゃないですか
[25:52] そうですね
[25:53] じゃあそうします
[25:57] ですねちょっとその方が
[25:59] メールの数も減るんで
[26:01] そうですね
[26:01] 多分お客さん困っちゃいますね
[26:03] ですよねちょっと
[26:05] 二重メールどういうことってなっちゃうかなと思うんで
[26:11] でしたらメールのとこに関しては
[26:13] こんな感じで進めていきます
[26:19] 前回サイズごとにジャンがあるっていうお話があったと思うんですけれども
[26:26] これカートの画面でも表示するかっていうところがありまして
[26:33] 注文画面でもジャンコード見れた方が親切ですかね
[26:38] 絶対親切ですね
[26:40] B2Bは
[26:41] B2Cはいらないですね
[26:43] B2Bは絶対そうです
[26:47] B2Cも商品ごとにサイズごとで選べるっていうような方法でいいですかね
[26:55] そうです
[26:56] 承知しました
[26:57] B2Bの方はジャンコード表示するっていうような風にしていこうと思います
[27:02] 別にB2Cも一緒でもいいですよ
[27:04] ジャンあってもいいです
[27:05] ジャンないよりはあった方がいいので
[27:07] 入れれるなら入れておいた方がいいみたいな感じですかね
[27:10] 承知しました
[27:12] あった方がいいと思います
[27:13] あった方がいいと思います
[27:15] じゃあどっちもカート画面にも表示するっていうような
[27:18] はい
[27:20] 承知いたしました ありがとうございます
[27:36] こちらですね
[27:38] EC開始後 9月1日の段階ではどうするかはあれなんですけれども
[27:42] 10月1日の段階ではどうするかはあれなんですけれども
[28:36] 12月まではそういうお客さんは守りますよ
[28:39] でもじゃあ2027年の1月1日からも絶対一切ダメですみたいな
[28:46] パックスではダメですみたいにしたいです
[28:48] 期限を決めて
[28:49] 電話で注文してきてるお客さんでも
[28:52] 一応ショッピファイのアカウントは発行しておかないと
[28:56] ショッピファイの画面上で誰から注文を受けたって入れらんないんで
[29:00] 発行はしてご案内はしちゃっても問題ないですけど
[29:02] 別にこれはしたくなかったらアカウントだけ勝手に作ってしないと
[29:05] 別にこれはしたくなかったらアカウントだけ勝手に作ってしないと
[29:07] そうしないとその人のオペレーションに関しては全部主導になっちゃうっていうのは
[29:13] そうしないとその人のオペレーションに関しては全部主導になっちゃうっていうのは
[29:14] そうですね そうですね
[29:15] 全然仕立てていいですし
[29:17] 多分そういったところこそ売り上げちっちゃうんですよ
[29:21] 田舎のショッピファイなので
[29:25] だからそれは仕立てないです
[29:26] だからそれは仕立てないです
[29:26] だからそれは仕立てないです
[29:27] ありがとうございました
[29:31] 有償ですかそういうところって大体
[29:33] 有償ですかそういうところって大体
[29:34] 今はもう請求書は全部メールで仕立ててるんですけど
[29:44] 今はもう請求書は全部メールで仕立ててるんですけど
[29:45] 最初はそうでした
[29:48] なるほど
[29:51] そこは今は大丈夫
[29:52] そこは今は大丈夫
[29:53] もうはいめちゃくちゃいったので
[29:55] じゃあ大丈夫かなと思います
[29:57] 段階的に移行していくっていう感じ
[30:00] で進めていきます 10月1の金額変わる部分は9月1からの
[30:08] テストの段階では今までの価格 で10月1の時にリニューアルされる
[30:14] タイミングでB2Bも新しい金額になる ってイメージであってますかね
[30:20] そうです10月1日からB2BもB2Cも 新しい金額になります
[30:24] はいじゃあB2Bの9月1からのテスト 段階では今までの金額で承知しました
[30:32] ありがとうございます
[30:51] 一応今回ある程度聞かせていただ いてショッピハイの設計の部分で
[30:58] 必要なところはある程度お聞かせ いただけたかなと思っていて実際
[31:05] に作ってきますのでそれ触って いただいた上でまた質問とか増
[31:12] えてくるかなと思っております のでそちらを解決していってどん
[31:16] どん進めていくっていうような 流れでやらせていただけたらな
[31:19] と思っております
[31:21] でその他にも前回お伝えしたデザイン の部分でここの文言はこういった
[31:27] のがいいですあったりとかそう いったところが増えてくるかな
[31:31] と思っているのでそちらは触って いただいた後に一緒に修正して
[31:35] いくっていうような方向で説明 させていただければと思っております
[31:41] とあとあれですね特定商法のやつ の表記の部分であったりとかあと
[31:51] は先ほどもお伝えしたマネーフォワード の画面ログインできるものと
[31:58] あとは商品のエクセルの部分を ご共有していただけたら結構大
[32:04] 幅に進められるんではないかな というふうに思っております
[32:14] 古谷さんショピハイの最初の契約 って弊社の方で進めて後に移管する
[32:21] っていうのはどういうふうに 考えているんですか
[32:24] 今契約ってどうなってます何も なってなかったですか
[32:26] 今はいマネーフォワードに関して はログインさせていただくっていう
[32:31] 感じです
[32:32] ショピハイ今開発ストアだから 別に課金しないとなんかできない
[32:37] テストがあるんでしたっけ
[32:39] そのカードの申し込みとかペイペイ とかいろいろあるんですけど
[32:43] カードの申し込み系こっちのアカウント でやっちゃってもなんか多分できない
[32:47] と思うんでそれやるのには
[32:49] もちもち承認が必要になっちゃ うんで
[32:51] 契約してもらう必要があります ね
[32:54] はいお待ちしております
[32:55] 遅くなりました
[32:58] 今ショピハイの進めていくにあた っての質問みたいなところを
[33:02] 説明させていただいております
[33:06] そしたら御社の方にご契約して いただいてカードの申請だったり
[33:13] とかも進めていくっていうような ところで問題なさそうですかね
[33:19] うちがやるんですか申請を
[33:22] 申請自体は弊社の方でやるんですけど
[33:24] ショピハイのカーランの契約を
[33:29] 補助金でいただいてる情報でうち が代わりに出せそうな気はするん
[33:35] ですけど
[33:35] なんか追加で本人確認とか確か あったと思うんでその辺はちょっと
[33:39] やってもらわないとうちだとできない かなと思います
[33:42] わかりました
[33:44] 認証みたいなところだけちょっと お願いする形にはなると思うん
[33:47] ですけれども
[33:48] それを進めるにあたってベーシック プランの方をご契約していただき
[33:53] たいっていうようなところでお 願いします
[33:56] そうですねこちらもちょっと来週 の
[33:59] 一緒にミーティング室内で画面共有 していただきながら操作するの
[34:04] がいいかなと
[34:04] はい
[34:45] !
[34:45] もううちはうちらは大丈夫です 10時からであれば
[34:49] そしたらちょっと私たち10時から 打ち合わせるんですけど
[34:58] 11時でも
[34:58] そちらの古谷さんそこどうですか ね10時からの分の
[35:04] 11時でもいいですよ
[35:05] 11時でもいいって言ってくれて るんですけれども
[35:09] 私出れれば出ますけど最悪細谷 さんさえ出れてればいいんですよ
[35:15] そこは問題ないかなとは
[35:18] 11時でも大丈夫みたいなんですけど
[35:22] 11時でも大丈夫です
[35:23] じゃあ11時からにしましょう
[35:25] 11時でもいいですか
[35:26] はい
[35:27] 承知しましたありがとうございます
[35:29] じゃあ次回11時からですね
[35:32] そしたら税理士のメールアドレス 教えましょうか今
[35:37] じゃあちょっとご挨拶だけはい
[35:41] ここに11時ミーティングっていう ふうにやっておきますので
[35:59] 両方マイクオンにしちゃうと音 があれになっちゃうんで
[36:03] そしたらいいです僕のメールアドレス 送ってくれば隣にいるんで
[36:08] 承知しました
[36:10] はい
[36:15] 次回は火曜日の11時からということで
[36:20] それまでにshopifyのデザイン以外 の部分はほとんど完成のところ
[36:24] まで持っていこうと思ってます ので
[36:28] 内藍さんが
[36:29] はい
[36:51] あとカードの申請だったりとか
[36:54] 細かい規約の部分とかそういう ところにフォーカスしていければ
[36:59] スケジュール間に合うんじゃない かなと思っておりますので
[37:02] そういった感じで進めさせていただけ ればと思っております
[37:08] 何かご質問とかございますか
[37:16] 何かありますかお茶屋さんに
[37:19] ごめんなさい途中から参加していませんので
[37:22] 途中からなんでちょっとよくわからないんですけど
[37:26] 今回やらせていただいた内容としては
[37:29] shopifyの細かい部分とかの使用を決めるための質問をいくつかさせていただいて
[37:35] それをご回答いただいてたっていうところで
[37:38] 返品の部分に関しては税理士さんが来週いらっしゃるってことなので
[37:43] そのタイミングで一緒にお話ししましょうっていうようなところになっていて
[37:48] ちょっと今日聞かせていただいた内容をもとに
[37:51] shopifyのデザイン以外の部分はほとんど完成まで持っていってきますので
[37:56] 来週以降実際に触っていただけるっていうような説明方にしておりますので
[38:01] はい分かりました
[38:03] 問題なさそうですかね
[38:06] やりながらわからないところは教えていただくっていう形で
[38:10] 実際触ってみるとここどうなってるのみたいなところとか結構出てくるかなと思ってますので
[38:18] 全て聞いているのではい
[38:20] はい
[38:22] そういったコミュニケーションを取れるように弊社の方でも進めていきますので
[38:28] 次回は8月3日の火曜日の11時からですね
[38:33] またURL送っておきますのでそちらからご参加いただけますと幸いです
[38:38] もう1個サクリですか
[38:39] はいどうぞ
[38:41] 納品書は確認ですけど例えばお客様からうちのEC法人で例えば東京のお店が受注あるじゃないですか
[38:52] 例えばAの商品が100だって注文があったらそれが勝手に納品書にまずうちのマネフォワードで勝手に上がるってことですね
[38:59] そうです
[39:01] かけ払いの場合はそれが月末にまとまって請求書として上がるっていうような感じです
[39:07] 請求書はね納品書はすぐ上がってくるってことですね
[39:12] マネフォワード上にっていうことですよね
[39:15] そうです
[39:16] 上がってきてゆくゆくは自動で送信もできるんですかそこのメールは
[39:24] 送信自体はできるんですけれども最初は確認があった方がいい
[39:28] 納品書っていつもどのタイミングで送ってますか
[39:32] いつもその商品を送るときに一緒に同封して送ってます
[39:37] だからこれはメールで送られる必要はないってことですよね
[39:41] なんかパッキングするときに印刷できるようにしたらいいみたいなイメージですかそれともメールで送られるようにしたいですか
[39:47] えっと結局自動で今回その日に送られたんですけど
[39:52] やっぱまた印刷して同封して送るっていうのがせっかくならもうメールで送っちゃってもいいんじゃないかなっていう
[40:01] それとも注文時に届いちゃったら変ですよね?
[40:06] いや、変ではない。だって、送り状の問い合わせ番号も行くんでしたっけ?例えば、佐川急便で。
[40:12] あっ、そう。
[40:13] それ行かないんですっけ?それ行かないです。
[40:15] 納品書に入れられるか入れられないかなんですか?技術的には入れられると思います、納品書に。
[40:21] 例えば、受注で8月3日に注文いただきました。出荷は8月3日です。
