[00:01] います ちょっとシートにですね情報整理してきたので今日そこを一緒に見たいなっていうのと
[00:08] えっとまぁモック モックレベルではあるんですけどもえっとまぁこんな感じで画面を改善したらいいんじゃ
[00:14] ないかみたいなところを作ってきましたのでそこ一緒に見ながらえっとまぁご意見を 伺えればなというふうに
[00:23] 思っております ちょっとこちらのシートも持ち方
[00:28] をとっ
[10:03] 多分このメール自体に返信して、何か言ってくださいみたいなイメージだと思うんですね。
[10:08] BだとLINE追加して、LINE追加した上で何か送ってくださいみたいな感じだと思います。
[10:15] ちょっと楽待ちのチャットで送ってほしいは、後ほど細かいところで相談させていただきたいなとは思っているんですけど、
[10:23] これもイメージで言ったら、メールで楽待ちのチャットで送ってほしいって返事するイメージですかね。
[10:30] で、Dその他みたいな感じになっていると思っていて、
[10:34] どちらにせよユーザー側からメールに返信しなきゃいけないみたいなのが、
[10:40] ちょっと面倒くさいんじゃないかなっていうふうに思っていますと。
[10:43] 理想論で言ったら、ちょっとここシステム的なところを考える必要があるんですけど、
[10:49] A、B、C、Dみたいな感じで選ばせるにしても、
[10:52] ボタンを押すだけでリクエストが飛ぶみたいな感じにしちゃいたいなっていうところではあります。
[10:58] 細かい設計はちょっと簡単です。
[11:00] 考えなきゃいけないなってところであるんですけど、
[11:02] イメージで言ったら、こういう感じのボタンがあって、
[11:10] リクエスト飛ばせるようにしちゃうっていう感じですね。
[11:14] そもそもリクエスト飛ばすのところが疑問に思ったのが、
[11:19] これってちょっと細かいところ聞かなきゃなと思ったんですけど、
[11:22] この毎足、概要書を送りたいって話じゃないですか。
[11:30] であれば、これ何て言うんでしょう。
[11:31] これちょっといろいろ、宅建業法的な制約があるのかなとも思ったんですけど、
[11:37] シンプルに送ってくださいって頼ませるんじゃなくて、
[11:41] リンククリックしたら見れるとか、そういうのにしちゃうのってまずいのかなっていうのはちょっと。
[11:46] 全然問題ないですけど、技術的にどうなのかなっていう気がする。
[11:51] なるほど。
[11:52] 概要書自体が業者によって様々なんですよ、作り方が。
[12:04] 横の概要書にしてるとこもあれば、縦型にしてるとこも文字だけでやってる業者もあったり、
[12:11] 何とかされてないんですよね。
[12:13] 基本的に概要書の下帯って言うんですけど、業者が名前書いてるんですよ、連絡先とか。
[12:20] それが8割、9割がその組織なんですけど、それ一旦消してそこにうちの帯を入れて送るっていうのが一般的なやり方なんです。
[12:30] うんうんうん。
[12:31] その手があるもんだから。
[12:33] 概要書っていうのは御社側はどっから入手されてるんですか?
[12:36] 基本的にレーンズとかアットホームにみんな8割型アップしてるんですよね。
[12:40] あ。
[12:41] そっから取って、帯替えてやってるんですけど、それを自動でやってくれるっていうサービスを作ってる会社もあることあるんですけど。
[12:49] 概要書って、概要書の取得はできないんですね、今チタンさんが作ってる。
[12:55] いや、チタンのシステムに概要書見れるんですよ。
[13:00] なので自動では取れないですか?エアテーブルとかの。
[13:02] エアテーブルも。
[13:03] エアテーブルに入れるみたいなことはできないですか?
[13:06] あのー、聞いたんだけど、それも画像でもう一回貼り付けてやるしか、その時はセントグループの方は言わなかったんですよ。
[13:13] あ。
[13:14] 人手もかかるんですよ。
[13:15] うんうんうん。
[13:16] だから概要書自体は多分、取ろうと、まあこの辺取れないっちゃったのかな、わかんないですけど。
[13:22] あー、システムで自動で取れないからリクエストがあったらこっちが手動で取っておく。
[13:27] だからちょっとそこめんどくさいんですよね。
[13:30] なるほど。
[13:30] 本当はそこまで上手くできれば、そう楽じゃ楽なんですよ。
[13:36] で、基本的に概要書から詳細資料欲しいっていうのは、10件に1件、20件に1件なんですよ。
[13:43] うんうんうん。
[13:44] だから流れとしてはまず概要書送って、次具体的に検討したい場合に、まだ業者に取り寄せないといけないんで、詳細資料。
[13:53] レントロールって、家賃表っていうのがあるんですけど。
[13:55] あー。
[13:55] そういうのとか、細かい物件の資料、詳細資料、銀行に出す時の。
[13:59] うん。
[14:00] うんうん。
[14:00] だから次の2ステップ目なもんだから、まずは概要書送って、詳細資料送って、現地案内とか、そんな流れなんで。
[14:09] 100あれば、100請求があって、詳細資料いくのは、その中で10%、20%。
[14:16] うんうんうん。
[14:17] 案内までいくのは1%、2%とか、そんなイメージです。
[14:20] だからまずは、1回1回詳細資料請求すると、すんごい手間と時間かかるもんですから。
[14:25] うんうんうん。
[14:26] まずは概要書を見さして、その次。
[14:29] 希望があれば、その次。
[14:30] 詳細資料っていう流れにしたいんですよね。
[14:33] これ、ちなみに、概要書と、このページのここに載ってる情報って、違うんなんですか?
[14:40] 概要書の方がもちろん。
[14:41] 概要書の方がもちろん、細かく書いてますね。
[14:43] これ、あくまで必要最低限の数字だけですから。
[14:47] で、これも、レインズとかに適当に記載してる業者なんかは、ちゃんと、利回りが書いてなかったり、築年書いてなかったりするケースがあるんですよね。
[14:57] うんうんうん。
[14:58] だから、あのー。
[15:00] 宅建業法とレインズがすごいアバウトなんで、ここまでちゃんと載っけろっていう決まりがないんですよ。
[15:07] あー、なるほどですね。
[15:08] だから、もうすごいルーズなんで、不動産業界って。
[15:12] あー、そうか。
[15:13] とりあえず、概要書をなんでいきなり見せないのかなっていうのは、そういう理由があるってこと?
[15:18] そうすると、めんどくさい。
[15:19] めんどくさいっていうか、手間がかかるし、その、概要書をアップするのはいいんだけど、業者名が書いてあるもんだから。
[15:27] うんうん。
[15:27] それを消さないといけないっていう、ひと手間がかかるんですよ。
[15:30] うんうんうん。
[15:32] したら、じゃあちょっとタスクを、こういう感じだけど。
[15:39] 対応書を、リンジから、自動記事、調査。
[15:55] うん。
[16:00] を入れておきましょうか。で、これ、まあ、概要書の取得さえできちゃえば、その概要書を画像化して、ちょっと加工するみたいなのは、多分簡単にできるんですね。
[16:11] 自動回帰。
[16:11] あー、そっからそれはありがたいですね。概要書は多分取得できますよ。だから、取得っていうか、システムで入ってるんで、システムの中には。
[16:19] あー、ですね。それを人間の手でダウンロードしてくると、めんどくさいじゃないですか。
[16:23] そうですよね。
[16:24] このメール、1通送るんじゃなくて、何百通も送ってるんで。そのメールを、人間の手でダウンロードしてくると、めんどくさいじゃないですか。
[16:30] 何百通分、概要書ダウンロードするのかって話になっちゃうんで。
[16:33] 大変ですよね。
[16:34] そう、めんどくさいんで、システムで概要書を自動ダウンロードしてこれれば、ダウンロードしたやつを帯を張り替えてみたいなのは、絶対できるんで。
[16:43] あー、できそうですね。
[16:44] そこを今、なんていうんでしょう。パソコンの中で動いてる、レインズからの自動取得システムって、そもそもそういう機能があるのか。多分ない気がするんですけど。
[16:55] あ、いや、システムで、その、なんかな。概要書は取れてるんですよ。
[16:58] 取れてるんですか。
[16:59] 取れてるんですか。
[17:00] 取れてる、取れてる。だからシステムの中、ログインしてもらえば。
[17:03] システムの中っていうのは。
[17:05] だから、チタンのシステムがあるじゃないですか。大臣システムが。
[17:09] じゃあ、そういう概要書取ってくるAPIもあるって。
[17:12] あー、だからもう取れてるんですよ。
[17:14] じゃあ、多分いけます。これ。
[17:16] 取れてるけど、そのAPIで、その、なんかな。エアテーブルに取れてるかどうかは分かんないですよ。
[17:23] APIで取れてるんだったら、あとエアテーブル側にフィールド設けてやればいいだけな気がする。
[17:31] パソコンには取れてるんですよ。パソコンには取れてるけど。
[17:34] あー、なるほど。
[17:36] よしみさん。
[17:38] 概要書もらえば、ログインできると思うんで。
[17:41] あー。
[17:42] うちの、今、リンク自体はお客さんのクリックするリンクですけど、うちの会社として見れる部分があるんで。
[17:52] あー、はい。
[17:53] それを見てもらえれば、概要書自体はそこでアップされてますから。
[17:57] なんとかできそうですね、それだったら。
[18:00] それなら。
[18:00] はい。
[18:01] なんとかできそうですね。
[18:02] やり方はもう簡単なんで、チタンの管理のアリに入ってもらって。
[18:08] ふんふんふんふんふんふん。
[18:12] あとはそうですね、そのパソコンをどのくらいいじっていいかっていうのが、ちょっとチタンさんとコミュニケーション取りたいところですね。
[18:22] うんうん。どんどん取っても。
[18:24] そのパソコン側にダウンロードした概要書を、なんか編集して、そのままリンクを取ってもらっていいかなっていう。
[18:34] そうですよね。それをしたかったんですよ、私としては。面倒だから。
[18:37] うんうんうん。
[18:38] 技術的にはできるんですけど、その、勝手にチタンさんの作ったサービスを、なんていうんですか、改造しちゃっていいのかみたいな問題が。
[18:47] まあまあそれ聞けばいいんじゃないですか。聞けばすぐ教えてくれる。
[18:51] で、ちょっと。
[18:51] データはこのうちのパソコン内に取れてるんで。
[18:55] うんうんうん。
[18:57] そのパソコンって貸出でしたっけ?
[19:00] 貸出、貸出です。
[19:01] ですよね。なんでその貸出のパソコンの中に、
[19:06] いいのかみたいなのは。
[19:06] まあそれ聞けばいい話だから。
[19:08] そうですね。確認はできる。
[19:10] では、なんと、実行してくれると思うから。
[19:12] ですね。
[19:15] ちょっとこの辺の技術調査とチタンさんのコミュニケーション、
[19:19] 吉国さんの方で動いてもらえると嬉しいです。
[19:24] ちょっと話を戻ると、
[19:27] えっと、じゃあなんか動線に関しては、
[19:30] これそもそも、じゃあ概要書見た上で、
[19:33] あのー、
[19:35] 興味があるんで商談したいですみたいな感じの動線にしちゃってもいいのかなって思って。
[19:40] うん、全然。多分それが一般的です。
[19:42] ですよね。
[19:43] うん。
[19:46] 概要書見て興味があるんで、相談したいですだったら、
[19:49] むしろいきなりオンラインミーティングとかでもいいっていう。
[19:51] うん、全然いいと思いますよ。
[19:54] OKです。
[19:55] ですから、そのなんか、それをずーっとしたくて、私これ作ってたんで。
[19:59] 1、2、3、4、5、6、7、8、9、10。
[20:00] 観念かけて
[20:04] まず概要書がどこにあるかだけでも言っておきましょうか
[20:12] いやいやシステムのログインのアイデアを上げてるじゃないですか
[20:19] 土地大臣ってことですか
[20:20] そうです土地大臣の
[20:22] 土地大臣に表示されてるデータってあれローカルのパソコンの中のデータが表示されてる
[20:27] そうそうそううちに2台パソコンがあるんでそこにどんどん情報を取ってる状況ですね
[20:36] だからそこでやり方は言うと
[20:39] 社内物件検索って
[20:41] はい
[20:41] あるんで
[20:43] 管理画面っていうよりはコンピューター自体にSSHアクセスしたくて
[20:49] そうするとコンピューターを改造するっていうことができる
[20:53] なるほどなるほどそのあたりちょっとグレーリングなことも分かんないんで
[20:57] 一応だからパソコン自体には見れて私もそこから取ってるんですよ情報を
[21:03] レインズから取ることもありますけど
[21:05] ここで情報今までずっと探したんで
[21:08] そこで探して取ってくるっていうのをしてますね
[21:11] 今のところは
[21:14] ここは理想の
[21:15] 見てもらえば
[21:16] 池田さん見てもらえばもうすぐそのデータは
[21:21] なんかな
[21:22] ここでできた物件の中でスクロールしたのにしてもらえれば
[21:30] 図面っていうのがあるんですね
[21:34] 図面クリックすれば図面ありで
[21:37] 左側の図面クリックすればレインズに登録されてる物件の画面があるんですよ
[22:04] 仮に2億円ぐらいの物件でパッと検索してもらって以上とかで
[22:09] 1棟マンションとか適当にチェックしてもらって7階以内とかでチェックしてもらうじゃないですか
[22:14] はいはい
[22:17] で取れてないケースもあるんですけど
[22:18] レインズに乗ってれば仮に今だったら品が多いんじゃない
[22:23] これこれクリックしたら図面がないから自動生成しかないですけど
[22:28] ちょっと待ってあるやつを探します
[22:31] はいはいはい3373件見つかりました
[22:35] 3000件見つかりました?
[22:37] それを金額を
[22:40] まあいいや
[22:40] とりあえず1個上のここをクリックしてもらえば
[22:43] 下の方にスクロールして
[22:46] 元付番号元付会社と書いてる一番下の方にありますよね
[22:51] ちょっと教諭してもらって
[22:53] どっちかお早く
[23:03] 今検索結果こんな感じで出てきたんですけど
[23:05] 今の共有されてないですよ
[23:07] 画面共有お願いします
[23:20] そこをクロールしてもらって
[23:23] 今どこでもいいんでクリックしてもらって
[23:25] 上のクリックそこをクリックしてもらって
[23:27] 下のスクロールしてもらって
[23:29] はい
[23:32] でこれは図面ってありますよね
[23:36] これクリック
[23:37] これですこれクリックする
[23:39] これが概要書です
[23:43] そういうことですか
[23:44] こういう感じでレインズにアップされてるんですよ
[23:47] でこの下帯っていうのは下のこの会社名書いてあるんですよね
[23:51] はいはいはいはい
[23:52] これを毎回消してうちの下帯をつけてお客さんに配ってあるんですよ
[23:56] 業者みんなそうするんですよ
[23:58] うん
[24:00] うん
[24:01] これがひと手間なんですね
[24:06] で一旦これ閉じてもらって
[24:08] 下の方に行ってもらえば
[24:11] この下にURLって書いてますよね
[24:13] ええええ
[24:14] これがお客さんに送ってるいつものリンクです
[24:18] あーなるほど
[24:19] いつものリンクっていうのはこういうサイトに飛ぶリンクってことですよね
[24:27] そうそうお客さんが見てる
[24:29] 一番下が消えてるんですよ
[24:31] うん
[24:32] 下の業者の名簿とかが
[24:35] 業者のその名前とかが切れてるサイト
[24:37] 何か何個か文字を入れれば
[24:40] あのお客さんが見るサイトに変わるんですよ
[24:44] そういう仕組みになってます
[24:49] 概要書はここに入りますから
[24:51] ここで見れますし
[24:53] これがうまく取れて下帯が自動で変えれるんだったらもう
[24:57] もう万々歳です
[24:59] これ
[25:01] やれる
[25:02] 何かそういうサービスもやろうかなと思ったんですけど
[25:05] ちょっと無駄な金だから今のところ採用してないと
[25:09] 技術的にはクロード使っていけそうな気がしますけどね
[25:13] 何回いけそうですよね
[25:17] ここにあるよっていうのは一応今報告しておきます
[25:22] ありがとうございます
[25:23] 多分これクロードでどうたらこうたらするのにも
[25:27] パソコンの中にこのデータ入ってると思うんですよ
[25:31] パソコンに対してAPIキーを何かいろいろ作ってくれてたんです
[25:35] 日丹さんがそのAPIのドキュメントにその写真を写真というか
[25:40] 概要書をどっかに飛ばすっていうエンドポイントがあればそれでいいんですけど
[25:45] なかったらパソコンにSSH接続してやる感じになるんで
[25:50] ちょっとそこを吉田さん
[25:53] 吉国さん調べておいてほしいです
[25:56] なんかAPIの仕様書みたいなのってもらいましたよね
[26:01] あれはそうですね物件
[26:08] ちょっと詳細は
[26:09] セントグループさんがなんかAPIの仕様書的なのってもらった記憶があるんですよ
[26:14] そうですね
[26:14] そこに物件の概要書を取得するエンドポイントがあるかどうかっていうのを見てほしくて
[26:23] それいれば楽になりますよねだいぶ楽になると思います
[26:29] で概要書を取得するエンドポイントがあるときに
[26:33] もうコンピューター側で
[26:35] 土地大臣が動いてるコンピューター側で概要書を編集するっていう方向性になるかなと思うんで
[26:43] 土地大臣が動いてるコンピューターのSSH接続の権限もらえれば
[26:47] そのコンピューターの中に入ってクロード入れて
[26:51] いろいろ自動格納を組んでみたいな感じがいいかなっていう
[26:54] ですね
[27:05] なんで
[27:07] 一番早いのはもうチタンさんにこのパソコンにいろいろクロードとか入れていいですかみたいな許可もらっていいですよって言われたら入れたいんでパソコンのSSHの認証お願いしますみたいなっていうのがいいんじゃないかなって気がしてます
[27:28] ちょっとそこは内部でまた連携できればなと思うので
[27:33] っていう感じですかね
[27:34] そしたらいったんまた本題に戻ってもいいですか
[27:37] 大丈夫ですすいません
[27:40] ちょっとそこを自動化したいですね
[27:42] これですね理想のフローとしてはメールから直接概要書を確認して興味があればオンラインミーティングの設定みたいなですね
[27:51] で遷移先を話してもいいですね
[27:53] あとなんかパーソナライズの文脈ですね
[27:57] もっと訴求してもいいのかなと思って
[28:00] 今あなたにマッチした物件が見つかりたいなと思って
[28:03] 何か言ってましたしか言ってないと思うんですけど
[28:06] 具体的に何の登録条件にマッチしたかみたいなことを言っちゃった方がいいんじゃないかなって
[28:14] なるほどですね
[28:16] 技術的にはいけそうですよね
[28:19] 何かしらの条件を元にマッチしてると思うので
[28:22] マッチングロジックみたいなのもひもときながら出せたらいいなってことですね
[28:32] っていう感じですね
[28:35] あとはですね
[28:40] これ件名は多分今AIっていうよりシステムで出してる感じですかね
[28:46] 件名は良さそうなんで触んなくていいです
[28:50] 今開封率いいんでですね
[28:53] あとはシンプルにこれプレーンテキストなんで
[28:57] HTMLのデザインにしたいですねみたいなところなのと
[29:02] リンクですね
[29:03] 今メールのツールでリンククリックしたかどうかしか見れないんで
[29:07] 多分これどっちのリンククリックしてるか分かんないんですよね
[29:11] LINE開いてるのか
[29:13] そうか
[29:14] そうかと思うんですけどさすがに
[29:17] あと人によってはここクリックしてる人とかいると思うんで
[29:25] そこはどのリンクをクリックしたかっていうのを別ツールで取れるようにしたいなっていうのがメール側の改善です
[29:35] 理想型のイメージで言ったらこんな感じですね
[29:40] ここが概要書を見るとかでもいいのかなって思います
[29:46] これ終始のシミュレーションとかって出せたらベストなのかなと思ったんですけどそういうのはさすがにここの段階では難しいですか?
[29:53] 今のところはまだ作ってないですね私の方では
[29:56] システムがあればそういうのも可能なんですかね?
[29:59] 全然そうじゃないですよ
[30:00] それを作れると思うんですよ 読み込んであげれば
[30:03] だから楽町とかそういうサービスを作ってるんで
[30:08] そうですね これってちょっとまた後ほど細かいところを聞ければなと思うんですけど
[30:15] 必要な情報は揃ってるんですか?
[30:17] 収支のシミュレーション出すのに何が分かればそれって出せず
[30:20] 基本はレントロールで家賃表ですね
[30:24] それが基本的に何パーセントとか一応書いてあるんで
[30:28] 表面利回りってやつ?
[30:29] 表面利回り それで一応分かるとは分かるんですけど
[30:34] 指標がやっぱりお客さん次第で色々変わってくるものですから
[30:41] 何に重視するか 何を重視するか
[30:44] これ表面利回り6.93%ってごめんなさい 仕事質問ですごい恐縮なんですけど
[30:49] 言うたら1650万円…違うか 1億6500万円で買ったら
[30:57] 年間7%ぐらいの家賃収入が出るよってそういうこと?
[31:04] そうです 単純にそう
[31:06] 収支シミュレーションを見ると単純にこの計算をしてあげて
[31:09] 言うたら1億6500万の7%っていくらなの?っていうのを出してあげればいいってことですかね
[31:15] そうそう そんだけ家賃収入がありますよってことですね
[31:19] じゃあ別にこれ…
[31:23] 想定家賃が…あ ここに出てますので
[31:30] 簡単にこれ出せそうですね 収支シミュレーションって
[31:34] 全然出せると
[31:37] 数字の表みたいなのがあればいいって感じですよね
[31:43] あとは蓄電数次第で金融機関の融資の機関が変わってくるんですから
[31:50] その辺りを逆算して 銀行によってまたそれも変わってくるんですけど
[31:58] 年数に応じて支払い変わってきますんで 金利とか
[32:04] それはその人の属性とか銀行次第で自己資金いくら入れるかとかでも全然変わってきますね
[32:10] その辺はやっぱり計算式があるって感じですか?
[32:16] まあですね だから銀行が今情勢かなり以前から比べても厳しくなってるんで
[32:23] それはもうお客さん次第ですね
[32:26] 確かに 打ち手とかもね 銀行が結構多いですからね 結構多いですよね
[32:27] 打ち手はなんかいろいろありそうですね このシミュレーター作ってみると面白い気がしますし
[32:31] まあ優先度を決めてやっていく必要あると思うんで
[32:34] 一般はこのメールの見た目をこんな感じで良くするみたいなところから入っていければなと思うんですけど
[32:43] というのがまずメールですね
[32:45] で 遷移先ページも割とメールの見た目が良くなると
[32:49] 遷移先ページとメールの違い何?っていうのをちょっと思ったところではあるんですけど
[32:55] 言ったらメールの内容ってHTMLで表示できるんで
[32:59] 遷移先ページで出したいこと全部メールの中で出しちゃうってこともできるんですね
[33:05] そこもちょっと相談だなっていうふうに思ってたことではありました
[33:10] あと遷移先ページのところはどこですね 計測なんですけど
[33:19] 今って多分計測できてなさそうなんですね ページごとの
[33:25] それを計測するために自社運営のLPっていうかページですね
[33:30] LPじゃないな 物件ページ
[33:36] 土地大臣じゃない物件ページを作りたいですと
[33:41] そこにGoogleアナリティクスとか入れるんですけど
[33:44] これユニークを取りたいってどういうことかっていうと
[33:47] どのメールアドレスの人が実際リンククリックしたかみたいなレベルで取りたいですと
[33:53] で 何かこういうのがあるんですけど
[33:57] で じゃあどうしたらいいかっていうのが方法2個あって
[34:00] 単純にログインしてもらうっていうことをすれば
[34:02] どのユーザーがこのページ踏んだっていうのが分かるんですけど
[34:06] 今もログイン機能あると思うんですけど
[34:08] ユーザーからしたらアカウント開設してる認識がやっぱ弱いと思うんで
[34:12] ログインしてくださいってすごい違和感あると思うんですよ
[34:15] でもやるとしたらメールアドレス認証みたいな
[34:18] この物件はあなただけにお送りしているので
[34:22] メールアドレス認証してくださいみたいな感じで
[34:25] メールアドレス打ったらそのメールアドレスに
[34:28] 番号が飛んでくる
[34:30] よくある二段階認証のやつですね
[34:32] で 番号打ったらページが見れるとかっていうのは
[34:35] 1個思ったんですけど
[34:37] でもそこのコースを入れることによって離脱しちゃう人もいるな
[34:42] そう考えるともう1個やれそうなことで言うと
[34:46] パラメータをつけるっていう方法があって
[34:50] これは一人一人URLを微妙に変える必要があるんですけど
[34:53] URLの後ろ側に
[34:57] こういうやつですね
[34:58] こういうパラメータ
[35:01] ちょっと余計な情報をつけるんですよ
[35:02] これがあってもなくてもアクセスできるみたいな
[35:05] 余計な情報をつけることによって
[35:07] このパラメータに対してアクセスが1個ありました
[35:10] みたいな感じで分かる
[35:11] で このパラメータをこの人のアドレスとかにしちゃう
[35:14] なんでイメージで言ったら
[35:15] この物件のサイトURL user="mailaddress",みたいな
[35:22] URLをユーザーごとに自動生成してメール送って
[35:26] そのURLが踏まれてるときに
[35:27] それからそのユーザーはそこ見てるみたいな感じの
[35:29] 計測方法ができるなっていう感じですね
[35:32] なのでなるべくログイン不能を挟みたくないって感じですよね
[35:41] なのでパラメータ制御がいいのかなっていうのと
[35:44] あとはちょっと疑問だったのが
[35:46] これなんかそもそもログイン不要で
[35:48] このページって見れちゃっていいんだっけっていうのは
[35:51] ちょっと思ったんですけど
[35:52] それって大丈夫なんですか?
[35:56] わかります
[35:57] その人しか見れないっちゃ見れないですからね
[36:00] メールが届いた本人しか見れなくはありますが
[36:03] URLを知ってれば誰でも見れちゃうとも捉えられる
[36:12] ネット上に出てればまずいと思うんですよ
[36:15] ネット上に出てるっていうのはイメージで言うと
[36:17] Google検索に引っかかる
[36:18] そういうので誰かが見れたりとか
[36:22] ノーインデックスされてれば
[36:24] ここはちょっと
[36:26] システム屋からすると
[36:27] ノーインデックスされてようが
[36:29] ネット上に公開されてたら
[36:31] それはURL知ってればダメなんですね
[36:33] 言われる可能性ありますね
[36:36] 考えはあるんですけど
[36:38] どうでしょう
[36:39] 業界的な一般的な見解が
[36:41] Googleとかで引っかかんなきゃいいよね
[36:43] なのであれば
[36:45] それが業者からネットとかで検索でてきたら
[36:48] クレームになって
[36:49] それが何回かやっぱあったもんだから
[36:52] その時はもう謝りこいっていう業者もいますんで
[36:56] たまに
[36:58] お詫び入れより入れに来いって
[36:59] そこまでなればちょっと大変ですけど
[37:05] そこまでなんないんであれば
[37:07] そこは一気にしなくてもいいのかなって気はしてるから
[37:10] 返引としては
[37:12] URL知ってれば見れちゃうみたいな状況だとしても
[37:16] ノーインデックスって言ったりするんですけど
[37:19] 検索エンジンに引っかからないページになってればOK
[37:23] っていう方向性でいいですかね
[37:26] そんなイメージですよね
[37:28] そしたらログインフローは多分挟まない方がいいんで
[37:31] パラメータ制御でやっていくっていう感じにしましょう
[37:39] あとは情報設計ですね
[37:41] これちょっとこんな感じで
[37:45] スマホファーストで作っちゃったんですけど
[37:47] これあくまでもデモというかモックなんですけど
[37:51] これ実際にPCとスマホどっちで開いていい人が多いのかなっていうのは
[37:55] ちょっとファクトベースでちゃんと把握してやりたいなって思いますので
[37:58] これって現状は取れてない分かってないっていう
[38:02] ちょっと待ってねどうなんだろう
[38:04] アナリティクスでどこまで見れるかですよね
[38:07] そもそも土地大臣のページにアナリティクスが入ってるのかっていうのが
[38:11] ちょっと疑問ではあるんですけど
[38:13] 一応入ってはいるみたいなんですけど
[38:17] そしたらGoogleアナリティクスの原言が欲しいですね
[38:22] ちょっと待って
[38:32] だけどあんまりスマホかどうかまでは分かんないですよね
[38:38] ちょっとこれ見てみるんで
[38:39] ちょっと飛ばしてもらっていいですか
[38:41] Googleアナリティクスって権限もらえたりしますか
[38:46] ちょっとそれは他のサイトも一緒にしてるんで
[38:49] 要検討でお願いします
[38:51] OKです
[38:57] じゃあ技術的には可能そう
[39:00] 例えば可能そうなんですね
[39:44] 取り合わせ動線ですね
[39:46] 基本的にはいきなり概要書とか取り合わせとかっていうよりは
[39:51] このページっていうか
[39:53] 一回メールからページに飛ばしたい
[39:57] このページの内容を
[40:00] 概要書みたいな感じにできちゃったら ベストなんじゃないかなっていう気がしますと
[40:05] その上で ここを詳細資料を 概要書を送りますでもいい気もするけど
[40:13] できればもういきなりミーティングとかのほうが いいのかなっていう気がするなというとこですね
[40:19] メールで概要書を送ってくださいっていうよりは こういうフォームにしちゃうほうがいいと思いますっていうのは
[40:25] あるかなっていうとこです
[40:30] そんな感じですかね
[40:34] で 会員ログインはそしたらさせない
[40:39] パーソナライズの文言はちゃんと出したいっていう感じです
[40:49] こんな方向性でちょっと改善していければなっていうところなんですけど
[40:55] なんかイメージで
[40:57] ちょっと違った話とかありますか どうですかと
[41:00] よさそうですかね
[41:02] さっきの概要書はちょっと考えないといけないなっていうとこはありますけど
[41:07] 一旦はちょっと いきなり全部自動化しようってなると
[41:12] し遅くなっちゃうんで 概要書リクエストもらって送る動線でいいと思うんですけども
[41:18] だとしてもこういう感じにしたいなっていうイメージはありますね
[41:24] メールで何か送ってくださいっていうのは 結構めんどくさいんですけども
[41:27] ちょっとパズルとかですよね
[41:29] ですね
[41:31] あとは
[41:32] あとメールの中にこういう感じで写真入れたいとか
[41:35] っていう感じですかね
[41:38] で
