[00:33] でもなんか
[09:37] テストマーケ的にやるとしてもスタートはテストマーケになるっていう感じです
[09:43] ありがとうございます
[09:44] そうですね今お話聞かせていただいた範囲で
[09:46] 割とやるとしたら少しCMS的なオンドメディア的なのが乗っかってきたとしても
[09:53] 資料請求の際でいただいてた50万から100万円のレンズ内で対応は可能かなというふうに思っております
[10:00] かなり機能を削ぎ落とせば下手したら50万円とかで診断のロジックも含めて実装できますよというところも可能かなというところが
[10:08] 一旦概算の費用の温度感になるかなと思っております
[10:14] そしたらそれ念頭におきつつですねちょっと弊社のご紹介もさせていただけたらなと思いますので
[10:22] 画面共有をさせていただきます
[10:26] こちら画面共有映っておりますでしょうか
[10:30] ありがとうございます
[10:33] タイトルの方から資料請求いただいているかなと思いますので
[10:37] もしかしたらすでに見ていただいている場所もあるかなと思うんですけれども
[10:41] こちらの弊社のホームページの方を使ってご説明させていただければと思います
[10:48] まずこちらですね
[10:49] ご存知のところであるかなと思うんですけれども
[10:51] 弊社システム開発会社ではあるんですけれども
[10:54] 特徴としてですね
[10:55] ノーコードというコーディング不要でシステムが作れる開発テクノロジーでしたとか
[11:01] 最近ですとうちだとノーコードよりもAI駆動開発っていったりするんですけど
[11:06] AIを使った開発というところですね
[11:07] 主流にはなってきているんですけれども
[11:10] そういったですね最新の開発テクノロジーを用いて開発を提供させていただくことによって
[11:15] 開発をですね安く早く提供するというようなところが強みの会社となっております
[11:21] もう一つですね
[11:22] 開発安く早く
[11:24] というようなところも明確な強みではあるんですけれども
[11:27] 私たちさらに本質的な強みをこちらかなというふうに思っている部分がありまして
[11:33] そこがですね
[11:35] ただのシステム開発を行うのではなくて
[11:37] しっかりとこの事業の成功にコミットというふうなところですね
[11:42] 事業目線で開発をやらせていただきますというところが
[11:47] 私たちの強みかなというふうに思っております
[11:50] 先ほどの開発安く早くというところにも通じてくるところで
[11:54] あるんですけれども
[11:55] こちらの図を使ってですね
[11:57] 私たちのシステム開発というふうなものに対する捉え方を
[12:01] ご説明させていただければなというふうに思うんですけれども
[12:03] システム開発ですね
[12:05] 事業立ち上げでしたりとか事業上のプロセスですね
[12:08] 01、10、100というふうにあったとするならば
[12:11] ここの一重の部分しか
[12:13] 良くも悪くも担わないかなというふうに思っております
[12:16] どういうことかというとですね
[12:18] システム開発自体が目的になることはないかなというふうに思っておりまして
[12:23] 何か事業に対しての取り組みをしていただくというふうに思っております
[12:24] 事業上の目的があってそれを達成するための手段として
[12:27] システム開発がありますよというふうな感じの考え方ですね
[12:31] なのでですね
[12:32] ここの一重の部分のシステム開発が安く早くできることによって
[12:36] ここの10、100の部分ですね
[12:38] 作ったもの
[12:39] 今回ですとサイトを作った後に広告を打ったりだったりとか
[12:42] オンドアオメディアだったりとか
[12:44] オーガニックで集客していくりとか
[12:46] マーケティング活動をして
[12:48] しっかりとそこのページシステムに
[12:50] 人が着手するようにしていかないといけないかなと思うんですけれども
[12:53] そこで
[12:55] しっかりと時間的なリソースもそうですし
[12:58] 金銭的なリソースもそうですし
[13:00] 割いていけるかなというふうな考え方で
[13:03] ここの一重の部分はですね
[13:04] 安ければ安いほどいいですし
[13:06] 早ければ早いほどいいというふうな考え方で
[13:08] 提供させていただいております
[13:10] もう一つですね
[13:12] この01の部分ですね
[13:13] システム開発安く早くとはゆえですね
[13:16] そもそも意味のないものを作ってしまっては
[13:20] いくら安くても無駄になってしまいますし
[13:23] 早くとはゆえですね
[13:25] 時間的なリソースもそうですし
[13:25] 時間がゼロになるわけではないので
[13:27] しっかりとどういった目的があるというふうなところから逆算してですね
[13:32] 最適なシステム開発の手法でしたりとか
[13:34] 開発内容のご提案をさせていただいております
[13:38] またそういったところの延長線上でですね
[13:40] この全体的なこの10100の部分
[13:43] どういう効果が欲しいのかというようなところから逆算して
[13:46] この10100の部分でどのくらい予算かけるべきなんて
[13:49] この一重の部分の開発はこのくらいの予算に収めておきましょう
[13:53] じゃあここみなさんでできる
[13:55] 最適化はどういう開発ですみたいなところで
[13:58] 逆算してプランニングさせていただいておりますので
[14:01] そういったところを使いながらですね
[14:03] 補助金申請のご支援だったりとかっていうふうなところも
[14:06] させていただいております
[14:08] システム開発に使える補助金っていうふうなものですね
[14:10] 多数あったりしますので
[14:12] そういったところをご提案させていただきながら
[14:15] プランニングをさせていただくっていうふうなところも
[14:17] もう一つ強みとなっているかなというふうに思っております
[14:20] こういった形でですね
[14:22] 01のフェーズから10100のフェーズまでですね
[14:25] 復活的にサポートさせていただくっていうふうなところが
[14:28] 私たちの本質的な強みかなというふうに思っておりまして
[14:32] その中でですね
[14:34] サービスとしては割と手広くご提供させていただけているかな
[14:38] というふうなところになっております
[14:41] 現在お問い合わせいただいている内容ですと
[14:43] このシステム開発のところがメインになってくるかなと思うんですけれども
[14:47] 開発の予算端でしたりとか開発内容によっては
[14:50] 使える補助金十分ございますので
[14:53] そういったところのサポートも可能です
[14:56] 作った後ですね
[14:58] 自社でマーケティングでやられるっていう会社さんも
[15:00] たくさんいらっしゃるかなと思うんですけれども
[15:02] ちょっとそこもですね
[15:04] どこか支援してもらえるところがないかというところでお探しでしたら
[15:08] そちらもご支援させていただけたら嬉しいなというふうに思っております
[15:13] またですね
[15:14] 場合によっては作ったシステムを自社で運用していきたいです
[15:17] みたいなところでしたりとか
[15:19] 開発でしたりとか改善まで自社でできるようになりたいです
[15:22] みたいなご要望いただいた場合はですね
[15:24] こういった機能を持っていただいて
[15:25] 研修系のサービスでしたりとか
[15:27] 教育系のサービスをご提供させていただいているというふうな
[15:30] チェーンになります
[15:32] でですね
[15:33] ちょっと事例みたいなところとか
[15:35] 最近どういったプロジェクトをさせていただいてるか
[15:37] みたいなところもご説明させていただければなというふうに思っております
[15:41] 弊社ですね
[15:43] 開発やすく早くっていうふうなところとですね
[15:45] 新規事業系のところをですね
[15:47] 事業全体でサポートいたしますっていうところが
[15:51] 割とPRしてるポイントだったりしますので
[15:57] かなり大きくてですね
[15:58] 新規事業といっても新しくマーケティングしていきますみたいなパターンもあったりはするんですけれども
[16:02] 要するに新たな取り組みみたいなところですね
[16:05] そういったところのお対象がだいたい6割ぐらい占めてきているかなというふうに思っております
[16:11] その中ででもですね
[16:13] 中小企業さんでしたりスタートアップさんからですね
[16:15] 割と予算としては100万から200万円ぐらいで
[16:20] 一旦ちょっとMVP的な感じで作ってみたいですっていうふうな
[16:24] お問い合わせいただくことが多いかなというふうなところではあるんですけれども
[16:28] ここ1、2年ぐらいの弊社の傾向で言いますと
[16:32] 割とそういった仮説検証系のところだけでなくてですね
[16:36] 官公庁さんでしたりとか大企業さんからですね
[16:38] プロジェクトごとご相談いただいて
[16:40] 大きな開発をさせていただくっていうふうなことも増えてきてるかなっていうふうなところが現状でございます
[16:47] まとめるとですね
[16:48] 小さめな仮説検証の開発からですね
[16:51] 大規模なプロジェクトまで
[16:53] 幅広く対応させていただけるっていうふうな状況に現在はできているかなというふうに思っております
[16:59] もう一つですね
[17:00] 事例みたいなところもホームページに掲載しておりますので
[17:04] ちょっとこちらも触っていければなというふうに思うんですけれども
[17:07] 基本的にですね
[17:09] 前提としてシステムとして成立するものであれば
[17:11] ほぼ全て対応可能かなというふうに思っております
[17:15] その中ででもですね
[17:16] 事例ベースで
[17:17] 特にこれB2Cのものしかなかなか公開できてはいないので
[17:21] B2Cのものがほとんどではなってしまうんですけれども
[17:24] そうOEシステムみたいなところで言うと
[17:27] 何か見積もり系のものが
[17:28] シミュレーターみたいなものでしたりとか
[17:31] またマッチング系のシステムですね
[17:33] これシステムとしてマッチングさせているものと
[17:36] 今回のような形で
[17:37] あくまでもマーケティングの手段としてマッチングしているもの
[17:39] いろいろあるかなと思うんですけれども
[17:41] 物件と入居者のマッチングみたいなものでしたりとか
[17:45] あとは人材系のマッチングだったりとかですね
[17:49] シンプルに転職サイトみたいなものですね
[17:51] そういった形でですね
[17:53] 幅広く開発事例も公開させていただいておりますので
[17:57] もしよければ
[17:58] こちらもリンクをお送りいたしますので
[18:01] 一時で見ていただけたらなというふうには思っております
[18:04] ざっくりと弊社の概要を説明させていただいたんですけれども
[18:08] どこか深掘りたい部分などございましたでしょうか
[18:11] おおむね理解できたんで大丈夫です
[18:14] ありがとうございます
[18:15] そしたらですね
[18:17] ちょっと作りたいものの内容については
[18:19] 先ほどご説明をいただいて
[18:21] かなり理解できたかなというふうに
[18:23] 私の方でも思ってはいるんですけれども
[18:27] あと
[18:28] あとは何か詰めてきて
[18:29] 補助金とかの活用とかって
[18:32] ご検討されてるかどうかみたいなところとか伺いたいなと思って
[18:35] その辺も全然詳しくないんで
[18:39] そんなに大変じゃなく使えるものがあればっていう感じですかね
[18:42] そっちいたしました
[18:44] ちょっと補助金の申請の工数だったりとかも考えると
[18:50] 今回の開発どのくらいの予算感でやろうとしてますか
[18:53] みたいなところから入った方がいいんじゃないかなっていうふうに思っていまして
[18:58] 基本的に使った金額に対して
[19:00] 1Ⅱ降りますとか2Ⅲ降りますとか
[19:03] 100万円で50万円降りましたから
[19:07] まだ悪くはないかなと思うんですけれども
[19:10] やっぱり補助金やろうと思えば
[19:11] 全然1000万円に対して600万円ぐらい降りますとか
[19:15] 結構大きい金額で申請できるものが多かったりはしますので
[19:21] ちょっとそこを枠使うってなると
[19:23] できるだけ大きい開発部をつけた方がお得なんじゃないかなっていうふうなものは
[19:28] あったりします
[19:29] 何かちょっと直近で選択肢があるとすれば
[19:33] この辺のデジタル化AI導入補助金っていうような補助金がありまして
[19:38] こちらどちらかといえばDX文脈業務効率化文脈ではあるんですけれども
[19:43] 今回のサイトをもう捉え方によっては業務効率化みたいな見せ方はできるんじゃないかなとは
[19:49] 思っておりますので検討に入れることは可能かなというふうに思っております
[19:54] 大体どのくらいのお金が降りるかみたいなところを
[19:59] ちょっと色々と考えてみてもらっていいかなと思います
[20:00] あと条件とか枠があるんですけれども 一番マックスでお金が下りる使い方
[20:06] っていうのはこれですね 補助額 が450万円がマックスで2分の1なので
[20:13] 一番大きい使い方すると900万円 使って450万円返ってきますもの
[20:18] ですね 逆に一番ミニマムに使う としたらちょっとここ条件が特殊
[20:23] なので これは考える必要があるんです けれども 50万円下りますに対して
[20:30] ここが4分の3なので 今回の開発 させていただくとしても100万円
[20:37] は超えないなというふうに思って おりますので もし使うとしたら
[20:41] この辺の枠とかでできるといい のかなっていうふうなことはあります
[20:47] ちょっとごめんなさい それ使え たらっていう話なんですけど ちょっと
[20:52] 前々から気になってることもあって 今LPの話だったんですけど 今LP
[21:00] の話だったんですけど 老人ホーム業界って今大手のポータル
[21:06] とかだと 民会さんとかライフル介護とか
[21:14] その辺になってくるんですけど あれ系って要は元気な人が入る
[21:22] 老人ホームっていうのが世の中 って シニア向け分譲マンション
[21:27] 参考住
[21:29] で あとで 自分の家に住んでる人が 入る老人ホームっていうのが世の中って
[21:30] 入居時自立型老人ホームっていう のがあって 既存のポータルサイト
[21:37] で自立型を探そうとすると 自立 も受け入れてる養子園養飼後の施設
[21:43] がぶわって出てきちゃって その せいで自立施設さんって なかなか
[21:50] オンライン上でスムーズなリーチ ができてないんですよね
[21:57] 自立っていうのが すみません ちょっと違和感があったんですけど
[22:00] 自分で立つ
[22:01] もうすでに元気な方向けっていう ふうな
[22:04] そうですそうです うちの取引施設 って自立のほうが圧倒的に多く
[22:10] って 結局なんでかっていうと ネットでうまくリーチができて
[22:16] ない なおかつ自分たちで決める から元気な老人なんで
[22:23] 紙のほうがぶどまりがよくなっちゃ ってて いまだに紙広告で生きのこる
[22:30] れてるって感じですよ
[22:31] うんうんうんうんうん
[22:32] だからそこのお元気な 本当に自立受け入れてる養子園養飼後
[22:40] ホームじゃなくって 本当に自立からしか入れないホーム
[22:45] を集めたサイトみたいな
[22:48] 自立からしか入れないっていう のは元気じゃなくなっちゃいそう
[22:53] だから親御さんに対して息子さん とか娘さんとかが
[23:00] 探すようなイメージ
[23:01] 本人でもありえますね
[23:07] 自立向けの施設って元気なとき しか入れないんですよ
[23:11] あーなるほど
[23:13] 要は体が悪くなる前じゃないと 入れないっていうのが世の中たく
[23:18] さんあって その施設さんたちが結構ネット上
[23:23] だと埋もれちゃってて困ったり とか請求が来ても老人ホームだと思って
[23:32] たら入れませんでしたとか日常 的に起きちゃってるんですよ
[23:35] そこ解決できたらお金になるの かなーなんて思ってたんですけど
[23:40] 逆に今っていうのはそのもう元気 じゃなくなってから入るところ
[23:45] がちょっと老人ホームというより は病院じゃないですけど近いような
[23:49] ところの方が今ネットで見つかる そこばっかり見つかっちゃうみたい
[23:53] な感じ
[23:54] そうですねよく皆さんがイメージ する老人ホームですよねだから
[23:59] みんなの介護とかライフル介護 で
[24:02] 世田谷区自分は自立だから自立 っていうチェックボックス入れて
[24:08] 検索かけると自立も受け入れてる もう体がもうボロボロの人たち
[24:14] が本来は住むための施設がドワー って百何十軒とか出てきちゃって
[24:22] 目的を果たせなくなってるみたいな
[24:25] 養子園養飼後ばっか出てきてしまう のってやっぱりあれなんですかね
[24:30] 基本的に多分そういうケースって 多分自分が自分の家に住んでる
[24:33] 人が調べる可能性もありますけど ネットで調べるケースって多分十
[24:36] 中八九息子さん娘さんとか周りの 人が多分調べてるんじゃないかな
[24:41] って気がしてて
[24:42] 結構最近ご本人でももう直接ネット でっていうのは増えてきてはいる
[24:51] のであとシニア向け分譲とかだと 60歳65歳がメインターゲットとか
[25:00] 65歳以上とかになってくるので もしもその人が自立してるときに
[25:04] もう普通にいけるじゃないですか
[25:05] うんうんうんうん
[25:06] あーうんうんうん
[25:07] はいだからそこら辺を拾う受け皿 が作れたらお金にはなるんだろう
[25:14] なっていうので去年考えてたんですけど 進んでどこか進んで
[25:19] そのページを用意してないみたいな ケースが多いんですかねそのなんて
[25:25] 言うんでしょうまだ元気の方向け 専門でやられてる施設さんっていう
[25:30] のはそれでもページはあるけど ちょっとそのsdとかとかの方向け
[25:34] でやられてるっていうのがあんまり 重要的なところがあんまり頑張ってる
[25:35] ところがなくてとかそんな感じ のイメージですかね
[25:40] んーとページはありますよホームページ はもちろん
[25:45] 本当に上がってこないっていう 感じ
[25:47] まあ施設名で言ったらもちろん いきますけど
[25:49] あーうんうん
[25:50] はいただ結局やっぱりまずポータル が出てきちゃうんで
[25:55] まあまあ確かに数量的にはそう ですよねそこが
[25:58] でなかなか2ページ目とかってなる ともうきついじゃないですか
[26:13] 結構うちはseoだったりとかllmoとか っていったりするんですけどその
[26:18] aiにどうやったらこう回転で進 めてもらえるかみたいなこととか
[26:22] も強い会社ではあるのでそんな 辺もご支援可能かなとは思って
[26:27] はいるんですちょっとなんかその 辺よくどういうキーワードで調べ
[26:30] られてるかとかっていうのをまず 分析する必要がありそうな気はして
[26:35] ますねそのキーワードが何て言う のでしょうすでに元気な方ともう
[26:40] 元気じゃなくなってる方とかっていう のはちょっと分析する必要がありそう
[26:42] ですよね
[26:42] そういうのを調べるキーワード が違う場合はやりようがあるん
[26:45] じゃないかなって気はするんですけど どっちのパターンも同じキーワード
[26:50] で調べてるっていう場合は競合 が今上に上がってきてるポータル
[26:54] サイトになっちゃうのでそこに 今からseoで勝とうってなると結構
[26:59] なんて言うんでしょうパワーが 必要かなっていう気は
[27:02] そうっすよね
[27:05] 別媒体で攻めるとかの方がまだ
[27:08] リミング新聞に3番だけ出して とかそういう感じですよね多分
[27:12] そうですよね
[27:12] オフラインもそうですしあとは オンラインでも別媒体ですねわり
[27:18] と例えば最近中高年の方とか中高年 の定義は世代交代して変わって
[27:22] きてるんで今youtubeとかその辺 で中高年向けのマーケティング
[27:27] ってブルーオーシャンっていう ふうに言われてるんですけどその
[27:30] 辺を攻めてみるとかそっちの方向 性になってくるんじゃないかな
[27:34] って気は出ますね
[27:38] 一応ご覧いただくとごめんなさい 余談に走っちゃって
[27:42] こっちの方がやるとしたら予算 はでかいんで
[27:46] 補助金ぶつけるとしたら確かに 私もそういった大きいプロジェクト
[27:49] の方がいいんじゃないかなっていう ふうに思っております
[27:52] 一応正式な名称としてはこの検索 窓の入居時自立型老人ホームっていう
[27:59] のが検索ワードにはなるんですよね
[28:03] 検索される方のリテラシーとして はこのちょっと専門用語じゃない
[28:07] ですか入居時自立型とかそれが どういう意味かとかっていうのは
[28:13] 分かってそのワードで検索できる 方っていうのは結構多いんですよね
[28:17] 探し出してやっと分かりだすみたいな 感じですか
[28:21] だから多分このワードで検索できる 人は多分どっか見学行ってるとか
[28:24] どっか請求したかという感じだ と思います
[28:27] だから多分もっと平易な用語になる と元気なうちに老人ホーム元気
[28:32] な人向け老人ホームなんですけど サジェストで一番上のこれを選ん
[28:36] でも一応民会とSAGA6が一番上の これを選んでも一応民会とSAGA6が
[28:45] ねそういうのを
[28:47] あとはシニア向けの女性のさん と有料老人ホームに引っかかっちゃ
[28:53] ってサニーライフさんとか全然 関係ない
[28:55] サニーライフさんって激安でコテ コテの介護のね
[29:00] でこっちに行くと民会の特集ページ が出てくるだけみたいな感じですね
[29:10] はい
[29:12] アニメ
[29:13] 本当に
[29:14] はい
[29:15] どう崩すのがいいんですかね結構 リスティング広告もなんか高そう
[29:19] ですね今検索結果見た感じすごい 上手く出してるところ
[29:23] そうですね
[29:24] はい
[29:24] そうですね
[29:24] はい
[29:25] はい
[29:26] はい
[29:26] はい
[29:26] はい
[29:26] はい
[29:26] はい
[29:27] はい
[29:28] はい
[29:28] はい
[29:28] はい
[29:30] はい
[29:46] はいはいはい
[30:00] 作るとかの方がまだ出そうな気はしますね
[30:04] あとこれシンプルに多分リスティング
[30:08] 言ったらこのあれですよね
[30:11] ポータルサイトにSEOで勝てないから
[30:13] 多分みんなリスティング出してるんだと思うんですけど
[30:16] そうですね 養成員さんもそうです シニア向け文書も
[30:20] リスティングも多分ここ激戦区な気がして
[30:24] これで検索結果リスティングで4個埋まって
[30:27] 上にポータルだと
[30:30] この画像を崩すのが一層ね気はしますね
[30:36] そうですよね
[30:41] でもどうにかしたいですけどねこれ
[30:45] そんな構想を持ってたんで
[30:47] 補助金がそんなに出るんだったら
[30:50] これもうできなくはないんじゃないかなっていう
[30:53] システムとしてポータルサイト作ります
[30:56] みたいなところは
[30:57] もちろん全然可能かなとは思うんですけど
[31:00] それをどう広めていこうみたいなところを
[31:04] 特に検索で勝っていこうみたいなところが
[31:08] 結構パワー必要そうだなっていう気はしますね
[31:13] 掲載したいっていう説さんは
[31:16] 同じような企画を去年オフラインでやって
[31:20] 普通に集まったんですよね
[31:23] リメイクとかだったらまだ勝てるかもしれないですね
[31:27] みたいな感じでやったら
[31:28] これワード的に地名で調べそうな気もしてて
[31:33] まだ元気なうちの老人ホーム
[31:36] 神奈川と東京
[31:37] もっと多分限定した地名でやるかもしれないんですけど
[31:41] 原宿は
[31:44] それでもポータルが
[31:48] びっしり来たと
[31:50] でもスポンサーを飛ばして
[31:52] 民会探しクス民会
[31:55] 強いなぁ
[31:59] 強いですけど
[32:00] まだ地名に絞れば
[32:03] SEO的にはポータルに勝てる可能性がある
[32:05] その気はしますね
[32:09] ずっと広告とSEMとかで
[32:14] 回し続けると
[32:15] 合わなくなっちゃうし
[32:20] ここすごいあれなんです
[32:21] 激戦区ですね
[32:23] 本当にマーケティングで
[32:24] はい
[32:31] ちょっと弊社のCMOがかなりその辺強くてですね
[32:35] 特にSEOとLLMOかなり強い人間がいるので
[32:40] ちょっとまたどこか別のタイミングで
[32:43] 彼も交えて
[32:44] 色々と作戦考えたらなとは思うんですけど
[32:48] 全然開発自体はできるので
[32:50] ちょっとカキスリを見つけてから
[32:53] お貯金取って開発やっていきましょうみたいな
[32:58] というのと
[32:58] 今回手前でご検討されているところに関しましては
[33:04] 一旦ちょっとそこでプロジェクトご一緒させていただいて
[33:07] ちょっとご信頼いただいてじゃないですけども
[33:09] その方が大きいプロジェクトも
[33:12] 組み込みやすいかなというふうには思いますので
[33:15] そういった形でまずは
[33:19] ランディングページと診断ツールみたいな形のシステムで
[33:23] 作らせていただけたらなというふうには思っています
[33:26] でちょっと私たちはまだ専門的な
[33:28] 知識が足りてない状態ではあるかなと思うんですけども
[33:32] なんとなく
[33:34] 細かい情報はちょっとずれちゃってるかもしれないですけども
[33:37] こういうサイトでこういうシステムがあったらいいんじゃないかな
[33:41] みたいなのをご理解させていただけたかなと思っておりますので
[33:45] 大体ですね
[33:47] 3営業日か4営業日ぐらいいただけましたら
[33:50] ご提案書とMockupですね
[33:53] デモンストレーションのサイトみたいなものを作ってきて
[33:56] こんな感じの診断の画面があったらなと
[33:58] イメージに近いですかみたいなところをご用意していますので
[34:02] 次回ですねちょっとこちら見ながら
[34:04] そういったものがいくらぐらいで作れるかっていうふうなところ
[34:07] 一緒にご提案書読み合わせさせていただけたらなと思うんですけども
[34:11] 次回そういった形でいかがでしょうか
[34:14] はいちょっとエンドクライアントのニーズヒアリングも
