[0.0-15.0] アシスタンコのスタイルの方もご参加いただいております。よろしくお願いします。
[799.4-801.4] ちょっとお問い合わせ内容も見させていただいて、
[801.8-804.4] ホームページだというのも拝見させていただいたんですけれども、
[805.0-808.2] 製品マニュアルのチャットボットっていうふうな感じになると、
[808.5-813.1] 製品ごとに多分作っていきたいとかって出てくるんじゃないかなっていうふうに思って、
[813.1-818.1] なんかそれをいちいち製品ごとに作るごとにお金かかるとかっていうよりは、
[818.2-820.4] 自社でできるようにするとランコスランコスというより、
[820.6-823.5] コストの作品ですねとかにはなるのかなっていうのは、
[823.8-825.6] 思っていたところであるんですけど、
[825.8-830.4] ちょっとそこはお祝い相談させていただけるなと思っています。
[832.2-835.3] 技術者以外のメンバーとか、こんな言い方したらいいですけど、
[835.4-838.5] 例えば若い社員を雇ったときに、
[838.5-841.3] その社員にやってもらうとか。
[843.1-853.1] そういうことも、今、現有メンバーだとやりきるのが厳しいなっていう状況です。
[854.2-855.2] 承知いたしました。
[855.5-858.5] ここ確かにある程度コミットメントを持って、
[858.7-862.4] やっぱり担当者として動いてくれる方が必須かなと思いますので、
[862.8-866.0] 状況的にちょっとそういうところも動いていきたいなっていうふうになったら、
[866.0-869.5] そのタイミングでまたお話し進めていければなとは思いました。
[869.5-873.3] 一旦は、受託型で開発させていただいてみたいなところが、
[873.3-877.5] 今回のご相談にはなってくるかなっていうふうなところですかね。
[877.5-879.5] ちょっと次のところですね。
[879.5-884.5] 事例のご紹介のところとかもさせていただければなというふうに思っております。
[884.5-888.5] 弊社は強み2つ、先ほど申し上げたとおり、
[888.5-891.5] システム開発安く早くっていうふうなところと、
[891.5-897.5] あとはその授業全体でご支援させていただきますよっていうふうなところが強みではございますので、
[897.5-902.5] お問い合わせの内容でしたりとかっていうふうなところでいいますと、
[902.5-906.5] 中小企業さんでしたりとか、スタートアップの会社さんからですね、
[906.5-910.5] システム化でしたりとか、立ち上げですね、新しいシステムの立ち上げ、
[910.5-914.5] 新規事業開発のご相談みたいなところをいただくことが多いんですけれども、
[914.5-918.5] 割とですね、ここ1、2年ぐらいのトレンドでいうと、
[918.5-923.5] 大企業さんからのお問い合わせもかなり増えてきているかなっていうふうな印象がございまして、
[923.5-927.5] 現在のですね、プロジェクトの分布でいいますと、
[927.5-930.5] 大体半分ぐらいが中小企業さん、スタートアップさんのですね、
[930.5-934.5] プロダクト開発をお手伝いさせていただいておりますというようなところと、
[934.5-939.5] もう半分が大企業さんから、割と大きなお仕事をいただくことも増えてきているかなっていうふうな、
[939.5-941.5] 経験ではございます。
[941.5-950.5] でですね、事例のところもご紹介させていただければなというふうに思っておりまして、
[950.5-954.5] ちょっとこれ公開できる事例ですね、BtoBのシステムだったりとかっていうのは、
[954.5-960.5] なかなか公開が難しかったりするので、ちょっとBtoCのプロダクトっていうふうなものが、
[960.5-964.5] 公開できているものは主にはなってしまうんですけれども、
[964.5-968.5] 基本的にですね、システムとして成立するようなものでしたら、
[968.5-973.5] どういったものでも弊社でお作りさせていただくことが可能かなというふうに思っております。
[973.5-979.5] こう、転職のマッチングサイトみたいなものからですね、スクールの運営システムですとか、
[979.5-988.5] あとはですね、自社事業とかも力を入れておりまして、不動産屋さんと協業する形でですね、
[988.5-994.5] 別荘の定額で、何て言うんでしょうか、拠点居住とかっていったりするんですけれども、
[994.5-1000.5] サブスクリプションで別荘を共有できるみたいな感じのプラットフォームを運営していたりとかですね、
[1000.5-1003.5] またちょっとここには載ってないんですけれども、
[1003.5-1008.5] Ibisっていう名前のですね、音声合成AIの提供もしていたりします。
[1008.5-1014.5] 割とシステムに関しては、かなりこちらの手広くやってきている会社かなと思います。
[1014.5-1020.5] で、そのままどういったケースでもご対応させていただくことは可能かなというふうに思っております。
[1020.5-1026.5] ざっくりと弊社の概要をご説明させていただいたんですけれども、深掘りしたい部分などございましたでしょうか。
[1026.5-1030.5] これ、とりあえずは。
[1030.5-1038.5] はい、ありがとうございます。ではですね、ちょっとご相談いただいてた内容について、詳細詰めていければなと思うんですけれども、
[1038.5-1046.5] お問い合わせ内容で、かなり情報を伝えていただいているので、本当に製品のマニュアルを読み込ませて、
[1046.5-1053.5] チャットボットを作って、お客様のサポートに満たしていくみたいなところかなとは思うんですけれども、
[1053.5-1059.5] 何か他に追加で伝えたかった情報だったりとかってあったりしますでしょうか。
[1059.5-1064.5] そうですね。この件に関しては、じゃあちょっと一応画面いただきたいと思います。
[1064.5-1067.5] はい、よろしくお願いいたします。
[1067.5-1069.5] これか。
[1069.5-1081.5] これ、共有。
[1081.5-1083.5] はい、見えております。
[1083.5-1087.5] これが弊社のホームページで。
[1087.5-1088.5] はい。
[1088.5-1090.5] で、こっちか。
[1090.5-1092.5] はい。
[1092.5-1105.5] 弊社は、こういった工場を自動化するときの制御ボードとか、制御ソフトを売っておりまして、
[1105.5-1114.5] お客さんは、その装置として仕上げる、装置を作る人がお客さんなんですね。
[1114.5-1121.5] ロボットを作ったりとか、いろんなものを加工、自動的に加工する機械を作るような人がお客さんになります。
[1121.5-1129.5] そういったお客さんが、うちの製品で、要はお客さんのやりたい動きを機械にさせるためにはどうするかっていうところを、
[1129.5-1133.5] まあマニュアルから読み解いて使わなければいけないんですけど、
[1133.5-1140.5] これは結構、難しいというか、試験とかノウファーがあって、難しいんですね。
[1140.5-1149.5] で、ちょっとここもずらずらーっとPDFが、製品ごとにずらずらーっと、マニュアルが大量にあるんですけど、
[1149.5-1155.5] ここから自分の欲しい情報を、
[1155.5-1159.5] 読み出すっていうのがすごい大変なんですよ。
[1159.5-1164.5] 例えば、電気担当の人が配線をするための情報とか、
[1164.5-1171.5] 制御担当の人がどうやったらモーターを意図した位置に動かせるかとか、
[1171.5-1176.5] 意図した速度で、意図した時間内にできるかとか、そういうことのやり方が、
[1176.5-1181.5] どうやったプログラミングの仕方とか、幅広い。
[1181.5-1188.5] 場合によっては、例えば、じゃあ、うちのボードと通信する画面ソフトのAPIをどう使うかとか、
[1188.5-1190.5] はい、はい、はい、はい。
[1190.5-1197.5] 本当に、コロナ株が自分の知りたい情報を探すのって、結構大変なんですね。
[1197.5-1203.5] これ、今、映してますけど、ここは一応、会員ページなんですよ。
[1203.5-1206.5] 基本的に会員登録して、
[1206.5-1211.5] 会員登録して、本当に製品を買って使いたい人が見るか、
[1211.5-1217.5] もしくは、本当に具体的にうちのボードを使うかどうかとかを検討する人が、
[1217.5-1220.5] 仕様を確認するために見るような、
[1220.5-1225.5] 仕様を確認するためにも、会員登録は必要なので、
[1225.5-1228.5] そういう人は会員登録をしてから、ここに入っている。
[1228.5-1230.5] うん。
[1230.5-1235.5] なんで、やっぱりこれ、今まさに使っている人が、
[1235.5-1239.5] やっぱり深い質問を問い合わせページからしてきたり、
[1239.5-1241.5] あと電話でしてきたりとか、
[1241.5-1242.5] うん。
[1242.5-1249.5] 導入を検討している人が、やっぱり他社との比較とかも含めて、
[1249.5-1253.5] こういうことができるかって問い合わせできたりとかするんですね。
[1253.5-1254.5] うん。
[1254.5-1260.5] そこで結構、ちゃんと正しい情報とかを整理して伝えるに、
[1260.5-1263.5] 技術者は結構時間を使うので、
[1263.5-1264.5] うん。
[1264.5-1267.5] ここがAIが答えてくれて、
[1267.5-1271.5] 技術者の時間を削減してくれると嬉しい。
[1271.5-1272.5] うん。
[1272.5-1277.5] っていうのが、具体的にやりたいことだったりします。
[1277.5-1278.5] うん。
[1278.5-1282.5] で、実は今回ここに至ったのは、
[1282.5-1288.5] 私がちょっといろいろ、昨今のこのAIをちゃんと使いこなさんといかないんだろう、
[1288.5-1293.5] ということで、AIの展示会とかに行って、広く情報を収集して、
[1293.5-1301.5] 中で、分かりやすくAIを適用できそうなケースとして、1つここがあったんです。
[1301.5-1331.5] 1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目について、1つ目に
[1331.5-1352.9] AIをうまく、AI駆動開発って、最近言ってますけど、ああいったものをどうやって導入しようかとか、そういったAIを活用するところを広くやる中で、ここはもう、世の中にパッケージもいろいろあるし、具体的に取り組めそうだなというところ。
[1352.9-1362.0] 実は展示会に行って、パッケージ屋さんにいくつか話聞きましたし、こういった打ち合わせも何社かやったんですけど、
[1363.4-1374.8] 端的に言うと、ちょっと物足りないというか、その出来合いのパッケージって、割とこのECサイトとかの、広く浅くじゃないけど、
[1376.1-1377.8] おっしゃる通りだと思います。
[1377.8-1384.8] そういう、たくさん品目がある中で、そこからいい品品を探すとかだったらいいかもしれないけど、
[1385.8-1391.9] もうこの製品って決めて、そこを深掘りしたい人にはちょっと向いてないみたいなところがあるかな。
[1393.2-1402.2] そういう構成システムもあるんですよね。やっぱり、夜中に家みたいな会社も他にあるから、あるんですけど、
[1402.2-1406.0] そういうのって、すっごい高いんですよ。サブスクでも。
[1406.8-1415.0] このような費用になるので、いい方法ないかなって、このジェミニに質問したら、
[1415.2-1418.3] だったらディフィって自前で作るのがいいよ。
[1418.3-1424.3] できる会社さんどこですかって言ったら、御社の名前を紹介してくれたんですか。
[1424.8-1425.9] よかったですね。
[1427.6-1428.1] 本当に。
[1429.4-1435.1] そういう意味では、御社は、AIにちゃんとうまく、そういったところができるってことを、
[1435.1-1438.9] 引用してもらえているホームページを運用できているんだなっていうところも、
[1438.9-1439.9] ちょっと感心しました。
[1439.9-1441.4] ありがとうございます。
[1443.3-1446.8] そうですね。そこのLLMOとかって言ったりするんですけれども、
[1447.8-1450.4] かなりそこは、弊社うまくいっておりまして、
[1451.8-1454.9] 結構ですね、今、AIにお勧めしてもらいましたから、
[1454.9-1458.0] お問い合わせいただくことがかなり多いのと、
[1458.3-1464.0] そこも意図的にやっているので、そういったコンサルティングも可能だったりしますので、
[1464.4-1466.9] そこもかなりお力になれるんじゃないかなっていうのと、
[1466.9-1471.4] あとはそうですね、AIで見つけていただいたっていうところで、
[1471.8-1476.6] 多分、課題感と言いますか、やりたいことみたいなところを聞いている限りでは、
[1476.8-1481.2] 弊社かなりお力になれるんじゃないかなというふうに思っているところではあります。
[1481.2-1484.2] そのおっしゃるとおり、やっぱり展示会とかに出ている会社さんって、
[1484.3-1488.3] 基本的にエンプラ系の、何て言うんですか、従業員がたくさんいて、
[1488.8-1493.2] なんかこう、ちょっとの効率化でも行われれば、従業員数だったりとか、
[1493.2-1497.3] 規模感の問題でかなり利益が出るみたいなところを想定している、
[1498.1-1502.2] コンサルティングだったりとか、DX支援の業者が多かったりしますので、
[1502.7-1504.9] 逆にこう、うちらみたいなところから見ると、
[1505.4-1509.8] ちょっと言い方生意気ですけど、そんな大したことやってないよねみたいなのは、
[1510.2-1514.0] 正直思っているところではあったりはします。
[1514.0-1518.0] 確かにそういったところ、本当に会社さんによるかなと思うんですけれども、
[1518.4-1523.7] に比べるとかなりちょっとコアなというか、深掘った技術もありますし、
[1524.8-1530.8] そこがうまくフィットすれば、かなり面白いこともできるかなというふうに思っているところではあります。
[1531.0-1533.7] ちょっとパッとパッとのところに話題を戻すと、
[1534.1-1537.0] 私、お問い合わせの内容を拝見させていただいたときだと、
[1537.0-1539.4] 割とよくある一般的なじゃないですけれども、
[1539.9-1545.4] ラグ、PDFを足しておいて、それ見てAIが回答するぐらいの感じかなとか、
[1545.6-1546.5] というふうに思ったんですけど、
[1546.7-1549.7] 多分このチャットボットも方向性も2つあると思って、
[1550.2-1552.6] 完全にわからないことをちょっと答えれればいいよ、
[1552.7-1558.1] というところ、カスタマーサクセス的なところを効率化したいみたいな方向性と、
[1558.1-1559.9] もうちょっとニッチなと言いますか、
[1560.3-1566.4] 組み込み側の人間の組み込みをサポートするチャットボットを提供しますぐらいの感じのことも、
[1566.4-1570.2] やろうと思えばできるんじゃないかなというふうに思ってまして、
[1570.4-1572.1] どちらかというと弊社って、
[1574.3-1578.1] お客様側のベンダーに近いと思うんですよ、
[1578.9-1582.8] 何かシステムもやっぱりIoTとか絡んでくると、
[1582.9-1585.5] 製品を導入することもあったりするので、
[1585.9-1588.2] そうなってくるとその製品のマニュアルを、
[1588.3-1591.2] 製品の会社さんの営業担当さんからいただいて、
[1591.6-1593.5] それを見ながらソースコードを書いて、
[1593.5-1596.1] うまく製品とコードでプログラム連携させていただく、
[1596.1-1597.2] やったりするんですけど、
[1597.7-1600.0] そこでもちょっとAI機動開発みたいなところですね、
[1600.1-1602.0] 弊社はかなり進んでいるほうではあるので、
[1602.5-1604.8] 現場でどういうことをしているかみたいなところで言うと、
[1605.3-1610.9] 正直マニュアルはもうあんまり人間が全部片っ端と読むみたいなこともしなくて、
[1611.4-1614.8] それをもうクロードコードに渡してしまって、
[1615.2-1616.4] システムの要件こうですと、
[1616.4-1621.0] APIの仕様を見てどういうソースコード出したらいいか書いてくださいみたいな感じで、
[1621.2-1624.3] 連携させるためのコードまでAIに生成させてしまうみたいな、
[1624.6-1630.3] というところが割と結構先端の開発の仕方をしているところで起きているので、
[1631.1-1635.4] それをサプライヤー側といいますか、
[1635.4-1639.6] デバイスの提供側から提供してしまうみたいなのは、
[1639.9-1645.2] 考え方としてはかなり面白いんじゃないかなというところをお話ししていて思ったところではあります。
[1645.4-1652.1] どういったカッタバットが欲しいかみたいなところの大枠の検討も必要かなと思うんですけども、
[1652.5-1655.8] 今回で言うとどっちが近しい感じのイメージになりますか。
[1656.6-1659.7] この製品に決めるかどうかみたいな前段階だと、
[1660.2-1661.9] 割とPDFを読んで、
[1661.9-1666.1] シンプルにちゃんと合って回答ができればいいみたいな感じになって、
[1666.2-1669.1] モデル的にはお問い合わせないようにいただいていたような、
[1669.1-1672.4] GPT系の軽いモデルでもいいかなというふうに思いますし、
[1672.9-1677.0] 逆にお客様が買ってくださった後、
[1677.3-1678.5] お客様というより、多分、
[1679.3-1682.2] 二押けの間に入っているベンダーみたいなところだと思うんですけど、
[1682.7-1686.7] 組み込むときにスムーズに組み込めるようにみたいな感じでいくと、
[1686.7-1688.3] もうちょっと高性能な、
[1688.3-1690.8] BOTというよりエージェントをですね、
[1691.1-1696.3] を作っていくような感じというような方向性になってくるかなというふうにお話していって思うことができるようになっています。
[1697.5-1701.1] イメージの中、どっちが近そうですか。今回のニーズでいい。
[1770.1-1771.1] 難しくはないですけど、
[1771.1-1772.1] 大変だって、
[1772.1-1774.1] マニュアル読むのを楽にしよう、
[1774.1-1776.1] だったらまだBotでできるんですけども、
[1776.1-1778.1] じゃあ現場の写真を撮って、
[1778.1-1779.1] この写真を送るから、
[1779.1-1780.1] どうしたらいいの?
[1780.1-1781.1] って聞きたい、
[1781.1-1784.1] だったらエージェントが必要って感じのイメージになります。
[1784.1-1785.1] 今、
[1785.1-1788.1] エンジン側の処理能力が違うんですか?
[1788.1-1789.1] おっしゃる通りです。
[1789.1-1790.1] 処理能力と、
[1790.1-1793.1] 中で何回最期的に動かすかみたいな、
[1793.1-1795.1] そういうことなんですね。
[1795.1-1797.1] であれば、
[1797.1-1798.1] 結局、
[1798.1-1802.1] 大量のマニュアルデータを読み込ませる必要があるし、
[1802.1-1804.1] あとは技術的な資料なので、
[1804.1-1806.1] 図とかもあるんですよ。
[1806.1-1807.1] なので、
[1807.1-1809.1] 単なるテキストデータではなく、
[1809.1-1813.1] 図のデータも読み込ませて学ばせたい。
[1813.1-1815.1] できれば、
[1815.1-1818.1] 回答は図でも回答できるように。
[1818.1-1820.1] あとは、
[1820.1-1824.1] 競合のデータとかも、
[1824.1-1827.1] 例えばユーザーが読み込ませるとか、
[1827.1-1830.1] 我々側が読み込ませて、
[1830.1-1832.1] 事例に読み込ませておくとか。
[1832.1-1833.1] その時に、
[1833.1-1835.1] 競合他社だと、
[1835.1-1837.1] Aというキーワード、機能だけれども、
[1837.1-1839.1] テクノの場合、
[1839.1-1841.1] 似たような機能は何ですか?って質問した時に、
[1841.1-1843.1] シャカシャカやっていただいて、
[1843.1-1845.1] テクノだと、
[1845.1-1847.1] こういう機能がありますよ、
[1847.1-1849.1] という回答をして、
[1849.1-1853.1] そういう場合ですと、
[1853.1-1857.1] エージェントになるんですね。
[1857.1-1859.1] エージェントが近いかと思います。
[1859.1-1861.1] アウトプットとして画像を出したいっていう風なところ。
[1861.1-1862.1] その画像も、
[1862.1-1865.1] あらかじめデータレースに登録されている画像を、
[1865.1-1867.1] これですって出すのではなくて、
[1867.1-1869.1] その場合に当てはめて、
[1869.1-1871.1] お客さまが何したいのかを理解して、
[1871.1-1873.1] じゃあこういう配線図がいいですよ、
[1873.1-1875.1] 自分で作って出すってなると、
[1875.1-1876.1] エージェントが必要になります。
[1876.1-1877.1] やっぱり何でかっていうと、
[1877.1-1879.1] ただテキストを返す、
[1879.1-1881.1] LLM、AIっていうのはどういうことかっていうと、
[1881.1-1883.1] 単純にこれ、
[1883.1-1885.1] 仕組みとしては言語の並びで、
[1885.1-1888.1] こう言われたら、次これが来ることが多いみたいな感じの推論を、
[1888.1-1890.1] すごい高精度にあって、
[1890.1-1891.1] テキストを出しているので、
[1891.1-1894.1] 基本的にアウトプットはテキストしか出せないんです。
[1894.1-1896.1] エージェントは何が起きているかっていうと、
[1896.1-1899.1] そのテキストを元に画像を作るみたいな処理を行ったり、
[1899.1-1902.1] そのテキストを元にパートを作るみたいな、
[1902.1-1903.1] そういう、なんて言うんでしょう、
[1903.1-1904.1] 処理って言われるようなこと、
[1904.1-1905.1] 作業ですね、
[1905.1-1908.1] を中でできるっていうのがエージェントなので、
[1908.1-1911.1] 何か資料をアウトプットとして出したいってなってくると、
[1911.1-1915.1] エージェントが必要になるかなっていう感じですね。
[1915.1-1917.1] エージェントですね。
[1917.1-1920.1] 多分、エージェントレベルのことをしてもらわないと、
[1920.1-1922.1] 我々の手が…
[1922.1-1925.1] なりますね。
[1925.1-1929.1] 本当にフロントの検討段階のお客様に接客するぐらいとか、
[1929.1-1931.1] ですね、Botでできるとかで言うと、
[1931.1-1933.1] お話聞いてると、割ともう、
[1933.1-1939.1] コンバージョンされた方の組み込みの支援みたいなことを、
[1939.1-1943.1] カスタマーサクセスとして今やられてるのかなっていう風な感じはしているので、
[1943.1-1945.1] そうなってくるとエージェントだと思いますね。
[1945.1-1948.1] でもちょっとこれ、エージェントだ、どうぞ。
[1948.1-1949.1] はい、ただですね、
[1949.1-1954.1] AI側の回答が100%正しいという風には、
[1954.1-1956.1] 見てもらいたくないんですよ。
[1956.1-1958.1] おしゃるといいと思います。
[1958.1-1960.1] なので、イメージとしては、
[1960.1-1964.1] テクノのAIなんちゃらくんみたいな、
[1964.1-1965.1] まあ、
[1965.1-1967.1] カラクターとかで、
[1967.1-1970.1] 出して、あくまでも参考にしてくださいと。
[1970.1-1973.1] で、理解度高めてもらった後に、
[1973.1-1976.1] 直接、経常の方に電話だったりとか、
[1976.1-1978.1] メールだったりとか、
[1978.1-1980.1] をくださいと。
[1980.1-1983.1] そうしていかないと、例えば配線一つとっても、
[1983.1-1986.1] AI側の回答が間違ってると、
[1986.1-1987.1] 単純に、
[1987.1-1989.1] ショートして、
[1989.1-1992.1] お客さんのものが壊れてしまうということもあり得るので、
[1992.1-1993.1] なので、
[1993.1-1998.1] 100%信じちゃダメですよっていう風なスタンスでいかないといけないかなと。
[1998.1-1999.1] そうですね。
[1999.1-2000.1] そうですね。
[2000.1-2005.1] あと、そこでちょっと問題になってくるのは、
[2005.1-2008.1] エージェントとして提供しましょうってなってくると、
[2008.1-2012.1] 先ほど申し上げたランニングコストの話、かなり変わってきてしまうので、
