[00:06] マットがここかな
[03:51] なので元々何か業務効率化したかったみたいなという風な内容が
[03:56] 200万から150万以下でできるようなことであれば
[04:00] むしろ補助金使って
[04:01] そういったDX系のご支援もさせていただいて
[04:04] そういった方がシステム開発自体も安くできるみたいなことになってくるので
[04:10] 割とそういったところとかも踏まえながらですね
[04:14] 他のお悩みというか
[04:16] IT系で解決したい課題ありませんかという風なところで
[04:20] そこもセットでご提案させていただいているという風な形になります
[04:25] 一応ざっくりと背景としてはこんな感じですかね
[04:31] 桜井様の方からも補足されたい内容がありますので
[04:37] 特にお見せいただけないですかね
[04:39] ありがとうございます
[04:41] ではモックアップの方ですね
[04:43] ちょっと聞かせていただいた内容を元に作ってきましたので
[04:48] 画面共有して出していければなという風に思います
[04:56] 基本的なページのところに限ってではあるんですけれども
[05:00] なんとなく画面作ってきております
[05:03] そんな感じですね
[05:04] またトップページみたいな
[05:05] こういう感じで
[05:06] 同じのLPみたいなところが1ページ分必要かなという風なところと
[05:12] あくまでもデモなので書いてあることが割とそれっぽい文章という風なだけではあるんですけど
[05:20] 本番はしっかりと内容をヒアリングさせていただいてですね
[05:24] 作っていければという風なところです
[05:28] あとはトップページから入って会員登録するときのページですね
[05:32] ここはいきなり書き促すのか
[05:35] ある程度無料で記事を書いていただいて
[05:38] それ以上行くときはやるのかという風なところを選ぶような感じになってくるかなという風に思います
[05:45] あとアカウント作成の概念を必須にするかどうかみたいなところとかもあるかなという気がします
[05:51] コメント機能とかいいね機能とか使うんだったらアカウント作成必須になるので
[05:55] そこの時点で無料プランでやりますかプレミアムでやりますかみたいなのを選んでもいいのかなというのと
[06:01] あとはプレミアムでやる場合はお支払い情報をいただいたりとか
[06:05] あとアカウント情報をやるときにも必須にするかどうかという風に思います
[06:11] 決めさせていただければなと思うんですけれども
[06:13] メールアドレスとパスワードとかアカウント作成に必要な基本情報と
[06:18] お名前ともしかしたら所属されている動物病院とか
[06:21] あとは資格持っているか持っていないかとか聞いてもいいのかなみたいなイメージですかね
[06:28] 記事画面がこんな感じですね
[06:33] あくまでもこれもデモになるので
[06:36] 項目とかはしっかりとヒアリングさせていただいて
[06:40] 作っていければなと思うんですけど
[06:42] あとデザインもですね
[06:43] デザインも一旦これデモなので
[06:45] ちょっと参考サイトとかどういうのがいいですかってお聞きしながら
[06:48] やっていく感じになるかなとは思っています
[06:54] 記事一覧があってみたいな感じのイメージですかね
[06:58] ちょっとデモなのでこれ記事画面まではいけないんですけど
[07:01] クリックしたら記事が見れるみたいな感じかなと思っています
[07:09] あと検索機能もあって
[07:12] あとはお気に入りとかが見れるような感じの機能ですね
[07:16] マイボックス機能があってっていう風なところで
[07:25] あとあれですね
[07:27] ここから先は課金しないと読めないですよみたいなところを実装する場合は
[07:32] こんな感じのイメージかなという風に思っています
[07:36] SEO的なところを考えると
[07:40] 全記事公開してしまった方がSEO的にはいいのかなっていう風なお話は
[07:44] させていただいてたかなとは思うんですけども
[07:47] そこは記事ごとに切り分けちゃっても
[07:50] システムとしては切り分けるようにしてしまえば
[07:52] なるべく公開記事多くしといて
[07:56] いくつか有料記事あってもいいのかなという気はしております
[08:01] 運営側で全記事が課金しないと最後まで読めないだと
[08:06] あんまりちょっと意味なくなっちゃうかなと思うので
[08:10] 無料で最後まで読める記事はなるべく多くしつつも
[08:14] 記事によってはこういった形もありかなとは思います
[08:20] 課金したらこんな感じで内容がちゃんと見れますよっていう風なところですかね
[08:27] あとはこういうコメント機能みたいなものがあってもいいのかなという風に思ってまして
[08:33] このコメント機能のところでユーザー間で意見交換ができるみたいな
[08:39] ことができたらいいのかなとか
[08:41] あとは注釈入れてくれた先生に
[08:46] これどこまでライターの先生が協力してくださるかにもよると思うんですけども
[08:52] コメントが来たら先生に一応通知が行くようにしておいて
[08:55] 絶対質問に返事が返ってくるとは限らないけど
[08:59] 一応質問が投げられるようぐらいの感じでやってもいいのかなというところですね
[09:04] ニュースピックスっていうビジネス系のメディアが割とこの辺参考になるかなと
[09:09] この辺参考になるかなと
[09:09] 思ってまして
[09:11] 理想論でいくとこういう風にコメントが来るとか質問が来るとか
[09:17] 他の獣医師の先生に対して影響力を持てるみたいな
[09:21] そういったところのメリットを感じて
[09:23] 何ならお金をもらわないでも自分でこういう記事を書いてくれるみたいな
[09:28] 感じの状況ができると理想なのかなという風に
[09:33] お話聞いていて思っているところだったりはします
[09:40] マイボックスのところがこんな感じですね
[09:42] ここもちょっと要件を細かく聞かせていただいて
[09:44] 何かあればそこは反映させていただきたいなと思うんですけども
[09:48] 後で読むみたいな機能があったりとか
[09:50] 後で読むの中から読んだ記事がこんな感じですとか
[09:55] そういう風な分けができるといいのかなという感じの
[10:00] イメージですね
[10:01] あと文献検索のところ
[10:03] ここは既存であるサービスと
[10:05] ちょっと似てくるかなとは思うんですけれども
[10:09] 日本語で検索できるみたいなところが
[10:12] あとはAI検索みたいなところとかも
[10:17] ここはちょっと無料で出してしまうと
[10:19] AI検索のところ
[10:20] 原価が結構かかるので
[10:22] 要検討ではあるんですけれども
[10:24] 提供してもいいのかなという風な
[10:26] イメージですね
[10:29] 検索結果がここに出てきて
[10:32] 今すぐ読むとは限らないので
[10:34] マイボックスに入れるみたいな感じ
[10:40] あとは基本的な画面として
[10:42] マイページとか
[10:44] 興味のあるカテゴリーとか
[10:45] ニュース系のアプリだとあるかなと思って
[10:49] 登録しておいてだったりとか
[10:52] あとはプランの状況を確認できます
[10:55] というのと
[10:56] 通知のタイミング
[10:57] ここで設定できますよ
[10:59] というようなことができるといいかな
[11:01] というところです
[11:05] これはイメージですけれども
[11:08] LINEのただただテキストを送るんじゃなくて
[11:11] LINE側の
[11:12] なんていうんでしょう
[11:14] リッチメッセージという形で
[11:17] 通知できるとより良いのかなという風な感じです
[11:22] あとはLINEのリッチメニューから
[11:24] こういう基本的な画面
[11:26] マイボックスとか
[11:28] 検索ページとかに飛べるようにしておくと
[11:31] ユーザーも使いやすいんじゃないかな
[11:33] という気がします
[11:35] 今回ネイティブアプリ
[11:37] ネイティブアプリっていうのが
[11:38] App Storeからダウンロードするアプリですね
[11:40] とかには次第方向性かなと思うので
[11:45] リテラシーの高い方とかだと
[11:47] Webページブックマークして
[11:49] ホーム画面に追加するとか
[11:51] やって使ってる方いらっしゃるかなと思うんですけども
[11:54] みんながみんな
[11:55] そこまでスマートフォン使い方をしてる方が多いですけども
[11:57] みんながみんなこなしてるとは限らないので
[11:58] LINEのアカウントから
[12:00] リッチメニューですぐに
[12:02] このアプリとかシステムですね
[12:04] に飛べるようにしておくと
[12:06] サイトの訪問率とか利用率みたいなところも
[12:10] 上げやすいのかなっていうところです
[12:14] 一旦前回の打ち合わせで話題にあがったような機能は
[12:19] ある程度ざっくりと可視化させていただいたかな
[12:21] と思うんですけども
[12:23] なんかここの画面
[12:24] イメージと違ったなとかあったりしますか?
[12:32] ちょっとすいません
[12:33] 確認させていただくとすると
[12:36] 著者の先生が書いた記事は
[12:40] さっき見せていただいた
[12:42] 下の方行くとここ
[12:43] 著者のコメントを見られますよ
[12:45] みたいな感じだと思うんですけど
[12:47] そうじゃない記事は
[12:50] AI翻訳でオール翻訳記事みたいなのが
[12:53] 掲載されるっていう感じですかね?
[12:56] どちらでも
[12:57] 技術的には可能なので
[12:59] そういったことも可能です
[13:01] これちなみに著者の先生が
[13:04] コメントしてるパターンでも
[13:06] AIでオール翻訳の記事出しちゃっていいのかなって思うんですけど
[13:10] 今ちょっとこれAI翻訳だけになってますけど
[13:13] 要訳だけになってますけど
[13:14] 要訳だけじゃなくて
[13:16] 全文も見たいっていう感じですよね
[13:21] いや全文
[13:22] ていうかそもそもあんまり
[13:23] 全文引っ張ってこれるものがないって
[13:26] PubMed自体が
[13:27] ある程度縮小されていて
[13:29] そこから全文読む時に
[13:31] 結構課金しないと見れないことが多かったりするんですよね
[13:35] なのでこの著者がコメントする記事自体は
[13:39] 著者の先生が全部翻訳
[13:42] 要するに自分
[13:43] 多分その著者の先生は
[13:44] 全文読んでコメントを書かれてるんで
[13:47] その全文から要訳して
[13:49] 先生がご自身でタイピングするのか
[13:52] それをAIで使うのか
[13:53] 先生のご自由なんですけど
[13:55] 記事自体は全部先生に書いてるんですけど
[13:57] その時にアップしてもらうっていうイメージ
[13:59] ではあるんですよね
[14:00] 全文読みたい時ってもうPubMedに飛んで
[14:03] 自分で課金して
[14:04] それを翻訳するみたいなことをしないといけない
[14:07] そうですね
[14:09] PubMedに掲載されてるもの自体が
[14:12] ある程度そこからピックアップされてるっていうか
[14:17] 要訳されたような状態でも
[14:19] すでに上がっているので
[14:21] その長さは一長一短なんですけど
[14:25] でさらにそれを
[14:27] こっちの記事に持ってくる時に
[14:29] AIにさらにそこから要約してもらうといいのかなとは思っていて
[14:35] その先生の記事以外にですかね
[14:38] それはオール無料公開してもいいかなと思ってるんですけど
[14:42] これ結構獣医さんの間の習慣じゃないですけど
[14:48] あんまり元記事全部読みたいみたいな人って
[14:51] 少ないイメージなんですか
[14:53] 元記事っていうか論文ですね
[14:55] 元の論文を読みたいとかそういうのがあるんですけど
[14:57] っていうニーズあんまりない感じなんですか
[14:59] いや多分自分が気になる記事自体は
[15:02] 元記事オール読みたいんだと思うんですけど
[15:04] そこで課金する先生としない先生がもちろんいらっしゃる
[15:10] かなとは思うのと
[15:11] 要するに自分の興味
[15:14] 興味ってそこにお金をかけるだけの
[15:16] あれがあるかどうかっていうところもあるんですけど
[15:20] これって技術的には難しいんですかね
[15:24] PubMedに論文が
[15:27] アップロードされちゃってる時点で
[15:29] PubMedが課金しないと
[15:31] その論文に読む方法はない?
[15:34] いやPubMedに上がってるやつ分は
[15:37] 無料で読めるんですけど
[15:40] PubMedに上がってるものって
[15:42] 元の出版社とか雑誌があって
[15:46] PubMedのところから
[15:47] その元の出版社とか雑誌の方に飛ぶ
[15:51] 要するにあれがバナーみたいなのがついていて
[15:55] それがフリーになってる場合もあるし
[15:57] そこをクリックすると
[15:59] お金払ってくださいみたいな感じになってるものもある
[16:02] それはその版元の出版社のあれによるんですけど
[16:08] PubMedがお金取ってるんじゃなくって
[16:10] 大元の論文を掲載してる出版社とかが
[16:15] お金を取ってるパターンがあるんですね
[16:16] そうですね
[16:17] PubMed自体はあんな感じで
[16:19] 全部無料で見られるんですけど
[16:21] 要するにいっぱいの論文の一部分だけ
[16:24] 公開してるみたいな感じになっていて
[16:27] 結局はね
[16:27] 結局全部読もうと思ったら
[16:29] ハウモトさんの方に飛ばすみたいなことになってる
[16:33] なるほど
[16:35] 確かにどう
[16:35] システム的には
[16:38] PubMedの先位先の元のページを
[16:48] こっちからすぐ飛ばせるようにするみたいなのも
[16:51] できなくはないのと
[16:53] ないしは飛んだ先の論文を
[16:55] こっち側であらかじめAIで要約しておいて
[16:58] 課金じゃないやつだけですけども
[17:00] アクセスできる範囲で取っておくみたいなのは
[17:03] できはするんですけど
[17:05] それやるってなると
[17:06] システムがどうこうってより
[17:08] なんて言うんでしょう
[17:08] そういうことをやる
[17:10] AIエージェントみたいなのを作って
[17:13] それを毎日夜中動かすみたいな感じのことをやる
[17:16] イメージになる
[17:18] PubMedもそういうことを多分やってて
[17:21] AIエージェントとかクローラーとかって言ったりするんですけど
[17:24] インターネット上のサイトを回遊してるとかとかって言ったりするんですけど
[17:28] それを読んで論文を見つけてきて要約して
[17:30] PubMedのデータベースに入れてみたいなことをやってると思うんですけど
[17:34] それみたいなことをすれば
[17:36] 技術的にはできるんですけど
[17:38] サービスが拡大してきてからの方が
[17:41] ランコスかかるんで
[17:43] いいんじゃないかなっていう気はしますね
[17:45] なんで将来のプランとしては
[17:48] そういうのを想定してもいいのかなって気はしてます
[17:51] 全文翻訳読めるとかですね
[17:55] そうですね
[17:56] なんで
[17:58] 先生がコメントを入れる記事自体はもう最初のサマリー部分
[18:02] ようやくサマリー部分から全部の記事を
[18:05] 先生にも本当にただ書いてもらうっていうイメージですかね
[18:08] 著者に書いてもらうみたいな感じで
[18:10] 記事提供してもらうので
[18:12] ここはもうほぼアナログみたいな感じなんですけど
[18:16] 私がワードとかでもらったのを
[18:18] ここに添付していくみたいな感じになると思うんです
[18:22] それ以外にそのPubMedで無料で見れるような範囲のものを
[18:26] ちょっとピックアップしてきてくれる
[18:29] ちょっと要約してもらえるといいかなというふうに思ってるんですけど
[18:34] 絶対にしてましたね
[18:35] そしたらイメージで言うと
[18:36] 多分読みたい論文を探す場所っていう意味合いもあると思うんですけど
[18:40] どちらかというと論文をもとに
[18:42] やっぱこうコミュニケーション取れるみたいな場所の方が
[18:46] プラットフォームとして価値が出てきそうなイメージ
[18:51] 全文を読むパターンがあんまり少ない
[18:54] かなり興味があれば読むし
[18:56] でもそれが行った先で課金のパターンもあるし
[18:58] それが行った先で課金のパターンもあるみたいな話だと思うんで
[19:00] なんか割とこの辺のコメント機能みたいなところ
[19:04] 要約機能とかがないとそもそも
[19:08] 論文全部読まないとコメントするに至らないと思うんで
[19:11] ここはもうある前提というか
[19:14] 基礎の基礎として提供した上で
[19:17] じゃあこのプラットフォームのコア機能ってなんだろう
[19:20] みたいなところを考えると
[19:21] それに対して有名な先生のコメントが
[19:24] これをどう解釈したらいいかみたいな話があったりとか
[19:28] なんか他の人の考えが見れるとか
[19:31] 自分の考え発信できるみたいなのが
[19:33] なんか割と機能としては押し出してもいい部分になってくるんじゃないかな
[19:38] っていう気もしますね
[19:42] なんかやっぱりその
[19:44] 元の論文は外部サイトに行って読んでくださいだと
[19:48] 若干全然価値がないとは全く思わないですけど
[19:51] ちょっと弱い気がするんですよ
[19:54] そのプラットフォームのやっぱ機能というか
[19:58] 魅力として
[20:00] そこに500円だったら全然払おうかなって気がしますけど
[20:03] 金額もうちょっと高くなってくると
[20:06] なんだ記事は結局外に飛ばされるだけなんだ
[20:08] はユーザーの心理としてありそうな気がしますし
[20:12] っていう感じですかね
[20:15] あと何か気になった画面とかありますか
[20:18] 登録画面は結構これ
[20:20] いろいろと諸説ありだなと思っているところではあるんですけども
[20:26] 記事フィードとか
[20:33] あとは1日1回とか週に1回とか
[20:37] 1日1回はさすがに無理か
[20:39] 1週間に1回とか記事がお勧め配信されるみたいなところも
[20:45] 結構バリューになり得るかなと思うので
[20:46] 割とこの画面を見るっていうよりは
[20:51] 配信された記事を毎日読むみたいな使い方をする人もいるのかな
[20:55] ってイメージですかね
[20:57] はい
[20:58] はい
[20:58] はい
[20:58] はい
[20:59] はい
[20:59] はい
[20:59] はい
[21:00] あとはユースケースとしてはあれですかね
[21:02] 現場で詳しくならなきゃいけないことがあった時とかに
[21:07] 検索機能を使うとか
[21:11] そうですね
[21:12] そうか
[21:12] そうですかね
[21:14] モックアップこんな感じで作ってきたんですけど
[21:18] どうですか
[21:19] 作りたいものと帰りがなければいいなというところではあるんですけど
[21:24] そうですね
[21:24] およそ大丈夫と思います
[21:26] なのであとは先生が書いた記事と
[21:29] あとは先生が書いた記事と
[21:30] AIがただ翻訳した記事の差別化が分かりやすくなるようにしていただければ大丈夫かなと思う
[21:38] そうです
[21:39] ちなみにLINEの通知自体は
[21:43] 私がこの先生の記事を上げましたLINE通知できますみたいな状態にしたら
[21:49] 勝手に通知して
[21:49] さっきみたいにマイページで通知した曜日を選ぶみたいなところがあったと思うんですけど
[21:55] その先生のニーズに合わせて
[21:57] 私がアップした以降は
[22:00] 勝手に配してもらえるって感じですかね
[22:03] それはシステムどう組むかではあるんですけど
[22:07] 都合のいいようにシステム組んでいければなと思うので
[22:11] 例えば向こうがいつ通知受け取りたいかベースでやるもありですし
[22:16] なんなら最初のうちってコメント付きの記事ってそんなバンバンバンバンいくわけじゃないと思うんで
[22:21] コメント付きの記事登録したらもうすぐに通知でもいいと思いますし
[22:26] という感じ
[22:27] わかりました
[22:28] はい
[22:29] はい
[22:29] はい
[22:46] そうですね
[22:46] それはもし私が3つ最終的に拡張したい機能として
[22:51] 自分が興味があるところの論文アップされたら勝手に通知されるっていうのはあるので
[22:56] もちろんそれは入れていただけるといいかなと思ってます
[23:00] 一応先生の記事自体は今のところは要するに1週間に1本
[23:04] 月に4本のつもりで先生に依頼しようかなと思ってるんですけど
[23:12] そうですね
[23:12] ちょっとユーザーさんの使い方見つつみたいな気もしますね
[23:16] 結構毎日読む人が多いんだったら
[23:18] なんかそれこそ新しい論文以外にも過去の論文ってすごいいっぱいあって
[23:24] 多分全部把握しきれないと思うので
[23:26] その中からAIなのかシステムなのかが
[23:30] おすすめのやつを毎日1本教えてくれるようでも面白い気がします
[23:33] こんな論文あったんだみたいな
[23:36] 面白い気がしますし
[23:38] 逆にそこがちょっと私の中でどうしたらいいか分かんないなと思ってるんですけど
[23:44] おすすめみたいなところを
[23:46] AIでどうやって引っ張ってきたらいいのかなっていうのが分かんないなと思っていて
[23:54] 1個簡単なやり方はそもそもこの興味のあるカテゴリーみたいなのを置いて
[23:59] そこにマッチするものを
[24:01] これAIなのかランダムなのかでおすすめ出していく
[24:07] ユーザーが読んだ読んでないみたいなのは
[24:10] 論文を読んだ読んでないっていうよりは少なくとも
[24:12] ここのページを見たか見てないかみたいな
[24:16] 見たか見てないかは内部的にデータ取っておいて
[24:19] 1回見た論文はおすすめしないようにする
[24:22] っていうのが一番シンプルなやり方
[24:24] もっと高度なことをしたいってなってくると
[24:28] よりこのユーザーに刺さるおすすめ出していきたいみたいになってくると
[24:33] なんかこう似てるので言ったら
[24:35] マッチングアプリのおすすめのロジックとかと似てるんですけど
[24:40] このページの滞在時間をとっておいたりするんですよ
[24:43] ウザーとかとか
[24:46] このマイボックス機能とかあるので
[24:49] 同じジャンルだけども
[24:51] どういう記事が滞在時間長いかとか
[24:53] どういう記事がマイボックスにされてるかみたいな傾向をもとに
[24:58] AIがおすすめするみたいなことも技術的には可能なんですけど
[25:02] 複雑なことやればやるほどそのAIがすごい動くんで
[25:06] そのAIの重量課金の料金がかかっちゃうみたいな感じのイメージですね
[25:11] なるほど
[25:13] でも結構なんかこのレコメンドの制度って
[25:16] サービスの評価につながってくるところであるかなっていう気がしてて
[25:21] 例えばSNSで言うと最近インスタグラムのおすすめとか
[25:26] あとはXのおすすめとか
[25:27] あの辺で制度がとんでもなく高くなってて
[25:31] それによってユーザーがついつい見ちゃうみたいな
[25:35] できたりするので
[25:36] そのくらいの制度がこのプラットフォームでも出せると
[25:39] 結構そこは一つのコアバリューになり得るなというか
[25:43] ユーザーがすごいんだよみたいな
[25:46] だから本当にどんぴしゃり興味のある論文教えてくれてみたいな
[25:50] っていうユーザー体験が実現できるっていうメリットもあるし
[25:56] なんかそれも私がおいおい拡張したいっていう機能でお伝えしてたのが
[26:01] もうすでに入れていただいてると思うんですけど
[26:03] 一番最初のトップページのとこに今週よく読まれた記事トップ3みたいなのが入っていて
[26:09] これも今おっしゃっていただいたみたいに
[26:11] ここのページに行きたいなと思う一個になるかなと
[26:16] 思っていてどこだったら
[26:17] 向かって右端の方だから
[26:21] ページの向かって右端の方にどっかに
[26:24] 今週よく読まれた記事
[26:27] そうですね
[26:28] 最終的に入れたいなと
[26:31] やっぱりページをクリックされた数が多いのだけでもいいかなと思ってたんですけど
[26:36] なんか難クリックじゃないけど
[26:39] 結構こういうのはいろいろ作れると思うので
[26:42] よく読まれたもそうですし
[26:44] コメント機能つけるんだったら
[26:46] 話題になってるとかなんかディスカッションが発生してる
[26:48] 面白い気がしますし
[26:50] 確かに
[26:52] そういう風にすると
[26:53] あのなんて言うんでしょう
[26:55] ただの記事を見つけるだけのサービスじゃなくて
[26:58] あの面白い使い方ができるのかなっていう気がしますね
[27:02] 結構知的なお仕事されてる方とかは
[27:05] 知的好奇心高い方とか
[27:06] 結構知的な交流に魅力感じられる方多いと思うので
[27:10] そういうので
[27:11] あのニュースピックスとかは割と盛り上がってるのかなってのはあると思うんですけど
[27:17] そういう感じですかね
[27:19] なんかまあそれこそ多分こう
[27:22] 同じ獣医師の方とかでも論文読む方ってかなり意識の高いというか
[27:27] 熱心な方達だと思うので
[27:29] その論文に対してなんかディスカッションできる知人とか友人とかって
[27:35] そんな多くはないと思うんですよ
[27:37] なってくるとこういうインターネットの場で
[27:39] そういう人たちとコミュニケーション取れるみたいな
[27:42] 結構コラボ流になるんじゃないかなっていう気がしますね
[27:46] 新しいかなと思います
[27:49] 私もアイデア聞いててすごい面白いなと思ってるので
[27:52] ぜひお手伝いさせていただけると嬉しいです
[27:56] ではいあのモックアップこんな感じで
[27:59] ちょっと作ってきましたっていうところと
[28:02] でご支援の内容ですね
[28:04] ちょっと具体的に前回口頭でお伝えしてた内容を
[28:08] 改めてドキュメントに整理しました
[28:09] というところではあるんですけれども
[28:12] ちょっとご提案まとめさせていただいたので
[28:16] こちらですね後ほど送付もさせていただければと思います
[28:21] でですねざっくりと今回作らせていただくシステム
[28:25] こういうことですよねっていうのを確認でいくと
[28:30] 今11さんの中で論文を検索するっていうのが
[28:34] 大変ですよっていうところがまずありますと
[28:36] そもそもPubMedとかあると思うんですけれども
[28:40] そもそも英語ベースで情報があります
[28:44] 日本語で検索しづらいっていうのが
[28:46] あると思うんでそこを解決した上でですね
[28:49] 先生による解釈コメント付きみたいなところを
[28:52] 提供したりしたら面白いんじゃないかみたいなところが
[28:56] 元々の根本にあるところかなというふうに思っていますと
[29:01] サブスクリプション形式で収益を得るようなモデルを想定しています
[29:06] ターゲットが獣医師の方で
[29:09] 特徴みたいなところですね
[29:11] 単なるAIの翻訳要約みたいなところだと
[29:14] 一応既存でも似たようなサービスがあるので
[29:16] しっかりと先生の解釈っていうところがついてくるっていうのと
[29:20] あとは先ほどご提案させていただいたように
[29:23] コメントだったりとかみたいな感じで
[29:25] ちょっとユーザー間のコミュニケーション取れるみたいな
[29:27] 要素があると面白いんじゃないかなっていうところを
[29:30] ちょっとここには入れさせていただいてはないですけども
[29:33] ご提案としてそういうのもありなんじゃないかなってところですね
[29:37] あとは価格形態みたいなところで言うと
[29:40] 無料の記事と有料の記事みたいなところを
[29:43] 出し分けていきますよっていうところです
[29:47] で ローンチの目標みたいなところで言いますと
[29:50] 開発期間としては大体1.5から2.5ヶ月ぐらいですね
[29:53] いただければ開発可能かなと思っておりまして
[29:56] それプラス要件定義とかって言ったり
[30:00] するんですけれども 具体的に機能一覧どれに決めましょう
[30:03] とか 画面一覧どれに決めましょうとか この機能やりますかやりませんか
[30:07] みたいなとこですね 特にAI系のところ 多くなってくるかなと思うんですけども
[30:11] あったほうがいいけど やっぱり これちょっと原価かかっちゃいそうなんで
[30:16] 今の最初のフェーズはやめときますかとか そういうディスカッションがあるかなと思うので
[30:20] そういうことを要件定義のフェーズで やっていくっていう感じのイメージです
[30:25] それが完了して じゃあどこまでのシステムを作りましょうみたいな
[30:30] 明確に決まった段階で 1.5から2.5ぐらいで 開発させていただきそうですよ
[30:35] っていうふうなところになります
[30:40] 期待効果みたいなところで言うと 既存の検索システムのところの要件を満たしつつも
[30:45] 先生の解釈みたいなところが入ってくることによって
[30:50] これまでにない価値を提供できるんじゃないか っていうふうなところです
[30:55] あとは補助金関係のところを絡めてやっていくことによって
[31:00] 開発費を安くできるっていうところに加えて
[31:04] そもそも今までやりたかったっていうふうな DX系のこともご支援させていただけたらなというふうに思っております
[31:12] 現状性 ちょっとここ 先ほど話した内容と被ってしまうので
[31:15] この辺は飛ばしてしまおうかなとは思うんですけれども
[31:18] 現状パブメドがありますよっていうのと とはゆえこういうことができてないですよ
[31:25] みたいなところを整理してるっていう感じですね
[31:28] ソリューションとして ここも先ほどモックアップで説明させていただいた内容のほうが
[31:33] より具体的かなと思うので 軽く触っていければなと思うんですけども
[31:37] イメージで言ったら先ほどデモンストレーションを見させていただいたようなものを作っていきましょうっていうふうなところです
[31:44] ある程度主要な機能をここに整理させていただいてますっていうふうなところですね
[31:49] 決済機能と会員管理っていう感じの ログインとかそういう感じの概念がありますよと
[31:55] コンテンツ配信機能がありますよ
[31:58] 記事が見れて有料無料で分けられますよっていうのと
[32:02] コメント機能なんかもあってもいいんじゃないですかっていうところで
[32:05] マイボックスですね
[32:07] わりとニュース系のメディアだとお気に入りとかそういうのあったりすると思うんですけど
[32:11] そこら辺の機能ですね
[32:13] あとは論文検索とAIの要約っていうふうなことが機能として提供できたらいいのかなっていうところです
[32:21] ある程度利用の流れみたいな感じだとこんな感じの意味がありますし
[32:26] あとはサブスク入る人はサブスク入って通知だったりとかもらえますっていうふうなところと
[32:36] 記事を見ていきます
[32:37] 記事のところに場合によってはコメントしたりとか
[32:40] あとはマイボックスに入れて後で読むみたいなこともできますっていうふうなところです
[32:48] システム構成ですね
[32:49] ちょっとあんまりシステマチックなところは細かく説明したほうがいいんですけど
[32:57] ざっくりと説明させていただければと思うんですけども
[32:59] まずプラットフォームですね
[33:01] 今回ブラウザベースのウェブアプリケーションでよいかなと思っています
[33:05] もしかしたら将来的にはですね
[33:07] ネイティブアプリっていうんですけども
[33:08] ストアからダウンロードするタイプのアプリにしていってもいいかなと思うんですけども
[33:13] ネイティブアプリにした場合デメリットとしては決済手数料ですね
[33:16] プラットフォーマーの方に取られてしまうので
[33:19] そこは十分検討しながらやっていく必要はあるなと思っております
[33:27] 例えばですね
[33:27] パソコンからもスマートフォンからも両方から見れるようにしておいたほうがいいかなっていうところなんですけど
[33:32] メインはスマートフォンになってくるかなというふうには思っております
[33:39] 技術スタックですね
