[00:02] 完全に売れる感じで
[08:17] 一体システムですね
[08:19] 先ほど出していただいたものを
[08:21] ドキュメントで整理していくと
[08:23] デジタル複読本を作ります
[08:27] 今回出させていただきたいと思います
[08:29] 大体56ページくらいのものを
[08:31] 先ほどの教材くらいに
[08:36] 検索バーでわからない言葉があったら
[08:39] 画面変えずにそこで検索できると
[08:43] あとは動画だったりとか画像を入れて
[08:47] より見やすく
[08:48] 紙だと拡大するときに
[08:51] デジタルで
[08:52] それのものに入れていきましょう
[08:55] 形ですね やっぱり結構大きいかなと思っていって
[08:58] 文章ってわからない言葉があると
[09:01] 途端にその文章の意味を理解しにくくなっちゃって
[09:04] その用語・単語をその場で意味を理解しにくい
[09:07] そんな仕組みみたいなポップアップがわからないと
[09:09] クリックしたらいいみたいなものが
[09:12] かなっていうことですし
[09:14] あとは関連ページ参照
[09:15] ちょっとWikipediaとかに近いし
[09:19] 教科書っていうウェブサイトに入って
[09:21] このページからこのページでジャンプするって
[09:25] P何ページ参照とか
[09:28] 私もなんか小学生や学生時代の何ページか探している間に
[09:32] 集中力消えちゃったとか結構あったような
[09:34] 運営なんですけど
[09:35] まあそういうのもページ1000にできたらいいかな
[09:37] また昨今の評価書は結構キャラクターとか出てきて
[09:40] 可愛いやつとかもあります
[09:42] まあそういう要素が取り入れられたらいいんじゃないかな
[09:44] あとはつげやすいとどうかの予報で
[09:46] フルワース
[09:47] あとはVR自然学習みたいなの
[09:49] ときもと言うと
[09:50] まあよく県いただいていた通り
[09:52] 写真撮影したものに対して
[09:56] ドラフィークアウトドロークで
[09:58] そういう動きながらですね
[10:00] 生き物をクリックして見つけて、これいろんなパターンがあると思うんですけど、これ在来種、在来種、みたいなことが多いかなというのと、クエストのところ、先ほどのクイズのやつですね、アバターがレベルアップしていくだったりとか、また他の生徒とか他の学校とか他のクラスとかの競争みたいな、予想いでいることでいて楽しく学習できるんじゃないかなという風なところですね。
[10:25] あとはこのスタンプラリーのやつが、イメージで言ったらポケモンGOみたいな感じで、写真を撮って、アプリラインとか進捗がどんどん進んでいくことができたらいいかなという感じですね。
[10:38] あとはクラスアルファの要素で言うと、この辺のコンテンツに対して、どこまで技術を盛り込みますか、みたいなところは要素なので、MVPの中で必要なのか必要じゃないのかとか、精度出せないのか出せないのかというところを、
[10:55] 検証していければなと思うんですけども、イメージで言ったら、現在の時点で洗い出せているのは、例えばこの辺のスタンプラリーとか、写真撮影したものをAIで自動判定して、この生物が何だったところでしたか、
[11:39] イメージじゃないですね
[11:41] GIGA端末が今配られているというようなことだと思いますので、ちょっとこれ私が調べてみた感じですと
[11:49] 自治体都道府県ごとのGIGAスクール端末の端末の機種が結構違うというようなことができておりまして
[11:59] 結構スペックがどうも違うらしいのですね、自治体によって
[12:03] いいところだとiPadが配られていたり、そうじゃないところだとスペックが悪いパソコンスになるとなかなか重い作業ができないからです
[12:13] あるらしくとか、その辺は現場の声だという状況をお伺いしながら
[12:21] 十分その端末で揺られているところを使わないといけないのかなと思います
[12:27] それこそこのマインクラフト系のやつみたいなブロックスというのは
[12:31] ちょっとこう、ゲームとコラボレーションして教材作りみたいなやつと
[12:35] ちょっとコンピューターのスペックが悪いと固まっちゃいとか
[12:39] その辺はちょっと気はつけなければなと思いますけど
[12:43] ここには生徒の機会がリスカンパスでブラウザを開いて
[12:47] 今回はこれ、こちらのみんなの環境デジタル版というやつを
[12:51] 3本作らせていただいていますけども
[12:53] そういった形の教材にアクセスしています
[12:55] ここもちょっと流れ変わったりというのが
[12:59] 今日だったかなと思うんですけども
[13:01] 定格を読んで知識をやった上で体験学習をしていくという手がある感じですね
[13:05] これが体験学習しながら知識を読むことができたらいいと思います
[13:09] この辺がクエスシートとかスタンプラーとか
[13:15] このタイプレイを通ってやるっていうのがあるんですよね
[13:19] それを実際に現場で学習を受験いただいて授業に入れていけたりとか
[13:25] うちにリードのネットが
[13:27] これMVT、POCというのが活性検証の中ですので
[13:31] 見つかってもらって良かったというのがあるじゃなくて
[13:34] ちゃんと意見をいただいてですね
[13:36] どうしていきたい、どう修正したいというのがあるんですけど
[13:40] そしてその辺は1人もあります
[13:42] これシステム構成なんですけど
[13:46] これは現場の要件とか色々あると思うので
[13:50] その辺をお聞きしながら柔軟に変えるべきかなと思っているんですけど
[13:54] 一旦この辺の技術を使うとできそうですよみたいなところですね
[13:58] ちょっとその内容専門的にもあまり持ってみる必要は
[14:04] 生じないかなとは思っているんですけど
[14:08] 基本的なプラットフォームは
[14:10] ブラウザベースでのアプリケーションにしています
[14:12] ストアとかに掲載すると無駄に手数料とかでたりとか
[14:16] アプリでお金払うといいじゃないかと思って
[14:18] それはいいかなという気がしますね
[14:22] 対応デバイスはPC、スマートフォン、タブレット
[14:25] この辺に対応しておけばいいかなと思っています
[14:28] スマートフォンに関しては使うかどうかみたいな
[14:31] もしかしたら先生にスマートフォンを配っている学校とかもあるというのも気にさせて
[14:35] もしかしたらそういうところでスマートフォンを必要な場合は
[14:38] スマートフォンなどかなと
[14:40] 生徒にスマートフォンを配るということはないと思うので
[14:42] 生徒側はスマートフォン側にもしかしたらいらないのかなと思う
[14:46] ここが必要に応じてこの3つ配用できるというのが前提と
[14:52] あとはですね、フロントエンド
[14:56] これ画面を作りきています
[14:58] プログラミング言語の構えではあるんですけれども
[15:01] イメージで言ったらうちはですね
[15:03] AI工房開発というのが
[15:05] AI活用しながらシステムを作ることになっています
[15:08] 今回もオフトアップの話をいただいています
[15:11] 公職で開発を行うことができます
[15:14] それに適した言語で作っていきます
[15:18] バックエンドサーバーに関しては1年目はMVPなので
[15:22] 全国で展開するとなったらかなりセキュリティ的にもそうですし
[15:27] 利用負荷も上がるんですね
[15:29] かなり堅牢な行政系のシステムに使われています
[15:34] そういう意味で見えないですね
[15:36] そのままセンスを使ってしまうと
[15:38] 今すぐに言えますね
[15:40] MVPの2社3社、2校3校ぐらいですから
[15:43] そういったところは必要ないかなと
[15:46] 無駄にコストがかかってきてしまうので
[15:48] あくまでもそこはしっかりとセキュリティ担保しています
[15:51] セキュリティ担保すると
[15:52] 極力、過剰検証の段階で個人情報も持たないという感じですけど
[15:56] データベースの方もシステム的にしてなってきます
[16:08] そこもMVGの段階と本番も毎回でうまく
[16:12] 両手に分かれていってしまっているなと思います
[16:15] インフラですね
[16:17] これちょっと色々な規定的に使えるかどうかという風なところ
[16:21] ご相談させていただきながらではあるんですけれども
[16:24] バーセルっていうアメリカの企業が提供している
[16:28] サーバーのシステムを使うと
[16:31] ランニングコストは安くなりますよ
[16:33] 結構そういう人多いと思います
[16:35] 有名なところだとマイクロソフトのAzureとか
[16:38] AmazonのAWSとか
[16:40] あの辺が有名なところではあるんですけど
[16:42] 導入実績多いのはそういう系のサーバーかなと思って
[16:45] なるべくコスト安くってなってくると
[16:50] 50%合わせるっていうのはかなりお勧めであります
[16:53] 他のニーズだったりとか条件に
[16:56] 最適なもので開発させていただくことが可能です
[16:59] これまでの提案というか
[17:02] セキュリティ面ですね
[17:06] 基本的なセキュリティは当たり前の演出で守ります
[17:09] 通信の防火みたいなところでしたりとか
[17:13] またセキュリティ守るもそうなんですけども
[17:15] そもそも個人情報を少なくとも
[17:17] 仮説検証の中では持たない設計がいいかなという風に思っています
[17:22] 学習利益とかある程度情報を持たなきゃいけない部分は
[17:25] なるべくローカル側
[17:28] 生徒のコンピューターというか
[17:30] 側に持つようにしたいなというところでございますね
[17:33] やっぱり行政絡んでやるってなってくると
[17:36] この辺かなり気を使わなきゃいけないことがあると思って
[17:38] そこはそもそも持たないという方向性で
[17:42] リスクヘッジできたら一番いいのかなという気が入っています
[17:47] あとはこれ仮説検証でやっていくことになって
[17:50] ちょっと外部にも出ちゃったらあまり良くないと思って
[17:54] しっかりコンピューター公開
[17:57] その学校のネットワークでしか見れませんとか
[18:00] その学校の生徒さんにしかパスワードを配布しませんとか
[18:04] そういうことになっています
[18:06] インバウンドの
[18:08] インバウンドの
[18:09] スケジュール感みたいなところですよね
[18:11] 要件定義先ほどみたいなものですね
[18:14] 作ってきてお打ち合わせでお取り検討してみたいなところを繰り返して
[18:18] だいたい1ヶ月ぐらいをやらせていただけると
[18:21] いいのできているかなというところです
[18:24] 設計ですね
[18:27] 画面のデザインどうするかとか
[18:29] あとはシステム構成どうするかみたいなところに
[18:32] 1ヶ月ぐらいを見るかいただければなと思って
[18:35] 開発に関しましては
[18:37] 多めに積もって3ヶ月から4ヶ月ぐらいで可能かなと
[18:43] ちょっとこれ教材をどのくらい作るか
[18:47] 教科書を何発文作るかみたいなところになって
[18:50] 若干変わってくるので
[18:52] この辺は要相談とかになっていますけど
[18:55] 対面としては3、4ヶ月ぐらいで収められたらいいんじゃないかなと
[19:00] 思っております
[19:02] だいたい1年後とか1年半くらいかけて
[19:06] 現場運用しながら
[19:08] 色々と意見を取られて改善みたいなことをしていければな
[19:12] 新税の
[19:14] こちらは前回の話に行かれた内容の通り動いていけたらな
[19:20] というところですね
[19:22] この以上は
[19:24] お見積もりみたいなところといっていますけど
[19:26] これちょっとご支援の方法にもよるので
[19:30] ご提案でやらせていただく場合とかだと
[19:34] もう順位2契約で時間単価でどのくらい動いたか
[19:38] 変動するとやりにくい時計とかもありますので
[19:42] ここはあらかじめ予算が決めてしまうという可能性があるんですけど
[19:46] だいたいですね
[19:47] 順位2契約で時間単価1万5千円ぐらいで
[19:50] 1ヶ月ぐらいで動かせていただく感じですと
[19:54] 50万円から100万円ぐらいの間になってくるかなと
[19:58] あとはMVPの
[20:00] これも教科書どのくらい作るかコンテンツどのくらい作るかに載ってくるんですけども
[20:05] だいたい予算間隔500回分けというか
[20:10] 取っていただけると50ぐらいの新年項になるかなと
[20:15] ミニマムでいうと550円、これも500万円台という風なことをしておいていいかなと思うんですけど
[20:22] というのと、マックスでかかっても700万ぐらいの収めるように仮説検証できたらいいかなと
[20:30] まあここらへんの費用がぶれる要素としましては
[20:34] この辺ですねそもそもどのくらいのコンテンツ作りますか教科書何冊分コンテンツ化しますか
[20:40] によってそこはちょっと変わってしまいそうですよ
[20:42] とまあ vr 系のところの技術がどこまでやるかですね
[20:47] 前回の打ち合わせでストリートマップ的な感じで大丈夫ですよということであったんですけど
[20:53] そこがもうちょっとリッチが見えほしいと
[20:57] 割と手続けられるかなというところ
[21:00] あと今回話題には出てなかったんですけど
[21:03] 試験とかですね
[21:04] そういう系もAIとかテクノロジー活用してやりたいとか
[21:09] それがちょっと追加する効果で
[21:11] これを使っていくかなみたいな感じになるかなと思っています
[21:17] ランディングコストみたいなところも目安ですね
[21:19] 追加コンテンツ、教科書のデジタル、テロップコンデジタルとかクイズとか
[21:25] 1個増えるごとに大体前回のお茶様もあったことですけど
[21:28] 20万から30万くらいでコンテンツの追加自体は可能かなと思っております
[21:34] システム自体はもう作ってしまっているので
[21:36] 内容を作ってシステムに入れ込むくらいの話になりますので
[21:40] もちろん元となる内容はそちら側からご提供いただく予定ではございますが
[21:47] ちょっとしたデザインだったりとか
[21:49] クエストのイラストみたいなところとか
[21:51] ああいうのがこちら側でやらせていただいて
[21:54] 1本の自分から3本のタイプで
[21:57] 思っておいてください
[21:59] あとはこのコスティングの費用ですね
[22:01] サーバ代がかかってくるので
[22:04] これサーバー何を使うかみたいなと思うと
[22:06] いいかなと思っています
[22:08] バーセルというふうなものを使うと
[22:13] 生徒数でいうと3個とか
[22:17] 30人×6クラスとかが6学年×3のイメージなんですかね
[22:39] 今クラスって結構少ないんですかね
[22:42] 1学年何クラスぐらいができない
[22:52] 私が小学生の時点で30人でした
[22:55] クラスは6クラスありました
[22:57] 私神奈川研修しているんですけれども
[23:00] 今も変わっていないければ
[23:03] 多分30人6クラスで
[23:05] 小学校1年生から6年生まであるので
[23:08] 全学年対象にやるかどうかというのはありますけれども
[23:12] 6で×3
[23:15] そういう感じですかね
[23:16] 30×6×3
[23:17] そういう感じですかね
[23:22] 生徒数としては3000名ぐらいですかね
[23:25] 3000名が毎日使うとかになってくると
[23:29] ランニングコストとしては
[23:31] ちょっとこれ正確に見積もることは
[23:33] なかなかシステムの要件が決まっていたんじゃないか
[23:35] 難しいんですけども
[23:38] 月10万円台くらいなんじゃないかなという気はしております
[23:45] 割と作り方次第では10万円切った運用も可能かなという気がしますね
[23:51] 保守運用代金とかというのはシンプルなサーバ代ですね
[23:55] イメージで言ったら電気代とかそういったものに近いような
[24:05] サーバーを代わりに運用してくれる会社さんがあるので
[24:09] そこに払っていくような感じがします
[24:12] イメージでAWSとかAzureとかにかかっているのかな
[24:16] 今どちらかというとアンティングカットフォームの方が聞きやすいと思います
[24:21] アンティングカットフォームは発注なんかレビューです
[24:26] はい、一応以上がご提案の内容になります
[24:32] 深掘りしたい分でしたか、ちょっとイメージと違うなみたいなところがあれば
[24:37] こちらが適宜修正してお出しさせていただくかと思いますので
[24:40] 何かあれをしていただければと思いますけれども、いかがでしたでしょうか
[24:45] まだあんまりできたような、感覚的には
[24:49] さらにの感覚というか
[24:53] 野野さんは相当早いというか
[24:57] 野野さんと1レベルで今やっている人間は
[25:04] 3本の時にないですか
[25:06] はい、おっしゃる通りです
[25:08] 仮設検証段階ではそこの小学校3校、4校、3校の使われている機種でいいかなと思うんですけど
[25:17] これ県内全域とか全国展開となってくると
[25:21] ちょっととか要検討な気がしますね
[25:24] 一番ステックが低いところに合わせるのか
[25:28] ちょっとそこはうまいこと
[25:30] ステック低い学校の学校に関しては
[25:33] ちょっとこの教材できないけれども
[25:35] ここはできますよって感じでやるのか
[25:38] っていうのはスタンスを多分決める必要がある
[25:43] 少なくとも仮説検証の段階では
[25:50] この機種だったら全然、わりとなぜもできそうですよなのか
[25:53] この機種だったら、ちょっとこういうことはできないんですよ、気をつけてやってやりましょうね
[25:56] というところはお話できるかなと思います
[26:05] まさにそのものがあります
[26:10] そうですね、多分すごいと思います
[26:14] それはやっぱりね
[26:16] 承知いたしました
[26:19] ちょっと専門的なところにはなってしまうんですけれども
[26:23] 基本的な情報としていただきたいのは
[26:27] 後ほどテキストでも読んでおくらせていただこうと思うんですけれども
[26:31] コンピューターの趣味はそうなんですけれども
[26:33] メモリスというやつですね
[26:37] 特に言うRAMっていうやつなんですけど
[26:40] コンピューターが同時にいくつかその人に
[26:42] 4万人やりないんですけど
[26:43] ストレージ数
[26:44] ストレージはもう単純にSDカードで増設できるやつとか
[26:47] お前のあったりやつで
[26:50] 増設できるやつだと思って
[26:51] データバスをやろうと思うんですけど
[26:55] 今インボードも
[26:56] 一緒にいっぱいですね
[26:57] あとはバッテリー系のところとかも
[27:00] 外でクエストとかあったりするので
[27:02] その辺も一応あったらいいかなって気がしますね
[27:06] 駆動時間みたいなところとかが
[27:08] 多分公式でスペック出してると思うので機種名さえわかるかなと
[27:13] あとありがちなのは機種はあるけど
[27:16] この機種って16GBのやつと24GBのやつと34GBのやつがありますみたいなのがあったりするので
[27:24] 機種名だけだとたまにわからないといけばあるんですけど
[27:27] 機種名プラス何GBみたいな感じで教えていただければ
[27:29] ある程度はあとはこっちからで調べると思うから
[27:34] それも専門でもあるときにされているところですね
[27:40] ですね、その辺かなと思います。システム的な要素に関わってくると思います
[27:47] HEROでもスピードでも食ってるんで、それプラスタンクは開発以外の負荷価値も提供できるんで
[28:04] 仰る通りです
[28:10] そうですね
[28:12] ランディングコストが一番安いのはバースル
[28:14] イメージでいうと
[28:23] AmazonがやっているAWSとか、外装ソフトがやっているAzureとかは、AmazonもAmazonで他にもいろんなサービス提供しているので、その辺と連携が簡単にできますよとか。
[28:34] MicrosoftがやっているAzureは、結構Microsoftで機関システムが運用されている会社が多いので、そこの機関システムと連携しやすいですよとか、そんなところがある。
[28:48] もしかしたら全国でやる場合はちょっとあまり
[28:53] マイナーではないですけど、バーセルも結構
[28:58] 割とモダンな開発環境ではデファクトスタンダードが主流にあたってきているんですけど
[29:04] でもまだまだ観光庁さんでしたりとか、大企業さんとなじみのないさんですからね
[29:11] やっぱり観光庁さん大企業さんはだいたいマイクロソフトとかアシューとかアマソンとかAWSかなというイメージがあるし
[29:19] そこに合わせていくのが本番では県内連益なのか全国なのかの大規模展開というときにそっちに合わせたらいいかなとは
[29:27] そこはね
[29:29] IAAにしても大変といったらいいから
[29:35] それに時間をかかるのが
[29:37] そうですね
[29:37] リソース?
[29:38] 自分でいるやつ過去に変えたんですけど
[29:41] 自分でいるやつも、それがやらない
[29:45] 自分でいるやつも、リソースがないので、どこに行ってどうするのか
[29:50] 一緒ですよね
[29:53] それありますよね
[29:55] 案件を取ってきたところで誰がいるのか
[29:59] それがある
[30:00] いいと思います
[30:02] まあだから手数を抜いていただいているうちについては
[30:06] 話をもらってもいいですし
[30:09] このアカウントの持ち主が誰かっていうのが
[30:11] 学校内でしかわからないようにしておくのがいいかもしれません
[30:16] 私は建設系のお客さんとかお一回出たりしますか?
[30:20] 他の全然同乗種でもあるといいます
[30:37] 毎日使えますよねこうやって
[30:40] 全員か
[30:54] この場合は、わからない差があるみたいな
[30:56] すごいっすね
[30:59] 歩いてくるようだった
[31:00] 全然
[31:03] もし、その営業の方に
[31:07] 大理系とかね
[31:09] 交差速度を見ると
[31:12] もし、天守系があれば
[31:13] 一回紹介を見ていきます
[31:15] 一緒にやっていただいて
[31:17] もう何でも
[31:26] そしたらちょっとその学年絞る絞らないとか
[31:30] 一クラス何クラスだとか
[31:33] そもそも一学年何クラスだとか
[31:36] またその授業何で使うかとか
[31:39] その授業が週何回あるのかとか
[31:41] その辺の情報をいただけると
[31:44] ある程度ですね
[31:46] 実際にシステムをどこまで作るかとか
[31:48] やっぱり結局これってサーバー利用量は重量課金なので
[31:53] どのくらい重い処理をどのくらいやったかというのが決まってくるので
[31:58] 本当に概算にはなってしまうんですけども
[32:01] その辺を伝えていただければ
[32:03] ある程度何したいかみたいなところとかを把握させていただいています
[32:07] そこのある程度何したいかというのを
[32:09] どのくらいの頻度で何にやるかというのがあるかと思って
[32:13] そこはこのくらいになるんじゃないですかねみたいなのはまた
[32:16] 空戦の出会いとか空戦の左引き
[32:21] そのままのことを
[32:23] 人と狙って新しいものを呼ばれるとか
[32:26] 突然相手が生きて
[32:27] ランニングコストなので別にそこは
[32:37] 前もってランニングコスト確定させたいですってなっちゃうと
[32:43] これは利用頻度と利用数が分からないと分かりません
[32:47] となってしまう
[32:50] 弊社からのお見積もりというよりはシンプルでかかってしまう
[32:55] 仕様ですよ
[32:57] サーバーがいいですから
[32:58] いかに
[33:02] 受けやすい?
[33:03] 絶対に受けやした
[33:05] 言葉で受けやしたいとか
[33:08] 僕も
[33:10] そうですね
[33:11] それと言っていたら
[33:13] それだとカードオフィスもオープンにして
[33:16] 陰性の大事でも来てもらえるようなものをしたいなというのはあるので、陰性の大事だ。
[33:23] 大丈夫だ。
[33:23] いや、あれば、経験の大事になるっていう。
[33:28] そうだ、そうだ。
[33:31] いや、寝てないじゃん。
[33:32] いや、すいません。
[33:35] じゃあ、入り口が高い人をこうと。
[33:38] はははは。
[33:40] じゃあ、ちなどしたいな。
[34:10] ありがとうございました
[34:14] お疲れ様です
[34:30] 本当にざっくりですけど、後ほどちゃんと計算して出そうと思うんですけど
[34:35] そこはちょっとあれですね シミュレーションシートみたいなの出させていただくのがいいんじゃないかなと思うので
[34:43] はい
[34:50] 承知いたしました
[34:52] Excelとかの形式で作ってお渡しさせていただくので
[34:55] ご自身で生徒数とか学校数とか変えていただいてシミュレーションできるようなのがいいかなと思うんですけど
[35:02] そんな感じのものを私したら便利そうですかね
[35:07] あ、ちょっとそういったものを使わせていただきます
[35:20] ぜひよろしくお願いいたします
[35:25] はい、Google Meetの画面の下にボタンがいくつか並んでいると思うんですけれども
[35:32] 左から3番目の上矢印の四角形のアイコンで
[35:36] 共有可能です
[35:50] はい、写っております
[35:51] 今ファイルフォルダーがあります
[36:05] 画面共有するときに
[36:08] タブとウィンドウと画面全体みたいなのが選べると思うので
[36:13] 映ってるそしてドアップになってますね
[36:23] あ、映ります。はい
[36:33] はい
[37:12] はい
[37:55] うんうんうん
[38:41] はい
[39:10] はい
[39:55] ご視聴ありがとうございました
[40:01] はい
[41:03] はい
[41:40] そっち行かします。
[42:11] ふんふんふん
[42:17] 失礼いたしました
[43:02] 完成版がどの範囲で提供するかによるんじゃないかなと思っていて
[43:10] よく授業が、ここに今取り扱っているのは理科とか社会とかその辺ですかね。
[43:21] あと学科技とかって今もあるんですかね。とかその辺だと思うんですけど、
[43:25] その辺の守備範囲でかつ福岡県内の学校だけですよとかってなると、
[43:31] まあできなくもないんじゃないかなって気もするんですけど、
[43:35] それが学校で扱っている全ての授業をデジタル化しましょう
[43:44] 全国でやってくるとさすがに時間は必要かな
[43:52] コンテンツも理科社会でやっているところ全部だとか
[43:57] それとも一学期分なのかとか
[44:01] ここのトピーという感じで結構変わってきちゃうかなと思います
[45:00] あてあればいけると思いますよ、2年で。
[45:03] 1年目仮説検証で、2年目、修正しながら本番作っていくみたいな、全然いけると思います。
[45:39] あ
[45:58] 私はゲームは作らないんですけどもある程度その辺は
[46:02] シナリオライターという
[46:04] 今回のプロジェクトだと
[46:07] なくてもアイデアをいただきながら
[46:11] ウチュアシステムを形にしますことはできるとは思うんですけど
[46:14] 結構私もこれ懸念していたのが
[46:16] 作ることよりも企画することの方が時間がかかる気がしていて
[46:20] そこを確かに予算を作っていただいて
[46:23] シナリオライターをアサインするとか
[46:27] みたいな風にしちゃうと
[46:29] スケジュール的には結構負けるんじゃないかな
[46:30] って気がしますね
[46:50] ちょっとうちゲームは作ってないので
[46:53] 実例はないんですけれども
[46:55] 基本的に特別なポジションの人間が必要になった場合は
[46:59] クラウドソーシング系でしたりとか
[47:01] あとはうちも横のつながりがかなりあるので
[47:04] そこから業務委託で人材を引っ張ってくる感じになります
[47:08] シナリオライターとゲームプランナーは
[47:12] ゲーム業界とシステム化の活用がかなり近くて
[47:16] ゲーム業界出身の人間とかもかなりいたりするので
[47:20] その辺は全然連れてこれるなと思っているところではあります
[47:26] その分人件費は達成しちゃうかなというところですかね
[47:31] 確かに行った方がスムーズに行くと思います
[47:35] スケジュール的にも進捗スムーズになりますし
[47:39] いいものもできるんじゃないかなと思います
[47:54] はい
[48:41] 承知いたしました。あとはゲームプランナーは業務委託なので、スポットで稼働させられるので、ずっといるわけじゃないと思うんですね。
[48:50] そのゲームプランナー、シナリオなど、企画の段階で必要ですよね。
