# 営業定例MTG 2026-07-31 逐語（mlx-whisper large-v3-mlx・自前生成）
# 前半 00:00〜23:55 = ステータス確認（議事録の対象）／23:55〜 = インサイドセールス以降・naru手動対応済み

[00:00] 決めちゃっていいと思ったんだけど 契約締結する
[00:02] 契約締結したらもう始まりますね
[02:59] 渡辺エージェントが入れてくんないんですか?
[03:02] え、普通に、え、何なのよ
[03:03] 入れてくるっていうのは
[03:05] 多分僕がやり始めてるやつは結構入ってるはずです
[03:08] 最近のやつは全部入ってるはずです
[03:10] あ、じゃあそれ入ってないってことだ
[03:11] これ5月末なんでだいぶ昔っすね
[03:15] え、じゃあこれは
[03:16] 柴田さん?
[03:17] 柴ちゃんはリマインドでいいですか?
[03:19] そうですね
[03:20] 柴ちゃんインスタ見つけたよ
[03:23] いいんすよそれ
[03:24] ほらですね
[03:26] 柴ちゃんの…
[03:27] 柴ちゃんの…
[03:28] かわいいぞ
[03:29] かわいくねえわ
[03:30] 楽しみにしてますね
[03:30] え、まあじゃあ
[03:31] 多分ノフトですねこれは
[03:33] 不採用撤退ですね
[03:35] あ〜まあインサイトにもなさそうだな
[03:37] はい
[03:38] 株式会社ブレイス
[03:39] これもなんか一回日帳長い間送ってましたよね
[03:44] 知らしてたらいいです
[03:45] ここに日帳返信なし
[03:47] OKです、じゃあ担当もふるさんから外しますね
[03:51] これ日帳返信なしをしてたらスクってことでOK
[03:55] いいですかみんな
[03:58] それをちょっと僕がリマインドするようにするんで
[04:01] あ〜わかる
[04:01] 今の日帳返信で
[04:03] それ今作っちゃったよ
[04:05] これ僕作りたいのかなって
[04:07] 俺が作っちゃうでしょ
[04:09] どうやって作るの?
[04:10] で、バトルして
[04:12] バトル?
[04:13] で、言葉入れればできる
[04:15] あれ作ってる?
[04:16] はい
[04:18] 日帳停滞中っていうやつありますよ
[04:20] あ、あ、それだ
[04:22] あ、ゆいかゆい
[04:23] お〜ありました
[04:27] プレイスも大幡さん、あ、大幡さんを知ってるか
[04:31] プレイスも日帳停滞中になるってことですね
[04:35] はい
[04:36] MORE OVER
[04:40] じゃあこれも停滞中ですかね
[04:44] MORE OVER?
[04:46] そうだね
[04:46] トイレのとこに閉じ込められてたよ
[04:48] 謎のプリスミス
[04:49] 猫たちが
[04:50] MORE OVER
[04:51] オーサーワークスって今ミーティングに入ってごっちゃりになるじゃん
[04:55] オーサーは?
[04:58] プリさん、オーサーワークスはどうなってますか?
[05:01] 知らない
[05:01] じゃあこれも停滞中ですかね
[05:04] 日帳停滞もらいますよ
[05:09] で、えーと有限会社エイム
[05:13] これも日帳停滞中ですかね
[05:15] そうか
[05:21] なんか、あー多分そうだな、何回か送ってるけど返事がなさそう
[05:26] はい
[05:27] エイムも日帳停滞中ですね
[05:30] えーとこのしんかい100おとさんは日帳停滞中ですかね
[05:38] これもなんか1回送ってるの見た気がしますね僕
[05:42] あー停滞中で
[05:43] はい
[05:44] ついに送信部ラザー部から週1年目のツールが超うるさい
[05:48] 店舗流通ネットは今日お昼フルさんとミーティングしてコンバージョンしそうな感じでした
[05:54] あ、日帳停滞のシンパスは返せないの?
[05:58] 返せるのかなと思って一旦触ってない
[06:00] 変わらなかったら最悪僕がやっぱり
[06:03] シンパスは都合で返しておきます
[06:05] 別に全部やらないといけないじゃないですか
[06:08] 1回やってみましょう
[06:11] で、えーと店舗流通ネットはそんな感じで提案書作成して次が来週ですね
[06:20] 後で話すか
[06:21] それJ.Araiさんの中いるんですか?いるわ次だ
[06:23] で、えーとJ.Araiさんは
[06:25] ご飯で調和れています
[06:27] 渡辺さんで僕の日程はどうですか?
[06:28] 渡辺さんでは渡辺さんが返答してくれると僕は信じています
[06:31] なんかここでなんか実演したいって言ってんだよね
[06:36] ご飯じゃないの?
[06:37] ご飯、そこでそこでご飯したいみたいな
[06:39] 実演&ご飯がステータス
[06:43] ステータスとしてはコンバージョン
[06:47] いやわかんないけど
[06:49] じゃあラブボタン仕返してますか?
[06:53] ここでいいんじゃない?
[06:55] えーだってコムン、コムンのネットのおかげでないんだから
[06:57] 店舗流通ネットはフルさん送ってますからね
[06:59] あ、わかった
[07:01] じゃあ提案中ですかね?
[07:02] 提案中、そうだね
[07:04] 提案中でいいか6日でいい?
[07:06] 単価で話し合わなかったらうちじゃない可能性もありそうだから
[07:08] ありがとう
[07:09] いやでもね、その時に言われてるから
[07:11] じゃあ次回8月6日で大丈夫ですか?
[07:13] いや渡辺さん電話したんですか?
[07:15] 電話が来た
[07:16] え、出れました?
[07:19] え、え、え、え、出れちゃう出れちゃう
[07:21] え、どういう落とし所になったんですか?
[07:23] 実演したい
[07:24] え、じゃなくて単価の話でいい?
[07:25] いや単価は先生これあのうちの定価で出してしまったんですけれども
[07:29] なんか順番に手をしますぞって
[07:31] ああ、はい
[07:32] どうした?
[07:33] ねぎられちゃったんですよ
[07:34] ねぎられちゃったんじゃない?
[07:36] まあじゃあいい感じっていうことで
[07:38] じゃあ提案中ですねこれも
[07:42] はい
[07:42] はい
[07:44] あ、やってもらった
[07:45] 制度するタイナイン、タイナインしたんすよね
[07:46] え、今
[07:46] AIにやらせるんじゃないんですか?
[07:48] タイナイン
[07:49] はい、T2ハウス、T2
[07:51] あ、なんかそれ
[07:52] これはあれですね
[07:53] あ、俺が出ると思いきや渡辺さんに譲ったやつ
[07:56] なんだってこれ
[07:57] え、いやこれ多分もう
[07:59] 僕が出てた気が
[08:00] ああ、あれですね
[08:01] AIでどういったことを具体的に何にいけるかは分かってないけど
[08:05] なんか提案したらそういうのやりたいですみたいなの出てきた
[08:08] あ、こうした
[08:08] あ、不動産やろさ
[08:10] ですね
[08:11] 8月5日やった気がします
[08:13] あ、次の日にメカワクセントやってる
[08:15] いつやったっけな
[08:15] あ、じゃあ結構さっきの
[08:17] チェックとってもらってくれました
[08:19] 不動産向けのDXメルピーとかAIコンサルメルピー
[08:23] めっちゃ多いよね
[08:24] 不動産最近多いですねご飯と
[08:26] 大体同じだし
[08:27] あ、8月5日であってました
[08:29] 次8月5日
[08:29] 8月5日ですね
[08:30] 2提案だね
[08:31] はい、一応
[08:32] 不動産の医療体って問題
[08:33] 更新されてました
[08:34] 来年されてるのって
[08:35] 多分全部システムで回るんだろうなって気がする
[08:37] で、えっと
[08:37] 安藤さんね
[08:39] 次こいのぼり
[08:41] こいのぼり
[08:42] こいのぼり何だっけ
[08:44] あれですね
[08:45] 前僕と鈴木さんで
[08:48] 2人で出て
[08:49] で、えっと
[08:51] 今なんか税理士の人と
[08:54] 融資してもらったお金で
[08:56] どういうことやっていくかみたいなことを相談中らしいです
[08:58] いや、中で
[09:00] はい
[09:01] またリマインドしようと思います
[09:04] はい、で、なむ
[09:05] あみだ
[09:06] あみだじ
[09:10] あ、えっと
[09:12] 提案中?
[09:13] 提案してないよ、今
[09:14] あ、そっかそっか
[09:17] これからだから
[09:18] これから
[09:19] 提案書作成中
[09:21] より提案を
[09:23] 再提案中みたいな状態
[09:25] あれはネクストアクセスでメールするってことかな
[09:27] あ、で、今文章作ってて
[09:34] 今じゃ送ります
[09:37] 今じゃ送ります
[09:38] まあ、提案書作成中で
[09:40] そうだねそうだね
[09:41] はい
[09:42] えー、YGグループはあれですね
[09:47] たまの中にあれ無造作に散らばってるでしょ
[09:49] これ
[09:51] YGグループは
[09:52] なんか湿ってる
[09:54] 僕の提案中やつ
[09:56] YGグループこれやらんだって
[09:58] 提案中ですねこれ
[09:59] え、何?
[10:00] ラーメンのとこですね
[10:01] やりたいんですけど使うんだけど
[10:02] 市民性が悪いかもしれない
[10:04] 変えます
[10:05] ごめん
[10:07] じゃあ提案書作成中
[10:12] YGグループ提案中です
[10:14] LINEでやり取りするようになったのと
[10:21] その時同席してたアパレルの人と
[10:24] 今度ミーティングすると思います
[10:26] LINEに移行した?
[10:30] そうでアパレルOEMの人は
[10:32] またメールしますみたいな感じでした
[10:38] 提案中ですね
[10:39] 提案中で向こうの返事待ち
[10:42] そうですね
[10:45] ちょっと補助金のこととかまた考えて
[10:48] 言い回すみたいな感じでした
[10:51] ギブソンはこれも提案中ですね
[10:57] 本国連絡取ってる途中
[11:00] 8月末までには返事するみたいな話やったんで
[11:03] またリマインドします
[11:06] マベルは補助金の話やったんですけど
[11:11] 反応がなかったので
[11:15] 次のデジタル化AI導入補助金のリマインド対象になってます
[11:21] 陽子は前電話して
[11:26] なんか上司から押し付けられてることを今やってるんで
[11:29] それのなんかヒアリングをしつつ
[11:32] ちょっと定期的に連絡取っていこうかなっていう感じです
[11:34] 最近ミーティング全然出てないんですけど
[11:37] 新しく話していってた時に
[11:38] AI導入補助金進めてないですか?
[11:41] 今言ってるのとかそうです
[11:43] T2とか?
[11:43] なんか編み出しとか?
[11:45] 編み出しは僕分かんない
[11:46] 編み出しリンさん補助金
[11:49] いつまでに補助金コンサルコンバージョンさせないといけないかって
[11:52] 皆さん理解してますか?
[11:55] 8月11日ですか?
[11:57] 鈴木さんどうですか?
[12:00] そうだそうです
[12:01] そうなんすね
[12:04] 結構焦らないといけない
[12:06] なんか8月11日って昨日書いてませんでした?
[12:09] 間に合わない早くやってくんないと
[12:12] 間に合わないですよ
[12:14] 次の締め切りは8月25日です
[12:17] 最低でも1週間から2週間前には支援開始しないと厳しいです
[12:23] ウィザーではもうちょっと聞かないと
[12:25] 13巻とかが
[12:26] 1ヶ月に1回募集されてるので
[12:31] 今回間に合わない場合は来月もできますみたいな
[12:35] YGグループもショッピファイだけやる可能性あるんで
[12:38] 先に言ってください
[12:39] 確認してください
[12:42] はい、育成アシスト?
[12:44] 育成アシスト…
[12:45] 検討中なんですか?
[12:47] 育成アシストでもう1回リマインドするわ
[12:49] はい
[12:51] いくわ支援!
[12:53] まりなたんはどうなりました?
[12:54] まりなたんね、使えなくて補助金なくてね
[12:57] なるほど
[12:57] 困ってるの?
[12:58] まりなたんも使えないよ
[13:00] じゃあ検討中ですか?
[13:02] 創業系補助金ものぎなみ死んでるんで
[13:05] 創業…東京都の支援助成金みたいなのも開発使えなくて
[13:10] うぇーい
[13:12] はい、じゃあ福岡県も検討中ですよ?
[13:15] はいはい
[13:15] 福岡県だなとなんかの?
[13:17] 来ないです連絡
[13:18] YouTubeの概要、規約送ってから
[13:21] それ送ったらまた考えるみたいなことだったんですけど
[13:24] 一旦返事ないんで、ちょっとリマインドです
[13:26] 中小はある程度向こうの判断は一番かかりそうなやつなんでしょうか?
[13:30] なんか結構上から上からって
[13:34] なんかお金は下りそうみたいなことは言ってくれてて
[13:37] 下りたとしても来年の予算でしょ?
[13:38] はい、だから結局だいぶ先ですけど
[13:40] 一応最近どうですかとは思います
[13:43] だからいっぺんタッチでね、連絡込んだりとかは?
[13:45] 送られちゃうから
[13:47] で、このAEDも前に補助金のリマインドしたんですけど
[13:52] またリマインドしようと思ってます
[13:56] で、ハートもAI研修の文脈で
[14:01] パイロットを試験導入してるみたいなんですけど
[14:06] 最近どうですかってちょっと送ってみると思います
[14:08] 補助金の締め切りを後日にリマインドするのが俺はいい
[14:13] 一応その予定です
[14:15] 本当に?
[14:18] で、遠峯貿易もみんな頑張ってください
[14:23] これやってよこれ
[14:26] 酸っぱい匂いがする、すごい
[14:28] はぁ
[14:30] はい、遠峯貿易もリマインドなので
[14:33] AIのAEDに補助金リマインドしておきます
[14:35] で、キモノバも一緒です
[14:37] キモノバマジやりたい
[14:38] やりたいですね、連絡なかったんで
[14:40] あれ、この件もさ、この件だってわかる今回の動画か?
[14:45] いや、もう
[14:49] 足置きだ、足置き
[14:50] 浮いたらウェットティッシュが緑色になったわ
[14:53] これはAIでお日本食の対象ですみたいな感じで
[14:56] クライアントの項目はない?
[14:58] なさそうですね、今見てたんですけど
[15:00] ちょっと作らない?それ
[15:03] はい、いいですよね
[15:05] 先方検討中以降からAI導入補助金の項目作ろうか
[15:13] AIとモノづくり補助金案内できるかもみたいなのも作りたい
[15:19] ちょっと別の話になっちゃって、さっき鈴木さんと話してて
[15:23] 国内総研がどういう補助金の案内の仕方してるかって言ったの見たんですけども
[15:28] 新規事業の生活とかビジネスライターを考えますとか
[15:32] 補助金も全てリマインドするみたいな感じで
[15:36] バックをそこにパケージをついて
[15:37] 普通にじゃあ追加するだけだと
[15:39] それで選択するんですよ
[15:41] それでもいくらつくかなんかしないですよね
[15:43] それだければそこに進化ついてくる
[15:46] 補助金リマインド系の人たちは補助金リマインドみたいなステータスでいいですか?
[15:53] 補助金いくつか、なんかフラグ立てとくって感じじゃないですか、この人たちは?
[15:57] 補助金をもうすでに進めるんですよ、これが。
[15:58] 進めてるクライアントと補助金を検討中のクライアントと補助金を提案した方がいいクライアント
[16:05] 申請中、リマインド、新規連絡みたいな
[16:09] これが検討中の中でいうと
[16:16] 補助金をすでに進め、提案しているクライアントはどれみたいな話なんだが
[16:21] やったら履行のところに補助金の人たちは補助金って入れるようにしますか?
[16:25] そう、履行なのか専用の欄なのかがいいかも。
[16:29] 補助金○×で
[16:30] そうね、それチェックボックスで言うことができました。
[16:33] はい。
[16:47] !
[16:48] それミシーじゃないですよ。
[16:49] え、そうなんだよ。
[16:50] なんかもう新しい人たち入ってないです。
[16:53] あ、これ?
[16:54] はい。
[16:54] じゃあちょっとそこ鈴木さんとコミュニケーション取ってやっておきましょうか。
[16:58] 補助金サイドは新しい商談が案内できるかできないか知らないんで、
[17:02] それは現場の人間が判断してくれないと。
[17:06] そういう意味だと、じゃあこのシートに入っているタイミングっていうのは補助金を使うって確定した段階で入る?
[17:14] はい。
[17:14] いや、本当は入れたいんですけど、鈴木さんはだって知らないじゃないですか。
[17:18] うん。
[17:19] その、エアテーブル売り手も、エアテーブルで納車売り手も、この人補助金だって。
[17:23] うん。
[17:24] なんで、営業の人たちが自分で入れてほしいです。
[17:28] 入れてほしいですけど、そのシートに入れる必要ないんで、
[17:31] なんか納車の側でチェックボックスやっておいてくれれば、こっちで見て勝手に通過しますよって。
[17:36] じゃあ結局チェックボックスを入れればいいってことですか。
[17:38] そうです。お店さんに言ったら、そのシートから入れれるはできない。
[17:41] その…そうです。できないです。
[17:44] あー。
[17:44] まあ、それ見て分かる範囲の人たちには追加して、これからの人はベッドで追加する。
[17:50] これからの人は最近の人は入ってない。
[17:53] はい。じゃあちょっとそこ、鈴木さんとやっておきます。
[17:56] FanMax Japan フルさんどうですか?
[17:58] 俺?俺なのこれ?
[18:01] はい。ボルタニーになってます。
[18:06] で、問い合わせ文入ってない。
[18:08] 入ってない。
[18:08] ってことは古いんじゃない?
[18:09] 古いですね。でも、検討中?検討中ですけど。
[18:14] 渡辺さんが話したんじゃないかな。
[18:16] FanMax?俺話したことないけどね。
[18:22] 一応、学園の文章をDMに送りしてるので、答えなければって言っておきます。
[18:30] え、問い合わせないの何?
[18:33] 昔に提案書送ってたんで、リマインドしてみます。あ。
[18:37] モバイルアクセサリーを製造販売しているメーカーです。
[18:40] あれですね、なんか、Larkとか、中国との連絡をどうやって取るかみたいな。
[18:45] それFanMax?
[18:46] 全然記憶にない。
[18:48] 僕、喋った記憶が。
[18:49] 一緒に出た?
[18:50] 渡辺さんやったような気も。
[18:52] そこは、FanMax?
[18:54] なんで担当者は俺?
[18:55] FanMax Japan になってますよ。
[18:57] そう。
[18:58] じゃあ、僕に変えておきますか?
[19:01] ぴちゃぴちゃい。
[19:02] じゃあ、FanMax Japan は一応リマインドする。
[19:10] YMキャリア、あれ以降連絡ないですけど、リマインドしてます。
[19:14] 次の補助金の時にもリマインドしてって言われてます。
[19:17] OK。そこで帰ってこなかったら、もういいよ。ぶっちゃけやりたくないから。
[19:21] そうですね。
[19:22] りんさん、Japan Real Estate は?
[19:25] Japan Real Estate リマインドしてたもん、何回か。
[19:31] リアルエステートは、いいよ、ドロップで。
[19:35] あるじゃん、りん。証明がちょっとあれだね。中村さんじゃなくて。
[19:39] パソナ、SATSUDORA AIX 案件、これは検討中ですか?
[19:46] SATSUDORA 今、進んでて。
[19:49] 終わりをしたんですか?
[19:51] なんか、微妙なんだよな。
[19:53] じゃあ、検討中というよりか、提案中って感じですか?
[19:55] 提案中。提案中だね、提案中。
[19:59] からみなさん、
[20:00] 提案書作成中がいいかもしれないです
[20:01] OKです
[20:03] これです
[20:04] カラミノルーズ僕は先行検討中です
[20:06] はい
[20:07] パソナは提案書作成中ですね
[20:09] はい
[20:10] で カラミノフーズは
[20:12] 先行検討中
[20:12] はい
[20:16] NTTデータCCS
[20:18] これも先行検討中
[20:21] 五稜不動鑑定
[20:23] 不動産鑑定
[20:24] これはしばらく返信ないんだな
[20:28] じゃあ検討中ですか
[20:29] リマインドって感じですか
[20:31] リマインドかな
[20:32] はい
[20:34] えっと
[20:35] 医師のテルミチ
[20:37] あ なんかこれ昔
[20:38] いけちゃんがメールしてたな
[20:40] これ誰かステータス分かったりしますか
[20:43] あ はい
[20:48] おしのております
[20:53] いけちゃんがメール送った以降
[20:55] 死んでますね 1ヶ月ぐらい
[20:56] あ そうなんですね
[20:58] インサイドセールス行ってるからな
[21:00] インサイドセールスはどういうステータスですか
[21:03] インサイドセールスはほぼ返事ないし
[21:05] 失注してるけど
[21:06] メールマガとか送る対象だよみたいな
[21:08] あーなるほど
[21:09] OKです
[21:10] で XCキャンパスは先行検討中です
[21:14] ほぼ今晩はその感じ?
[21:16] いやーなんかよくわかんないんですよ
[21:18] あいみついっぱい出してるみたいなこと言ってて
[21:21] しかも予算100万って言ってて
[21:23] 僕ら300で出してんのに
[21:24] 未だに連絡が来るんで
[21:25] なんかよくわかんないって感じ
[21:29] 何でやらなくて?
[21:30] そうですね
[21:31] で ナンバーも連絡ないっていう感じで
[21:35] ワイヤー&ワイヤレスは先行検討中なんですけど
[21:38] なんかスラックでコミュニケーション取りたいって言われて
[21:41] 検討中になってます
[21:42] 今インドしたん?
[21:43] 今インドしてます
[21:44] 何返事が起こらないの?
[21:46] そうですね
[21:47] 謎
[21:48] でもなんか10月ぐらいになるとは元々言われてるんで
[21:52] 一応10月ぐらいになっ
[21:54] 9月とか10月ぐらいに6回連絡しようかなと感じです
[21:56] 期限用?
[21:57] はい
[21:58] で あ これ検討中じゃないな
[22:01] センスインターナショナルは
[22:05] 多分コンバージョンするって感じです
[22:08] なるなる単独初コンバージョン
[22:10] やったー
[22:10] センスインターナショナルってなんだっけ?
[22:12] 元々インフルエンサーを飲食店に紹介する仕事をしてる
[22:16] なんかすごいウキウキで
[22:18] 一人で捌けるみたいな
[22:20] そんなの言ってました?
[22:21] 言ってたけど
[22:22] あー 多分単価安かったかな
[22:25] 一人でやっちゃいますよーみたいな
[22:33] そういうのやってくれるみたいなので
[22:35] 素晴らしい
[22:35] 素晴らしい
[22:35] え それフェーズ1でいくらだっけ?
[22:38] 48万です
[22:39] 48万?
[22:40] これ税抜き?
[22:41] 税込み
[22:42] あ でも税抜きですかね
[22:45] 1万2000×40時間で出してるんで
[22:47] 税抜き何だ?
[22:49] で えっと
[22:51] 来週か再来週も1回話すんですけど
[22:54] その時にフェーズ2以降を
[22:56] モノ補助で新しいのいけるんやったら
[22:58] 提案しようっていうのを
[23:00] 鈴木さんと話してます
[23:01] 話そうと思ってます
[23:03] そうなんだな
[23:03] あとは今の時点で
[23:04] 金額を結構見直してくれるっていう
[23:09] この売上?
[23:12] 売上ってとこでいいんですか?
[23:14] そうそうそう
[23:14] はい
[23:17] それで次が?
[23:18] インサイドセールスが飛ばします
[23:20] エンパクトエッパーシャルは1名か?
[23:23] エンパクトは
[23:24] これが中国の営業エージェントだよね
[23:26] はい
[23:26] だからファンマックスとかも違うのかな?
[23:28] ファンマックスは営業エージェントじゃなくて
[23:31] 中国の工場とのやりとりを
[23:33] 今なんかなんちゃらチャットみたいなアプリでやってて
[23:36] それをラークとかに乗り換えるには
[23:38] いい方法ないかみたいな
[23:40] なんかうっすら覚えてるわ
[23:42] やつなんで別ですね
[23:43] 先行検討中だねこれ
[23:46] えっとエンパクトですか?
[23:48] ファンマックス
[23:50] そうだアプリ
[23:50] OKです
[23:52] はい
[23:53] インサイドセールスは飛ばしていい?
[23:54] はい飛ばします
[23:55] でコンバージョン済み未契約
[23:59] プレスネットシンクスエージェント
[24:03] これが誰のなんですか?
[24:05] 1個ずつ言って
[24:06] プレスネットシンクスエージェント
[24:08] プレスネットが北広島なんだけど
[24:10] えそうだなあそれ分かった
[24:11] 北広島なんだけどなんで入ってんだろう
[24:14] 北広島が残ってるんでこっちは削除でいいですか?
[24:17] まあいいと思う
[24:19] えでもこれシンクスエージェント
[24:23] そういうことコンバージョン済みになったらなんかすごい
[24:25] なので
[24:26] いやわかんない
[24:27] 渡辺さんのエージェントがなんかしたみたいな
[24:29] いやいやいや
[24:29] 他に何かなかったっけこれって?
[24:48] あれはシンクスエージェント経由の平和不動産
[24:51] だから消したの
[24:52] 平和不動産
[24:53] じゃあ削除
[24:53] 平和不動産って俺なんか社長知ってる
[24:55] 平和不動産のシステム50万で作った
[24:59] まーすよ
[25:01] 渡辺さん削除してくれました
[25:03] さあOK
[25:04] でOKWEB
[25:07] これOKWEBコンバージョンではないですよね
[25:09] ステータスは
[25:10] コンバージョンもう終わってる
[25:11] 完了?完了ではないですか?納品済み?
[25:14] いやコンバージョンかな?
[25:18] OKです
[25:18] えープロジェクトなんかやってますみたいなのってあるんですか?
[25:23] 進行中?
[25:24] 進行中かな?
[25:26] はい
[25:28] で
[25:29] パク
[25:31] パクは意味わかんない
[25:33] コンバージョン
[25:34] パクって今どうなってるの?
[25:39] いやなんか意味わかんないです
[25:41] LINE見ますね
[25:45] 何なのか忙しいのか
[25:48] 急いでる風で返事すると返事来なくなったりする
[25:54] OKWEB担当者リンさんに変えておいた方がいいですか?
[25:57] いやいや営業担当は俺かな
[26:00] あのーこんな感じ
[26:03] なんか
[26:04] IT導入補助金の時にデバイスの導入がこっちにミスができなかったんですよ
[26:09] それに対してなんか弁償しろみたいなこと言ってきて
[26:12] でも弁償しますよーって返事と
[26:15] なんか早く
[26:17] えっと
[26:18] 案件一部進めるってなってました
[26:20] どうなってましたかーって言われたんで
[26:23] なんかこっちでこういう流れでいいですかーって
[26:26] 返事来てないんですけど
[26:28] 典型的なADHCの企業が
[26:30] なんなんだ
[26:31] まあ提案書とか契約書作っても送っちゃったらいいのかな
[26:35] 自分のこう
[26:37] 何度脅威と物事が
[26:40] 進行が一致しないと
[26:41] なんなんだって
[26:43] まあじゃあコンバージョンでステータスは大丈夫そうですか?
[26:48] いやその人の気分次第で全然無くなるから
[26:52] じゃあ提案中?
[26:53] 提案中かなー
[26:56] えーっと小学館はコンバージョンで大丈夫で
[26:59] あとマクロはPMどうするかっていう相談をさせて欲しかったんですけど
[27:02] 全然営業定例が行われずに
[27:05] 全然剥がせてないんで
[27:06] なんか僕もうちょっとこれ営業かけたくないなって気持ちになっちゃった
[27:10] まあそもそもクライアントが面倒くさそうだから
[27:13] そんなに積極的にやらなくていいかなって思って
[27:15] なっちゃって
[27:15] なんかそのこういう厄介な人をさばけると
[27:18] PMがいるんだったら積極的に取りに行きたいですけど
[27:21] まあでも誰が来ても
[27:24] まあそれは
[27:24] いやいやいや
[27:26] だから
[27:27] まあ向こうがちょっとこれで乗り気だったら
[27:29] まあ対応してやるぐらいでいいんじゃない?
[27:31] 乗り気なんか何だろうとは分かんないんですよ
[27:33] だから積極的にこっちからやらなくていいと
[27:35] こっちがなんか下手に出る営業しちゃったから
[27:37] 調子乗っちゃってんだから
[27:38] まあまあこれからは
[27:40] あくまでも対抗ですよっていう
[27:42] そういうコンバージョンでやらせないといけない
[27:45] はいじゃあちょっと進行中のやつのステータスを
[27:48] 終わらせていきたいので
[27:51] はい
[27:51] ウェスキー
[27:53] ウェスキーこれコンバージョン済みだ
[27:55] コンバージョン済み
[27:56] はい
[27:58] でブルーシフトは進行中ですね
[28:01] 進行中
[28:02] あ、でこれ進行中みたいな人とかもいるね
[28:04] 結構丁寧にごめんみたいな人がいて
[28:06] ブルーシフトは進行中で
[28:08] 納品は際らしいです
[28:10] 納品日も書いて
[28:12] 来週とか
[28:13] そういう点は僕が持ってる分に関しては
[28:15] 僕がPM定例で
[28:16] 今週今月から細かく管理するように
[28:19] ちょっとブルーシフトは
[28:20] 来週って言ってた気がします
[28:23] 来週って言ってた気がします
[28:25] それもね一応僕が書いててみてます
[28:26] 僕がなんか同期するようにしておきます
[28:29] こっちで管理してるシートと
[28:31] じゃあ僕の方から書くことはなくていいですか
[28:34] ちょっと俺が面倒くていいですよ
[28:36] はい
[28:40] 一応渡辺さんも
[28:41] 来週
